variable_label,variable_name,year,geo,category,births
art,Assistive Reproductive Technology,2016,"Baldwin County, AL (01003)",No,14
art,Assistive Reproductive Technology,2016,"Baldwin County, AL (01003)",Not Applicable,2222
art,Assistive Reproductive Technology,2016,"Calhoun County, AL (01015)",Not Applicable,1357
art,Assistive Reproductive Technology,2016,"Etowah County, AL (01055)",Not Applicable,1209
art,Assistive Reproductive Technology,2016,"Houston County, AL (01069)",Not Applicable,1327
art,Assistive Reproductive Technology,2016,"Jefferson County, AL (01073)",Not Applicable,8653
art,Assistive Reproductive Technology,2016,"Lee County, AL (01081)",Not Applicable,1885
art,Assistive Reproductive Technology,2016,"Madison County, AL (01089)",Yes,34
art,Assistive Reproductive Technology,2016,"Madison County, AL (01089)",No,30
art,Assistive Reproductive Technology,2016,"Madison County, AL (01089)",Unknown or Not Stated,118
art,Assistive Reproductive Technology,2016,"Madison County, AL (01089)",Not Applicable,4046
art,Assistive Reproductive Technology,2016,"Mobile County, AL (01097)",Yes,10
art,Assistive Reproductive Technology,2016,"Mobile County, AL (01097)",No,11
art,Assistive Reproductive Technology,2016,"Mobile County, AL (01097)",Unknown or Not Stated,12
art,Assistive Reproductive Technology,2016,"Mobile County, AL (01097)",Not Applicable,5471
art,Assistive Reproductive Technology,2016,"Montgomery County, AL (01101)",Not Applicable,3136
art,Assistive Reproductive Technology,2016,"Morgan County, AL (01103)",Not Applicable,1460
art,Assistive Reproductive Technology,2016,"Shelby County, AL (01117)",Not Applicable,2385
art,Assistive Reproductive Technology,2016,"Tuscaloosa County, AL (01125)",Not Applicable,2576
art,Assistive Reproductive Technology,2016,"Unidentified Counties, AL (01999)",Yes,31
art,Assistive Reproductive Technology,2016,"Unidentified Counties, AL (01999)",No,44
art,Assistive Reproductive Technology,2016,"Unidentified Counties, AL (01999)",Unknown or Not Stated,75
art,Assistive Reproductive Technology,2016,"Unidentified Counties, AL (01999)",Not Applicable,22978
art,Assistive Reproductive Technology,2016,"Anchorage Borough, AK (02020)",Yes,40
art,Assistive Reproductive Technology,2016,"Anchorage Borough, AK (02020)",No,36
art,Assistive Reproductive Technology,2016,"Anchorage Borough, AK (02020)",Not Applicable,4434
art,Assistive Reproductive Technology,2016,"Unidentified Counties, AK (02999)",Yes,30
art,Assistive Reproductive Technology,2016,"Unidentified Counties, AK (02999)",No,20
art,Assistive Reproductive Technology,2016,"Unidentified Counties, AK (02999)",Unknown or Not Stated,67
art,Assistive Reproductive Technology,2016,"Unidentified Counties, AK (02999)",Not Applicable,6574
art,Assistive Reproductive Technology,2016,"Cochise County, AZ (04003)",Yes,12
art,Assistive Reproductive Technology,2016,"Cochise County, AZ (04003)",Not Applicable,1509
art,Assistive Reproductive Technology,2016,"Coconino County, AZ (04005)",Not Applicable,1600
art,Assistive Reproductive Technology,2016,"Maricopa County, AZ (04013)",Yes,734
art,Assistive Reproductive Technology,2016,"Maricopa County, AZ (04013)",No,373
art,Assistive Reproductive Technology,2016,"Maricopa County, AZ (04013)",Not Applicable,53019
art,Assistive Reproductive Technology,2016,"Mohave County, AZ (04015)",Not Applicable,1794
art,Assistive Reproductive Technology,2016,"Navajo County, AZ (04017)",Not Applicable,1485
art,Assistive Reproductive Technology,2016,"Pima County, AZ (04019)",Yes,130
art,Assistive Reproductive Technology,2016,"Pima County, AZ (04019)",No,39
art,Assistive Reproductive Technology,2016,"Pima County, AZ (04019)",Not Applicable,11251
art,Assistive Reproductive Technology,2016,"Pinal County, AZ (04021)",Yes,40
art,Assistive Reproductive Technology,2016,"Pinal County, AZ (04021)",No,28
art,Assistive Reproductive Technology,2016,"Pinal County, AZ (04021)",Not Applicable,4402
art,Assistive Reproductive Technology,2016,"Yavapai County, AZ (04025)",Not Applicable,1854
art,Assistive Reproductive Technology,2016,"Yuma County, AZ (04027)",Yes,11
art,Assistive Reproductive Technology,2016,"Yuma County, AZ (04027)",Not Applicable,2993
art,Assistive Reproductive Technology,2016,"Unidentified Counties, AZ (04999)",Yes,16
art,Assistive Reproductive Technology,2016,"Unidentified Counties, AZ (04999)",No,12
art,Assistive Reproductive Technology,2016,"Unidentified Counties, AZ (04999)",Not Applicable,3160
art,Assistive Reproductive Technology,2016,"Benton County, AR (05007)",Yes,36
art,Assistive Reproductive Technology,2016,"Benton County, AR (05007)",No,27
art,Assistive Reproductive Technology,2016,"Benton County, AR (05007)",Not Applicable,3559
art,Assistive Reproductive Technology,2016,"Faulkner County, AR (05045)",No,13
art,Assistive Reproductive Technology,2016,"Faulkner County, AR (05045)",Not Applicable,1519
art,Assistive Reproductive Technology,2016,"Pulaski County, AR (05119)",Not Applicable,5332
art,Assistive Reproductive Technology,2016,"Saline County, AR (05125)",Not Applicable,1326
art,Assistive Reproductive Technology,2016,"Sebastian County, AR (05131)",Not Applicable,1719
art,Assistive Reproductive Technology,2016,"Washington County, AR (05143)",Yes,21
art,Assistive Reproductive Technology,2016,"Washington County, AR (05143)",No,16
art,Assistive Reproductive Technology,2016,"Washington County, AR (05143)",Not Applicable,3243
art,Assistive Reproductive Technology,2016,"Unidentified Counties, AR (05999)",Yes,33
art,Assistive Reproductive Technology,2016,"Unidentified Counties, AR (05999)",No,58
art,Assistive Reproductive Technology,2016,"Unidentified Counties, AR (05999)",Not Applicable,21351
art,Assistive Reproductive Technology,2016,"Alameda County, CA (06001)",Yes,182
art,Assistive Reproductive Technology,2016,"Alameda County, CA (06001)",No,44
art,Assistive Reproductive Technology,2016,"Alameda County, CA (06001)",Not Applicable,19347
art,Assistive Reproductive Technology,2016,"Butte County, CA (06007)",Not Applicable,2478
art,Assistive Reproductive Technology,2016,"Contra Costa County, CA (06013)",Yes,221
art,Assistive Reproductive Technology,2016,"Contra Costa County, CA (06013)",No,95
art,Assistive Reproductive Technology,2016,"Contra Costa County, CA (06013)",Not Applicable,12024
art,Assistive Reproductive Technology,2016,"El Dorado County, CA (06017)",Yes,24
art,Assistive Reproductive Technology,2016,"El Dorado County, CA (06017)",Not Applicable,1571
art,Assistive Reproductive Technology,2016,"Fresno County, CA (06019)",Yes,22
art,Assistive Reproductive Technology,2016,"Fresno County, CA (06019)",No,49
art,Assistive Reproductive Technology,2016,"Fresno County, CA (06019)",Not Applicable,15058
art,Assistive Reproductive Technology,2016,"Humboldt County, CA (06023)",Not Applicable,1475
art,Assistive Reproductive Technology,2016,"Imperial County, CA (06025)",Not Applicable,2936
art,Assistive Reproductive Technology,2016,"Kern County, CA (06029)",Yes,51
art,Assistive Reproductive Technology,2016,"Kern County, CA (06029)",No,26
art,Assistive Reproductive Technology,2016,"Kern County, CA (06029)",Not Applicable,13651
art,Assistive Reproductive Technology,2016,"Kings County, CA (06031)",Not Applicable,2245
art,Assistive Reproductive Technology,2016,"Los Angeles County, CA (06037)",Yes,1233
art,Assistive Reproductive Technology,2016,"Los Angeles County, CA (06037)",No,204
art,Assistive Reproductive Technology,2016,"Los Angeles County, CA (06037)",Not Applicable,121652
art,Assistive Reproductive Technology,2016,"Madera County, CA (06039)",Not Applicable,2347
art,Assistive Reproductive Technology,2016,"Marin County, CA (06041)",Yes,100
art,Assistive Reproductive Technology,2016,"Marin County, CA (06041)",Not Applicable,2144
art,Assistive Reproductive Technology,2016,"Merced County, CA (06047)",Not Applicable,4107
art,Assistive Reproductive Technology,2016,"Monterey County, CA (06053)",Yes,37
art,Assistive Reproductive Technology,2016,"Monterey County, CA (06053)",No,11
art,Assistive Reproductive Technology,2016,"Monterey County, CA (06053)",Not Applicable,6171
art,Assistive Reproductive Technology,2016,"Napa County, CA (06055)",Yes,12
art,Assistive Reproductive Technology,2016,"Napa County, CA (06055)",Not Applicable,1390
art,Assistive Reproductive Technology,2016,"Orange County, CA (06059)",Yes,479
art,Assistive Reproductive Technology,2016,"Orange County, CA (06059)",No,95
art,Assistive Reproductive Technology,2016,"Orange County, CA (06059)",Not Applicable,37531
art,Assistive Reproductive Technology,2016,"Placer County, CA (06061)",Yes,84
art,Assistive Reproductive Technology,2016,"Placer County, CA (06061)",No,24
art,Assistive Reproductive Technology,2016,"Placer County, CA (06061)",Not Applicable,3624
art,Assistive Reproductive Technology,2016,"Riverside County, CA (06065)",Yes,256
art,Assistive Reproductive Technology,2016,"Riverside County, CA (06065)",No,33
art,Assistive Reproductive Technology,2016,"Riverside County, CA (06065)",Not Applicable,30372
art,Assistive Reproductive Technology,2016,"Sacramento County, CA (06067)",Yes,234
art,Assistive Reproductive Technology,2016,"Sacramento County, CA (06067)",No,123
art,Assistive Reproductive Technology,2016,"Sacramento County, CA (06067)",Not Applicable,19231
art,Assistive Reproductive Technology,2016,"San Bernardino County, CA (06071)",Yes,193
art,Assistive Reproductive Technology,2016,"San Bernardino County, CA (06071)",No,46
art,Assistive Reproductive Technology,2016,"San Bernardino County, CA (06071)",Not Applicable,30793
art,Assistive Reproductive Technology,2016,"San Diego County, CA (06073)",Yes,875
art,Assistive Reproductive Technology,2016,"San Diego County, CA (06073)",No,131
art,Assistive Reproductive Technology,2016,"San Diego County, CA (06073)",Not Applicable,41714
art,Assistive Reproductive Technology,2016,"San Francisco County, CA (06075)",Yes,250
art,Assistive Reproductive Technology,2016,"San Francisco County, CA (06075)",No,28
art,Assistive Reproductive Technology,2016,"San Francisco County, CA (06075)",Not Applicable,8784
art,Assistive Reproductive Technology,2016,"San Joaquin County, CA (06077)",Yes,25
art,Assistive Reproductive Technology,2016,"San Joaquin County, CA (06077)",No,11
art,Assistive Reproductive Technology,2016,"San Joaquin County, CA (06077)",Not Applicable,10232
art,Assistive Reproductive Technology,2016,"San Luis Obispo County, CA (06079)",Yes,39
art,Assistive Reproductive Technology,2016,"San Luis Obispo County, CA (06079)",Not Applicable,2536
art,Assistive Reproductive Technology,2016,"San Mateo County, CA (06081)",Yes,163
art,Assistive Reproductive Technology,2016,"San Mateo County, CA (06081)",No,32
art,Assistive Reproductive Technology,2016,"San Mateo County, CA (06081)",Not Applicable,8765
art,Assistive Reproductive Technology,2016,"Santa Barbara County, CA (06083)",Yes,59
art,Assistive Reproductive Technology,2016,"Santa Barbara County, CA (06083)",No,10
art,Assistive Reproductive Technology,2016,"Santa Barbara County, CA (06083)",Not Applicable,5432
art,Assistive Reproductive Technology,2016,"Santa Clara County, CA (06085)",Yes,345
art,Assistive Reproductive Technology,2016,"Santa Clara County, CA (06085)",No,197
art,Assistive Reproductive Technology,2016,"Santa Clara County, CA (06085)",Not Applicable,22499
art,Assistive Reproductive Technology,2016,"Santa Cruz County, CA (06087)",Yes,26
art,Assistive Reproductive Technology,2016,"Santa Cruz County, CA (06087)",Not Applicable,2766
art,Assistive Reproductive Technology,2016,"Shasta County, CA (06089)",Not Applicable,2042
art,Assistive Reproductive Technology,2016,"Solano County, CA (06095)",Yes,39
art,Assistive Reproductive Technology,2016,"Solano County, CA (06095)",No,33
art,Assistive Reproductive Technology,2016,"Solano County, CA (06095)",Not Applicable,5187
art,Assistive Reproductive Technology,2016,"Sonoma County, CA (06097)",Yes,42
art,Assistive Reproductive Technology,2016,"Sonoma County, CA (06097)",Not Applicable,4914
art,Assistive Reproductive Technology,2016,"Stanislaus County, CA (06099)",Yes,17
art,Assistive Reproductive Technology,2016,"Stanislaus County, CA (06099)",Not Applicable,7838
art,Assistive Reproductive Technology,2016,"Tulare County, CA (06107)",Yes,14
art,Assistive Reproductive Technology,2016,"Tulare County, CA (06107)",Not Applicable,7130
art,Assistive Reproductive Technology,2016,"Ventura County, CA (06111)",Yes,180
art,Assistive Reproductive Technology,2016,"Ventura County, CA (06111)",No,46
art,Assistive Reproductive Technology,2016,"Ventura County, CA (06111)",Not Applicable,9366
art,Assistive Reproductive Technology,2016,"Yolo County, CA (06113)",Yes,34
art,Assistive Reproductive Technology,2016,"Yolo County, CA (06113)",No,11
art,Assistive Reproductive Technology,2016,"Yolo County, CA (06113)",Not Applicable,2378
art,Assistive Reproductive Technology,2016,"Unidentified Counties, CA (06999)",Yes,45
art,Assistive Reproductive Technology,2016,"Unidentified Counties, CA (06999)",No,33
art,Assistive Reproductive Technology,2016,"Unidentified Counties, CA (06999)",Not Applicable,10434
art,Assistive Reproductive Technology,2016,"Adams County, CO (08001)",Yes,62
art,Assistive Reproductive Technology,2016,"Adams County, CO (08001)",No,58
art,Assistive Reproductive Technology,2016,"Adams County, CO (08001)",Not Applicable,6552
art,Assistive Reproductive Technology,2016,"Arapahoe County, CO (08005)",Yes,100
art,Assistive Reproductive Technology,2016,"Arapahoe County, CO (08005)",No,132
