variable_label,variable_name,year,geo,category,births
augmentation_of_labor,Augmentation of Labor,2016,"Baldwin County, AL (01003)",Yes,390
augmentation_of_labor,Augmentation of Labor,2016,"Baldwin County, AL (01003)",No,1856
augmentation_of_labor,Augmentation of Labor,2016,"Calhoun County, AL (01015)",Yes,97
augmentation_of_labor,Augmentation of Labor,2016,"Calhoun County, AL (01015)",No,1260
augmentation_of_labor,Augmentation of Labor,2016,"Etowah County, AL (01055)",Yes,381
augmentation_of_labor,Augmentation of Labor,2016,"Etowah County, AL (01055)",No,833
augmentation_of_labor,Augmentation of Labor,2016,"Houston County, AL (01069)",Yes,210
augmentation_of_labor,Augmentation of Labor,2016,"Houston County, AL (01069)",No,1123
augmentation_of_labor,Augmentation of Labor,2016,"Jefferson County, AL (01073)",Yes,1755
augmentation_of_labor,Augmentation of Labor,2016,"Jefferson County, AL (01073)",No,6900
augmentation_of_labor,Augmentation of Labor,2016,"Lee County, AL (01081)",Yes,292
augmentation_of_labor,Augmentation of Labor,2016,"Lee County, AL (01081)",No,1606
augmentation_of_labor,Augmentation of Labor,2016,"Madison County, AL (01089)",Yes,583
augmentation_of_labor,Augmentation of Labor,2016,"Madison County, AL (01089)",No,3645
augmentation_of_labor,Augmentation of Labor,2016,"Mobile County, AL (01097)",Yes,404
augmentation_of_labor,Augmentation of Labor,2016,"Mobile County, AL (01097)",No,5100
augmentation_of_labor,Augmentation of Labor,2016,"Montgomery County, AL (01101)",Yes,426
augmentation_of_labor,Augmentation of Labor,2016,"Montgomery County, AL (01101)",No,2713
augmentation_of_labor,Augmentation of Labor,2016,"Morgan County, AL (01103)",Yes,282
augmentation_of_labor,Augmentation of Labor,2016,"Morgan County, AL (01103)",No,1188
augmentation_of_labor,Augmentation of Labor,2016,"Shelby County, AL (01117)",Yes,466
augmentation_of_labor,Augmentation of Labor,2016,"Shelby County, AL (01117)",No,1921
augmentation_of_labor,Augmentation of Labor,2016,"Tuscaloosa County, AL (01125)",Yes,262
augmentation_of_labor,Augmentation of Labor,2016,"Tuscaloosa County, AL (01125)",No,2329
augmentation_of_labor,Augmentation of Labor,2016,"Unidentified Counties, AL (01999)",Yes,3929
augmentation_of_labor,Augmentation of Labor,2016,"Unidentified Counties, AL (01999)",No,19198
augmentation_of_labor,Augmentation of Labor,2016,"Anchorage Borough, AK (02020)",Yes,1040
augmentation_of_labor,Augmentation of Labor,2016,"Anchorage Borough, AK (02020)",No,3474
augmentation_of_labor,Augmentation of Labor,2016,"Unidentified Counties, AK (02999)",Yes,1072
augmentation_of_labor,Augmentation of Labor,2016,"Unidentified Counties, AK (02999)",No,5582
augmentation_of_labor,Augmentation of Labor,2016,"Unidentified Counties, AK (02999)",Unknown or Not Stated,37
augmentation_of_labor,Augmentation of Labor,2016,"Cochise County, AZ (04003)",Yes,187
augmentation_of_labor,Augmentation of Labor,2016,"Cochise County, AZ (04003)",No,1342
augmentation_of_labor,Augmentation of Labor,2016,"Coconino County, AZ (04005)",Yes,301
augmentation_of_labor,Augmentation of Labor,2016,"Coconino County, AZ (04005)",No,1311
augmentation_of_labor,Augmentation of Labor,2016,"Maricopa County, AZ (04013)",Yes,10933
augmentation_of_labor,Augmentation of Labor,2016,"Maricopa County, AZ (04013)",No,43193
augmentation_of_labor,Augmentation of Labor,2016,"Mohave County, AZ (04015)",Yes,354
augmentation_of_labor,Augmentation of Labor,2016,"Mohave County, AZ (04015)",No,1448
augmentation_of_labor,Augmentation of Labor,2016,"Navajo County, AZ (04017)",Yes,392
augmentation_of_labor,Augmentation of Labor,2016,"Navajo County, AZ (04017)",No,1105
augmentation_of_labor,Augmentation of Labor,2016,"Pima County, AZ (04019)",Yes,4075
augmentation_of_labor,Augmentation of Labor,2016,"Pima County, AZ (04019)",No,7346
augmentation_of_labor,Augmentation of Labor,2016,"Pinal County, AZ (04021)",Yes,971
augmentation_of_labor,Augmentation of Labor,2016,"Pinal County, AZ (04021)",No,3499
augmentation_of_labor,Augmentation of Labor,2016,"Yavapai County, AZ (04025)",Yes,242
augmentation_of_labor,Augmentation of Labor,2016,"Yavapai County, AZ (04025)",No,1626
augmentation_of_labor,Augmentation of Labor,2016,"Yuma County, AZ (04027)",Yes,1171
augmentation_of_labor,Augmentation of Labor,2016,"Yuma County, AZ (04027)",No,1836
augmentation_of_labor,Augmentation of Labor,2016,"Unidentified Counties, AZ (04999)",Yes,802
