variable_label,variable_name,year,geo,category,births
birth_weight_12groups,Infant Birth Weight 12,2016,"Baldwin County, AL (01003)",500 - 999 grams,10
birth_weight_12groups,Infant Birth Weight 12,2016,"Baldwin County, AL (01003)",1000 - 1499 grams,11
birth_weight_12groups,Infant Birth Weight 12,2016,"Baldwin County, AL (01003)",1500 - 1999 grams,21
birth_weight_12groups,Infant Birth Weight 12,2016,"Baldwin County, AL (01003)",2000 - 2499 grams,129
birth_weight_12groups,Infant Birth Weight 12,2016,"Baldwin County, AL (01003)",2500 - 2999 grams,386
birth_weight_12groups,Infant Birth Weight 12,2016,"Baldwin County, AL (01003)",3000 - 3499 grams,879
birth_weight_12groups,Infant Birth Weight 12,2016,"Baldwin County, AL (01003)",3500 - 3999 grams,657
birth_weight_12groups,Infant Birth Weight 12,2016,"Baldwin County, AL (01003)",4000 - 4499 grams,121
birth_weight_12groups,Infant Birth Weight 12,2016,"Baldwin County, AL (01003)",4500 - 4999 grams,28
birth_weight_12groups,Infant Birth Weight 12,2016,"Calhoun County, AL (01015)",1500 - 1999 grams,30
birth_weight_12groups,Infant Birth Weight 12,2016,"Calhoun County, AL (01015)",2000 - 2499 grams,80
birth_weight_12groups,Infant Birth Weight 12,2016,"Calhoun County, AL (01015)",2500 - 2999 grams,314
birth_weight_12groups,Infant Birth Weight 12,2016,"Calhoun County, AL (01015)",3000 - 3499 grams,532
birth_weight_12groups,Infant Birth Weight 12,2016,"Calhoun County, AL (01015)",3500 - 3999 grams,308
birth_weight_12groups,Infant Birth Weight 12,2016,"Calhoun County, AL (01015)",4000 - 4499 grams,66
birth_weight_12groups,Infant Birth Weight 12,2016,"Etowah County, AL (01055)",1500 - 1999 grams,14
birth_weight_12groups,Infant Birth Weight 12,2016,"Etowah County, AL (01055)",2000 - 2499 grams,70
birth_weight_12groups,Infant Birth Weight 12,2016,"Etowah County, AL (01055)",2500 - 2999 grams,253
birth_weight_12groups,Infant Birth Weight 12,2016,"Etowah County, AL (01055)",3000 - 3499 grams,476
birth_weight_12groups,Infant Birth Weight 12,2016,"Etowah County, AL (01055)",3500 - 3999 grams,293
birth_weight_12groups,Infant Birth Weight 12,2016,"Etowah County, AL (01055)",4000 - 4499 grams,81
birth_weight_12groups,Infant Birth Weight 12,2016,"Houston County, AL (01069)",1000 - 1499 grams,11
birth_weight_12groups,Infant Birth Weight 12,2016,"Houston County, AL (01069)",1500 - 1999 grams,35
birth_weight_12groups,Infant Birth Weight 12,2016,"Houston County, AL (01069)",2000 - 2499 grams,92
birth_weight_12groups,Infant Birth Weight 12,2016,"Houston County, AL (01069)",2500 - 2999 grams,265
birth_weight_12groups,Infant Birth Weight 12,2016,"Houston County, AL (01069)",3000 - 3499 grams,527
birth_weight_12groups,Infant Birth Weight 12,2016,"Houston County, AL (01069)",3500 - 3999 grams,318
birth_weight_12groups,Infant Birth Weight 12,2016,"Houston County, AL (01069)",4000 - 4499 grams,62
birth_weight_12groups,Infant Birth Weight 12,2016,"Houston County, AL (01069)",4500 - 4999 grams,10
birth_weight_12groups,Infant Birth Weight 12,2016,"Jefferson County, AL (01073)",499 grams or less,26
birth_weight_12groups,Infant Birth Weight 12,2016,"Jefferson County, AL (01073)",500 - 999 grams,87
birth_weight_12groups,Infant Birth Weight 12,2016,"Jefferson County, AL (01073)",1000 - 1499 grams,90
birth_weight_12groups,Infant Birth Weight 12,2016,"Jefferson County, AL (01073)",1500 - 1999 grams,201
birth_weight_12groups,Infant Birth Weight 12,2016,"Jefferson County, AL (01073)",2000 - 2499 grams,606
birth_weight_12groups,Infant Birth Weight 12,2016,"Jefferson County, AL (01073)",2500 - 2999 grams,1809
birth_weight_12groups,Infant Birth Weight 12,2016,"Jefferson County, AL (01073)",3000 - 3499 grams,3214
birth_weight_12groups,Infant Birth Weight 12,2016,"Jefferson County, AL (01073)",3500 - 3999 grams,2055
birth_weight_12groups,Infant Birth Weight 12,2016,"Jefferson County, AL (01073)",4000 - 4499 grams,479
birth_weight_12groups,Infant Birth Weight 12,2016,"Jefferson County, AL (01073)",4500 - 4999 grams,74
birth_weight_12groups,Infant Birth Weight 12,2016,"Lee County, AL (01081)",500 - 999 grams,11
birth_weight_12groups,Infant Birth Weight 12,2016,"Lee County, AL (01081)",1500 - 1999 grams,31
birth_weight_12groups,Infant Birth Weight 12,2016,"Lee County, AL (01081)",2000 - 2499 grams,108
