variable_label,variable_name,year,geo,category,births
birthplace,Birthplace,2016,"Baldwin County, AL (01003)",Hospital,2235
birthplace,Birthplace,2016,"Calhoun County, AL (01015)",Hospital,1356
birthplace,Birthplace,2016,"Etowah County, AL (01055)",Hospital,1206
birthplace,Birthplace,2016,"Houston County, AL (01069)",Hospital,1330
birthplace,Birthplace,2016,"Jefferson County, AL (01073)",Hospital,8605
birthplace,Birthplace,2016,"Jefferson County, AL (01073)",Home (intended),14
birthplace,Birthplace,2016,"Jefferson County, AL (01073)",Home (not intended),22
birthplace,Birthplace,2016,"Lee County, AL (01081)",Hospital,1889
birthplace,Birthplace,2016,"Madison County, AL (01089)",Hospital,4201
birthplace,Birthplace,2016,"Madison County, AL (01089)",Home (intended),11
birthplace,Birthplace,2016,"Mobile County, AL (01097)",Hospital,5473
birthplace,Birthplace,2016,"Mobile County, AL (01097)",Other,20
birthplace,Birthplace,2016,"Montgomery County, AL (01101)",Hospital,3124
birthplace,Birthplace,2016,"Montgomery County, AL (01101)",Home (not intended),10
birthplace,Birthplace,2016,"Morgan County, AL (01103)",Hospital,1464
birthplace,Birthplace,2016,"Shelby County, AL (01117)",Hospital,2373
birthplace,Birthplace,2016,"Tuscaloosa County, AL (01125)",Hospital,2582
birthplace,Birthplace,2016,"Unidentified Counties, AL (01999)",Hospital,23016
birthplace,Birthplace,2016,"Unidentified Counties, AL (01999)",Freestanding Birth Center,10
birthplace,Birthplace,2016,"Unidentified Counties, AL (01999)",Home (intended),35
birthplace,Birthplace,2016,"Unidentified Counties, AL (01999)",Home (not intended),30
birthplace,Birthplace,2016,"Unidentified Counties, AL (01999)",Other,32
birthplace,Birthplace,2016,"Anchorage Borough, AK (02020)",Hospital,4236
birthplace,Birthplace,2016,"Anchorage Borough, AK (02020)",Freestanding Birth Center,209
birthplace,Birthplace,2016,"Anchorage Borough, AK (02020)",Home (intended),50
birthplace,Birthplace,2016,"Anchorage Borough, AK (02020)",Home (unknown if intended),17
birthplace,Birthplace,2016,"Unidentified Counties, AK (02999)",Hospital,6093
birthplace,Birthplace,2016,"Unidentified Counties, AK (02999)",Freestanding Birth Center,412
birthplace,Birthplace,2016,"Unidentified Counties, AK (02999)",Home (intended),122
birthplace,Birthplace,2016,"Unidentified Counties, AK (02999)",Home (not intended),13
birthplace,Birthplace,2016,"Unidentified Counties, AK (02999)",Home (unknown if intended),39
birthplace,Birthplace,2016,"Unidentified Counties, AK (02999)",Clinic / Doctor's Office,10
birthplace,Birthplace,2016,"Cochise County, AZ (04003)",Hospital,1507
birthplace,Birthplace,2016,"Coconino County, AZ (04005)",Hospital,1533
birthplace,Birthplace,2016,"Coconino County, AZ (04005)",Freestanding Birth Center,48
birthplace,Birthplace,2016,"Coconino County, AZ (04005)",Home (intended),21
birthplace,Birthplace,2016,"Maricopa County, AZ (04013)",Hospital,53344
birthplace,Birthplace,2016,"Maricopa County, AZ (04013)",Freestanding Birth Center,261
birthplace,Birthplace,2016,"Maricopa County, AZ (04013)",Home (intended),471
birthplace,Birthplace,2016,"Maricopa County, AZ (04013)",Home (not intended),41
birthplace,Birthplace,2016,"Mohave County, AZ (04015)",Hospital,1740
birthplace,Birthplace,2016,"Mohave County, AZ (04015)",Home (intended),23
birthplace,Birthplace,2016,"Mohave County, AZ (04015)",Clinic / Doctor's Office,29
birthplace,Birthplace,2016,"Navajo County, AZ (04017)",Hospital,1482
birthplace,Birthplace,2016,"Pima County, AZ (04019)",Hospital,11148
birthplace,Birthplace,2016,"Pima County, AZ (04019)",Freestanding Birth Center,224
birthplace,Birthplace,2016,"Pima County, AZ (04019)",Home (intended),32
birthplace,Birthplace,2016,"Pima County, AZ (04019)",Home (not intended),15
birthplace,Birthplace,2016,"Pinal County, AZ (04021)",Hospital,4404
birthplace,Birthplace,2016,"Pinal County, AZ (04021)",Freestanding Birth Center,18
birthplace,Birthplace,2016,"Pinal County, AZ (04021)",Home (intended),42
birthplace,Birthplace,2016,"Yavapai County, AZ (04025)",Hospital,1769
birthplace,Birthplace,2016,"Yavapai County, AZ (04025)",Home (intended),67
birthplace,Birthplace,2016,"Yavapai County, AZ (04025)",Other,22
birthplace,Birthplace,2016,"Yuma County, AZ (04027)",Hospital,2997
birthplace,Birthplace,2016,"Unidentified Counties, AZ (04999)",Hospital,3157
birthplace,Birthplace,2016,"Unidentified Counties, AZ (04999)",Home (intended),13
birthplace,Birthplace,2016,"Benton County, AR (05007)",Hospital,3523
birthplace,Birthplace,2016,"Benton County, AR (05007)",Freestanding Birth Center,50
birthplace,Birthplace,2016,"Benton County, AR (05007)",Home (intended),43
birthplace,Birthplace,2016,"Faulkner County, AR (05045)",Hospital,1510
birthplace,Birthplace,2016,"Faulkner County, AR (05045)",Home (intended),21
birthplace,Birthplace,2016,"Pulaski County, AR (05119)",Hospital,5289
birthplace,Birthplace,2016,"Pulaski County, AR (05119)",Home (intended),48
birthplace,Birthplace,2016,"Saline County, AR (05125)",Hospital,1312
birthplace,Birthplace,2016,"Saline County, AR (05125)",Home (intended),12
birthplace,Birthplace,2016,"Sebastian County, AR (05131)",Hospital,1696
birthplace,Birthplace,2016,"Sebastian County, AR (05131)",Other,13
birthplace,Birthplace,2016,"Washington County, AR (05143)",Hospital,3198
birthplace,Birthplace,2016,"Washington County, AR (05143)",Freestanding Birth Center,39
birthplace,Birthplace,2016,"Washington County, AR (05143)",Home (intended),33
birthplace,Birthplace,2016,"Unidentified Counties, AR (05999)",Hospital,21225
birthplace,Birthplace,2016,"Unidentified Counties, AR (05999)",Home (intended),135
birthplace,Birthplace,2016,"Unidentified Counties, AR (05999)",Home (not intended),26
birthplace,Birthplace,2016,"Unidentified Counties, AR (05999)",Other,46
birthplace,Birthplace,2016,"Alameda County, CA (06001)",Hospital,19284
birthplace,Birthplace,2016,"Alameda County, CA (06001)",Freestanding Birth Center,64
birthplace,Birthplace,2016,"Alameda County, CA (06001)",Home (unknown if intended),217
birthplace,Birthplace,2016,"Butte County, CA (06007)",Hospital,2443
birthplace,Birthplace,2016,"Butte County, CA (06007)",Home (unknown if intended),44
birthplace,Birthplace,2016,"Contra Costa County, CA (06013)",Hospital,12244
birthplace,Birthplace,2016,"Contra Costa County, CA (06013)",Freestanding Birth Center,14
birthplace,Birthplace,2016,"Contra Costa County, CA (06013)",Home (unknown if intended),69
birthplace,Birthplace,2016,"Contra Costa County, CA (06013)",Other,13
birthplace,Birthplace,2016,"El Dorado County, CA (06017)",Hospital,1549
birthplace,Birthplace,2016,"El Dorado County, CA (06017)",Home (unknown if intended),47
birthplace,Birthplace,2016,"Fresno County, CA (06019)",Hospital,15047
birthplace,Birthplace,2016,"Fresno County, CA (06019)",Home (unknown if intended),62
birthplace,Birthplace,2016,"Fresno County, CA (06019)",Other,17
birthplace,Birthplace,2016,"Humboldt County, CA (06023)",Hospital,1409
birthplace,Birthplace,2016,"Humboldt County, CA (06023)",Home (unknown if intended),69
birthplace,Birthplace,2016,"Imperial County, CA (06025)",Hospital,2932
birthplace,Birthplace,2016,"Kern County, CA (06029)",Hospital,13607
birthplace,Birthplace,2016,"Kern County, CA (06029)",Freestanding Birth Center,19
birthplace,Birthplace,2016,"Kern County, CA (06029)",Home (unknown if intended),77
birthplace,Birthplace,2016,"Kern County, CA (06029)",Other,25
birthplace,Birthplace,2016,"Kings County, CA (06031)",Hospital,2238
birthplace,Birthplace,2016,"Los Angeles County, CA (06037)",Hospital,122060
birthplace,Birthplace,2016,"Los Angeles County, CA (06037)",Freestanding Birth Center,313
birthplace,Birthplace,2016,"Los Angeles County, CA (06037)",Home (unknown if intended),639
birthplace,Birthplace,2016,"Los Angeles County, CA (06037)",Other,69
birthplace,Birthplace,2016,"Los Angeles County, CA (06037)",Unknown or Not Stated,10
birthplace,Birthplace,2016,"Madera County, CA (06039)",Hospital,2333
birthplace,Birthplace,2016,"Madera County, CA (06039)",Home (unknown if intended),16
birthplace,Birthplace,2016,"Marin County, CA (06041)",Hospital,2202
birthplace,Birthplace,2016,"Marin County, CA (06041)",Freestanding Birth Center,10
birthplace,Birthplace,2016,"Marin County, CA (06041)",Home (unknown if intended),40
birthplace,Birthplace,2016,"Merced County, CA (06047)",Hospital,4101
birthplace,Birthplace,2016,"Merced County, CA (06047)",Home (unknown if intended),11
birthplace,Birthplace,2016,"Monterey County, CA (06053)",Hospital,6158
birthplace,Birthplace,2016,"Monterey County, CA (06053)",Home (unknown if intended),58
birthplace,Birthplace,2016,"Napa County, CA (06055)",Hospital,1380
birthplace,Birthplace,2016,"Napa County, CA (06055)",Home (unknown if intended),24
birthplace,Birthplace,2016,"Orange County, CA (06059)",Hospital,37667
birthplace,Birthplace,2016,"Orange County, CA (06059)",Freestanding Birth Center,190
birthplace,Birthplace,2016,"Orange County, CA (06059)",Home (unknown if intended),227
birthplace,Birthplace,2016,"Orange County, CA (06059)",Other,19
birthplace,Birthplace,2016,"Placer County, CA (06061)",Hospital,3659
