variable_label,variable_name,year,geo,category,births
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Baldwin County, AL (01003)",Yes,1774
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Baldwin County, AL (01003)",No,470
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Calhoun County, AL (01015)",Yes,1087
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Calhoun County, AL (01015)",No,270
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Etowah County, AL (01055)",Yes,874
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Etowah County, AL (01055)",No,339
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Houston County, AL (01069)",Yes,839
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Houston County, AL (01069)",No,491
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Jefferson County, AL (01073)",Yes,6714
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Jefferson County, AL (01073)",No,1918
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Jefferson County, AL (01073)",Unknown or Not Stated,23
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Lee County, AL (01081)",Yes,1461
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Lee County, AL (01081)",No,436
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Madison County, AL (01089)",Yes,3355
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Madison County, AL (01089)",No,869
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Mobile County, AL (01097)",Yes,3207
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Mobile County, AL (01097)",No,2288
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Montgomery County, AL (01101)",Yes,1838
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Montgomery County, AL (01101)",No,1295
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Morgan County, AL (01103)",Yes,974
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Morgan County, AL (01103)",No,494
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Shelby County, AL (01117)",Yes,2081
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Shelby County, AL (01117)",No,298
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Tuscaloosa County, AL (01125)",Yes,1677
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Tuscaloosa County, AL (01125)",No,906
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Unidentified Counties, AL (01999)",Yes,13943
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Unidentified Counties, AL (01999)",No,9088
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Unidentified Counties, AL (01999)",Unknown or Not Stated,97
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Anchorage Borough, AK (02020)",Yes,4108
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Anchorage Borough, AK (02020)",No,401
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Unidentified Counties, AK (02999)",Yes,6149
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Unidentified Counties, AK (02999)",No,478
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Unidentified Counties, AK (02999)",Unknown or Not Stated,64
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Cochise County, AZ (04003)",Yes,1361
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Cochise County, AZ (04003)",No,146
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Cochise County, AZ (04003)",Unknown or Not Stated,22
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Coconino County, AZ (04005)",Yes,1563
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Coconino County, AZ (04005)",No,40
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Maricopa County, AZ (04013)",Yes,48440
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Maricopa County, AZ (04013)",No,5131
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Maricopa County, AZ (04013)",Unknown or Not Stated,555
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Mohave County, AZ (04015)",Yes,1451
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Mohave County, AZ (04015)",No,324
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Mohave County, AZ (04015)",Unknown or Not Stated,27
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Navajo County, AZ (04017)",Yes,1293
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Navajo County, AZ (04017)",No,186
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Navajo County, AZ (04017)",Unknown or Not Stated,18
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Pima County, AZ (04019)",Yes,10191
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Pima County, AZ (04019)",No,1001
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Pima County, AZ (04019)",Unknown or Not Stated,229
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Pinal County, AZ (04021)",Yes,3850
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Pinal County, AZ (04021)",No,588
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Pinal County, AZ (04021)",Unknown or Not Stated,32
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Yavapai County, AZ (04025)",Yes,1711
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Yavapai County, AZ (04025)",No,143
breastfed_at_discharge,Infant Breastfed at Discharge,2016,"Yavapai County, AZ (04025)",Unknown or Not Stated,14
