variable_label,variable_name,year,geo,category,births
chlamydia,Chlamydia,2016,Alabama (01),Yes,1292
chlamydia,Chlamydia,2016,Alabama (01),No,57841
chlamydia,Chlamydia,2016,Alabama (01),Unknown or Not Stated,18
chlamydia,Chlamydia,2016,Alaska (02),Yes,339
chlamydia,Chlamydia,2016,Alaska (02),No,10772
chlamydia,Chlamydia,2016,Alaska (02),Unknown or Not Stated,98
chlamydia,Chlamydia,2016,Arizona (04),Yes,2143
chlamydia,Chlamydia,2016,Arizona (04),No,82376
chlamydia,Chlamydia,2016,Arkansas (05),Yes,1008
chlamydia,Chlamydia,2016,Arkansas (05),No,37264
chlamydia,Chlamydia,2016,California (06),Yes,2984
chlamydia,Chlamydia,2016,California (06),No,485802
chlamydia,Chlamydia,2016,California (06),Unknown or Not Stated,41
chlamydia,Chlamydia,2016,Colorado (08),Yes,1214
chlamydia,Chlamydia,2016,Colorado (08),No,65389
chlamydia,Chlamydia,2016,Colorado (08),Unknown or Not Stated,10
chlamydia,Chlamydia,2016,Connecticut (09),Yes,336
chlamydia,Chlamydia,2016,Connecticut (09),No,35065
chlamydia,Chlamydia,2016,Connecticut (09),Unknown or Not Stated,614
chlamydia,Chlamydia,2016,Delaware (10),Yes,222
chlamydia,Chlamydia,2016,Delaware (10),No,10770
chlamydia,Chlamydia,2016,District of Columbia (11),Yes,145
chlamydia,Chlamydia,2016,District of Columbia (11),No,9697
chlamydia,Chlamydia,2016,District of Columbia (11),Unknown or Not Stated,16
chlamydia,Chlamydia,2016,Florida (12),Yes,3736
chlamydia,Chlamydia,2016,Florida (12),No,218804
chlamydia,Chlamydia,2016,Florida (12),Unknown or Not Stated,2482
chlamydia,Chlamydia,2016,Georgia (13),Yes,3151
chlamydia,Chlamydia,2016,Georgia (13),No,126360
chlamydia,Chlamydia,2016,Georgia (13),Unknown or Not Stated,531
chlamydia,Chlamydia,2016,Hawaii (15),Yes,237
chlamydia,Chlamydia,2016,Hawaii (15),No,17822
chlamydia,Chlamydia,2016,Idaho (16),Yes,309
chlamydia,Chlamydia,2016,Idaho (16),No,22101
chlamydia,Chlamydia,2016,Idaho (16),Unknown or Not Stated,72
chlamydia,Chlamydia,2016,Illinois (17),Yes,3127
chlamydia,Chlamydia,2016,Illinois (17),No,150995
chlamydia,Chlamydia,2016,Illinois (17),Unknown or Not Stated,323
chlamydia,Chlamydia,2016,Indiana (18),Yes,1940
chlamydia,Chlamydia,2016,Indiana (18),No,81142
chlamydia,Chlamydia,2016,Iowa (19),Yes,712
chlamydia,Chlamydia,2016,Iowa (19),No,38690
chlamydia,Chlamydia,2016,Kansas (20),Yes,548
chlamydia,Chlamydia,2016,Kansas (20),No,37505
chlamydia,Chlamydia,2016,Kentucky (21),Yes,1229
chlamydia,Chlamydia,2016,Kentucky (21),No,53700
chlamydia,Chlamydia,2016,Kentucky (21),Unknown or Not Stated,520
chlamydia,Chlamydia,2016,Louisiana (22),Yes,2213
chlamydia,Chlamydia,2016,Louisiana (22),No,60965
chlamydia,Chlamydia,2016,Maine (23),Yes,186
chlamydia,Chlamydia,2016,Maine (23),No,12438
chlamydia,Chlamydia,2016,Maine (23),Unknown or Not Stated,81
chlamydia,Chlamydia,2016,Maryland (24),Yes,1155
chlamydia,Chlamydia,2016,Maryland (24),No,71888
chlamydia,Chlamydia,2016,Maryland (24),Unknown or Not Stated,93
chlamydia,Chlamydia,2016,Massachusetts (25),Yes,851
chlamydia,Chlamydia,2016,Massachusetts (25),No,70360
chlamydia,Chlamydia,2016,Massachusetts (25),Unknown or Not Stated,106
chlamydia,Chlamydia,2016,Michigan (26),Yes,1657
chlamydia,Chlamydia,2016,Michigan (26),No,110633
chlamydia,Chlamydia,2016,Michigan (26),Unknown or Not Stated,1025
chlamydia,Chlamydia,2016,Minnesota (27),Yes,908
chlamydia,Chlamydia,2016,Minnesota (27),No,68651
chlamydia,Chlamydia,2016,Minnesota (27),Unknown or Not Stated,190
chlamydia,Chlamydia,2016,Mississippi (28),Yes,1090
chlamydia,Chlamydia,2016,Mississippi (28),No,36820
chlamydia,Chlamydia,2016,Mississippi (28),Unknown or Not Stated,18
chlamydia,Chlamydia,2016,Missouri (29),Yes,1704
chlamydia,Chlamydia,2016,Missouri (29),No,72999
chlamydia,Chlamydia,2016,Montana (30),Yes,221
chlamydia,Chlamydia,2016,Montana (30),No,12034
chlamydia,Chlamydia,2016,Montana (30),Unknown or Not Stated,27
chlamydia,Chlamydia,2016,Nebraska (31),Yes,555
chlamydia,Chlamydia,2016,Nebraska (31),No,25969
chlamydia,Chlamydia,2016,Nebraska (31),Unknown or Not Stated,65
chlamydia,Chlamydia,2016,Nevada (32),Yes,585
chlamydia,Chlamydia,2016,Nevada (32),No,35672
chlamydia,Chlamydia,2016,New Hampshire (33),Yes,156
chlamydia,Chlamydia,2016,New Hampshire (33),No,11999
chlamydia,Chlamydia,2016,New Hampshire (33),Unknown or Not Stated,112
chlamydia,Chlamydia,2016,New Jersey (34),Yes,2100
chlamydia,Chlamydia,2016,New Jersey (34),No,100542
chlamydia,Chlamydia,2016,New Mexico (35),Yes,478
chlamydia,Chlamydia,2016,New Mexico (35),No,24022
chlamydia,Chlamydia,2016,New Mexico (35),Unknown or Not Stated,192
chlamydia,Chlamydia,2016,New York (36),Yes,3292
chlamydia,Chlamydia,2016,New York (36),No,229957
chlamydia,Chlamydia,2016,New York (36),Unknown or Not Stated,1034
chlamydia,Chlamydia,2016,North Carolina (37),Yes,2462
chlamydia,Chlamydia,2016,North Carolina (37),No,117978
chlamydia,Chlamydia,2016,North Carolina (37),Unknown or Not Stated,339
chlamydia,Chlamydia,2016,North Dakota (38),Yes,127
chlamydia,Chlamydia,2016,North Dakota (38),No,11254
chlamydia,Chlamydia,2016,Ohio (39),Yes,4097
chlamydia,Chlamydia,2016,Ohio (39),No,133934
chlamydia,Chlamydia,2016,Ohio (39),Unknown or Not Stated,54
chlamydia,Chlamydia,2016,Oklahoma (40),Yes,1242
chlamydia,Chlamydia,2016,Oklahoma (40),No,51349
chlamydia,Chlamydia,2016,Oregon (41),Yes,814
chlamydia,Chlamydia,2016,Oregon (41),No,44716
chlamydia,Chlamydia,2016,Pennsylvania (42),Yes,2631
chlamydia,Chlamydia,2016,Pennsylvania (42),No,136732
chlamydia,Chlamydia,2016,Pennsylvania (42),Unknown or Not Stated,46
chlamydia,Chlamydia,2016,Rhode Island (44),Yes,108
chlamydia,Chlamydia,2016,Rhode Island (44),No,10689
chlamydia,Chlamydia,2016,South Carolina (45),Yes,2089
chlamydia,Chlamydia,2016,South Carolina (45),No,55236
chlamydia,Chlamydia,2016,South Carolina (45),Unknown or Not Stated,17
chlamydia,Chlamydia,2016,South Dakota (46),Yes,312
chlamydia,Chlamydia,2016,South Dakota (46),No,11961
chlamydia,Chlamydia,2016,Tennessee (47),Yes,1818
chlamydia,Chlamydia,2016,Tennessee (47),No,78976
chlamydia,Chlamydia,2016,Tennessee (47),Unknown or Not Stated,13
chlamydia,Chlamydia,2016,Texas (48),Yes,8938
chlamydia,Chlamydia,2016,Texas (48),No,389103
chlamydia,Chlamydia,2016,Utah (49),Yes,538
chlamydia,Chlamydia,2016,Utah (49),No,49925
chlamydia,Chlamydia,2016,Vermont (50),Yes,75
chlamydia,Chlamydia,2016,Vermont (50),No,5681
chlamydia,Chlamydia,2016,Virginia (51),Yes,1473
chlamydia,Chlamydia,2016,Virginia (51),No,100978
chlamydia,Chlamydia,2016,Washington (53),Yes,1155
chlamydia,Chlamydia,2016,Washington (53),No,88872
chlamydia,Chlamydia,2016,Washington (53),Unknown or Not Stated,478
chlamydia,Chlamydia,2016,West Virginia (54),Yes,254
chlamydia,Chlamydia,2016,West Virginia (54),No,18550
chlamydia,Chlamydia,2016,West Virginia (54),Unknown or Not Stated,275
chlamydia,Chlamydia,2016,Wisconsin (55),Yes,1436
chlamydia,Chlamydia,2016,Wisconsin (55),No,64495
chlamydia,Chlamydia,2016,Wisconsin (55),Unknown or Not Stated,684
chlamydia,Chlamydia,2016,Wyoming (56),Yes,88
chlamydia,Chlamydia,2016,Wyoming (56),No,7298
chlamydia,Chlamydia,2017,Alabama (01),Yes,1269
chlamydia,Chlamydia,2017,Alabama (01),No,57657
chlamydia,Chlamydia,2017,Alabama (01),Unknown or Not Stated,15
chlamydia,Chlamydia,2017,Alaska (02),Yes,220
chlamydia,Chlamydia,2017,Alaska (02),No,10106
chlamydia,Chlamydia,2017,Alaska (02),Unknown or Not Stated,119
chlamydia,Chlamydia,2017,Arizona (04),Yes,2211
chlamydia,Chlamydia,2017,Arizona (04),No,79655
chlamydia,Chlamydia,2017,Arkansas (05),Yes,1042
chlamydia,Chlamydia,2017,Arkansas (05),No,36474
chlamydia,Chlamydia,2017,California (06),Yes,2966
chlamydia,Chlamydia,2017,California (06),No,468659
chlamydia,Chlamydia,2017,California (06),Unknown or Not Stated,33
chlamydia,Chlamydia,2017,Colorado (08),Yes,1110
chlamydia,Chlamydia,2017,Colorado (08),No,63261
chlamydia,Chlamydia,2017,Colorado (08),Unknown or Not Stated,11
chlamydia,Chlamydia,2017,Connecticut (09),Yes,276
chlamydia,Chlamydia,2017,Connecticut (09),No,34698
chlamydia,Chlamydia,2017,Connecticut (09),Unknown or Not Stated,247
chlamydia,Chlamydia,2017,Delaware (10),Yes,268
chlamydia,Chlamydia,2017,Delaware (10),No,10586
chlamydia,Chlamydia,2017,District of Columbia (11),Yes,148
chlamydia,Chlamydia,2017,District of Columbia (11),No,9409
chlamydia,Chlamydia,2017,Florida (12),Yes,3857
chlamydia,Chlamydia,2017,Florida (12),No,217358
chlamydia,Chlamydia,2017,Florida (12),Unknown or Not Stated,2415
chlamydia,Chlamydia,2017,Georgia (13),Yes,3183
chlamydia,Chlamydia,2017,Georgia (13),No,125524
chlamydia,Chlamydia,2017,Georgia (13),Unknown or Not Stated,536
chlamydia,Chlamydia,2017,Hawaii (15),Yes,223
