variable_label,variable_name,year,geo,category,births
delivery_method_3cat,Delivery Method,2016,"Baldwin County, AL (01003)",Vaginal,1505
delivery_method_3cat,Delivery Method,2016,"Baldwin County, AL (01003)",Cesarean,741
delivery_method_3cat,Delivery Method,2016,"Calhoun County, AL (01015)",Vaginal,962
delivery_method_3cat,Delivery Method,2016,"Calhoun County, AL (01015)",Cesarean,395
delivery_method_3cat,Delivery Method,2016,"Etowah County, AL (01055)",Vaginal,834
delivery_method_3cat,Delivery Method,2016,"Etowah County, AL (01055)",Cesarean,380
delivery_method_3cat,Delivery Method,2016,"Houston County, AL (01069)",Vaginal,830
delivery_method_3cat,Delivery Method,2016,"Houston County, AL (01069)",Cesarean,503
delivery_method_3cat,Delivery Method,2016,"Jefferson County, AL (01073)",Vaginal,5860
delivery_method_3cat,Delivery Method,2016,"Jefferson County, AL (01073)",Cesarean,2794
delivery_method_3cat,Delivery Method,2016,"Lee County, AL (01081)",Vaginal,1294
delivery_method_3cat,Delivery Method,2016,"Lee County, AL (01081)",Cesarean,604
delivery_method_3cat,Delivery Method,2016,"Madison County, AL (01089)",Vaginal,2736
delivery_method_3cat,Delivery Method,2016,"Madison County, AL (01089)",Cesarean,1491
delivery_method_3cat,Delivery Method,2016,"Mobile County, AL (01097)",Vaginal,3468
delivery_method_3cat,Delivery Method,2016,"Mobile County, AL (01097)",Cesarean,2036
delivery_method_3cat,Delivery Method,2016,"Montgomery County, AL (01101)",Vaginal,2031
delivery_method_3cat,Delivery Method,2016,"Montgomery County, AL (01101)",Cesarean,1108
delivery_method_3cat,Delivery Method,2016,"Morgan County, AL (01103)",Vaginal,987
delivery_method_3cat,Delivery Method,2016,"Morgan County, AL (01103)",Cesarean,482
delivery_method_3cat,Delivery Method,2016,"Shelby County, AL (01117)",Vaginal,1546
delivery_method_3cat,Delivery Method,2016,"Shelby County, AL (01117)",Cesarean,841
delivery_method_3cat,Delivery Method,2016,"Tuscaloosa County, AL (01125)",Vaginal,1744
delivery_method_3cat,Delivery Method,2016,"Tuscaloosa County, AL (01125)",Cesarean,847
delivery_method_3cat,Delivery Method,2016,"Unidentified Counties, AL (01999)",Vaginal,14986
delivery_method_3cat,Delivery Method,2016,"Unidentified Counties, AL (01999)",Cesarean,8140
delivery_method_3cat,Delivery Method,2016,"Anchorage Borough, AK (02020)",Vaginal,3354
delivery_method_3cat,Delivery Method,2016,"Anchorage Borough, AK (02020)",Cesarean,1164
delivery_method_3cat,Delivery Method,2016,"Unidentified Counties, AK (02999)",Vaginal,5278
delivery_method_3cat,Delivery Method,2016,"Unidentified Counties, AK (02999)",Cesarean,1411
delivery_method_3cat,Delivery Method,2016,"Cochise County, AZ (04003)",Vaginal,1058
delivery_method_3cat,Delivery Method,2016,"Cochise County, AZ (04003)",Cesarean,471
delivery_method_3cat,Delivery Method,2016,"Coconino County, AZ (04005)",Vaginal,1251
delivery_method_3cat,Delivery Method,2016,"Coconino County, AZ (04005)",Cesarean,361
delivery_method_3cat,Delivery Method,2016,"Maricopa County, AZ (04013)",Vaginal,38905
delivery_method_3cat,Delivery Method,2016,"Maricopa County, AZ (04013)",Cesarean,15219
delivery_method_3cat,Delivery Method,2016,"Mohave County, AZ (04015)",Vaginal,1287
delivery_method_3cat,Delivery Method,2016,"Mohave County, AZ (04015)",Cesarean,515
delivery_method_3cat,Delivery Method,2016,"Navajo County, AZ (04017)",Vaginal,1160
delivery_method_3cat,Delivery Method,2016,"Navajo County, AZ (04017)",Cesarean,337
delivery_method_3cat,Delivery Method,2016,"Pima County, AZ (04019)",Vaginal,8664
delivery_method_3cat,Delivery Method,2016,"Pima County, AZ (04019)",Cesarean,2756
delivery_method_3cat,Delivery Method,2016,"Pinal County, AZ (04021)",Vaginal,3170
delivery_method_3cat,Delivery Method,2016,"Pinal County, AZ (04021)",Cesarean,1300
delivery_method_3cat,Delivery Method,2016,"Yavapai County, AZ (04025)",Vaginal,1314
delivery_method_3cat,Delivery Method,2016,"Yavapai County, AZ (04025)",Cesarean,554
delivery_method_3cat,Delivery Method,2016,"Yuma County, AZ (04027)",Vaginal,2079
