variable_label,variable_name,year,geo,category,births
delivery_method_expanded,Delivery Method Expanded,2016,"Baldwin County, AL (01003)",Vaginal (excludes vaginal after previous C-section),1486
delivery_method_expanded,Delivery Method Expanded,2016,"Baldwin County, AL (01003)",Vaginal after previous c-section,19
delivery_method_expanded,Delivery Method Expanded,2016,"Baldwin County, AL (01003)",Primary C-section,460
delivery_method_expanded,Delivery Method Expanded,2016,"Baldwin County, AL (01003)",Repeat C-section,281
delivery_method_expanded,Delivery Method Expanded,2016,"Calhoun County, AL (01015)",Vaginal (excludes vaginal after previous C-section),946
delivery_method_expanded,Delivery Method Expanded,2016,"Calhoun County, AL (01015)",Vaginal after previous c-section,16
delivery_method_expanded,Delivery Method Expanded,2016,"Calhoun County, AL (01015)",Primary C-section,233
delivery_method_expanded,Delivery Method Expanded,2016,"Calhoun County, AL (01015)",Repeat C-section,162
delivery_method_expanded,Delivery Method Expanded,2016,"Etowah County, AL (01055)",Vaginal (excludes vaginal after previous C-section),821
delivery_method_expanded,Delivery Method Expanded,2016,"Etowah County, AL (01055)",Vaginal after previous c-section,13
delivery_method_expanded,Delivery Method Expanded,2016,"Etowah County, AL (01055)",Primary C-section,223
delivery_method_expanded,Delivery Method Expanded,2016,"Etowah County, AL (01055)",Repeat C-section,157
delivery_method_expanded,Delivery Method Expanded,2016,"Houston County, AL (01069)",Vaginal (excludes vaginal after previous C-section),814
delivery_method_expanded,Delivery Method Expanded,2016,"Houston County, AL (01069)",Vaginal after previous c-section,16
delivery_method_expanded,Delivery Method Expanded,2016,"Houston County, AL (01069)",Primary C-section,296
delivery_method_expanded,Delivery Method Expanded,2016,"Houston County, AL (01069)",Repeat C-section,207
delivery_method_expanded,Delivery Method Expanded,2016,"Jefferson County, AL (01073)",Vaginal (excludes vaginal after previous C-section),5702
delivery_method_expanded,Delivery Method Expanded,2016,"Jefferson County, AL (01073)",Vaginal after previous c-section,158
delivery_method_expanded,Delivery Method Expanded,2016,"Jefferson County, AL (01073)",Primary C-section,1975
delivery_method_expanded,Delivery Method Expanded,2016,"Jefferson County, AL (01073)",Repeat C-section,819
delivery_method_expanded,Delivery Method Expanded,2016,"Lee County, AL (01081)",Vaginal (excludes vaginal after previous C-section),1255
delivery_method_expanded,Delivery Method Expanded,2016,"Lee County, AL (01081)",Vaginal after previous c-section,39
delivery_method_expanded,Delivery Method Expanded,2016,"Lee County, AL (01081)",Primary C-section,352
delivery_method_expanded,Delivery Method Expanded,2016,"Lee County, AL (01081)",Repeat C-section,252
delivery_method_expanded,Delivery Method Expanded,2016,"Madison County, AL (01089)",Vaginal (excludes vaginal after previous C-section),2681
delivery_method_expanded,Delivery Method Expanded,2016,"Madison County, AL (01089)",Vaginal after previous c-section,55
delivery_method_expanded,Delivery Method Expanded,2016,"Madison County, AL (01089)",Primary C-section,860
delivery_method_expanded,Delivery Method Expanded,2016,"Madison County, AL (01089)",Repeat C-section,631
delivery_method_expanded,Delivery Method Expanded,2016,"Mobile County, AL (01097)",Vaginal (excludes vaginal after previous C-section),3425
delivery_method_expanded,Delivery Method Expanded,2016,"Mobile County, AL (01097)",Vaginal after previous c-section,43
delivery_method_expanded,Delivery Method Expanded,2016,"Mobile County, AL (01097)",Primary C-section,1288
delivery_method_expanded,Delivery Method Expanded,2016,"Mobile County, AL (01097)",Repeat C-section,748
delivery_method_expanded,Delivery Method Expanded,2016,"Montgomery County, AL (01101)",Vaginal (excludes vaginal after previous C-section),2011
