variable_label,variable_name,year,geo,category,births
eclampsia,Eclampsia,2016,"Baldwin County, AL (01003)",Yes,25
eclampsia,Eclampsia,2016,"Baldwin County, AL (01003)",No,2221
eclampsia,Eclampsia,2016,"Calhoun County, AL (01015)",Yes,16
eclampsia,Eclampsia,2016,"Calhoun County, AL (01015)",No,1341
eclampsia,Eclampsia,2016,"Etowah County, AL (01055)",No,1205
eclampsia,Eclampsia,2016,"Houston County, AL (01069)",Yes,13
eclampsia,Eclampsia,2016,"Houston County, AL (01069)",No,1320
eclampsia,Eclampsia,2016,"Jefferson County, AL (01073)",Yes,191
eclampsia,Eclampsia,2016,"Jefferson County, AL (01073)",No,8464
eclampsia,Eclampsia,2016,"Lee County, AL (01081)",No,1892
eclampsia,Eclampsia,2016,"Madison County, AL (01089)",Yes,50
eclampsia,Eclampsia,2016,"Madison County, AL (01089)",No,4178
eclampsia,Eclampsia,2016,"Mobile County, AL (01097)",Yes,28
eclampsia,Eclampsia,2016,"Mobile County, AL (01097)",No,5476
eclampsia,Eclampsia,2016,"Montgomery County, AL (01101)",Yes,43
eclampsia,Eclampsia,2016,"Montgomery County, AL (01101)",No,3096
eclampsia,Eclampsia,2016,"Morgan County, AL (01103)",No,1463
eclampsia,Eclampsia,2016,"Shelby County, AL (01117)",Yes,39
eclampsia,Eclampsia,2016,"Shelby County, AL (01117)",No,2348
eclampsia,Eclampsia,2016,"Tuscaloosa County, AL (01125)",Yes,142
eclampsia,Eclampsia,2016,"Tuscaloosa County, AL (01125)",No,2449
eclampsia,Eclampsia,2016,"Unidentified Counties, AL (01999)",Yes,348
eclampsia,Eclampsia,2016,"Unidentified Counties, AL (01999)",No,22778
eclampsia,Eclampsia,2016,"Anchorage Borough, AK (02020)",Yes,76
eclampsia,Eclampsia,2016,"Anchorage Borough, AK (02020)",No,4434
eclampsia,Eclampsia,2016,"Unidentified Counties, AK (02999)",Yes,60
eclampsia,Eclampsia,2016,"Unidentified Counties, AK (02999)",No,6564
eclampsia,Eclampsia,2016,"Unidentified Counties, AK (02999)",Unknown or Not Stated,67
eclampsia,Eclampsia,2016,"Cochise County, AZ (04003)",No,1523
eclampsia,Eclampsia,2016,"Coconino County, AZ (04005)",Yes,10
eclampsia,Eclampsia,2016,"Coconino County, AZ (04005)",No,1602
eclampsia,Eclampsia,2016,"Maricopa County, AZ (04013)",Yes,100
eclampsia,Eclampsia,2016,"Maricopa County, AZ (04013)",No,54026
eclampsia,Eclampsia,2016,"Mohave County, AZ (04015)",No,1798
eclampsia,Eclampsia,2016,"Navajo County, AZ (04017)",No,1494
eclampsia,Eclampsia,2016,"Pima County, AZ (04019)",Yes,13
eclampsia,Eclampsia,2016,"Pima County, AZ (04019)",No,11408
eclampsia,Eclampsia,2016,"Pinal County, AZ (04021)",No,4461
eclampsia,Eclampsia,2016,"Yavapai County, AZ (04025)",No,1865
eclampsia,Eclampsia,2016,"Yuma County, AZ (04027)",No,3005
eclampsia,Eclampsia,2016,"Unidentified Counties, AZ (04999)",Yes,10
eclampsia,Eclampsia,2016,"Unidentified Counties, AZ (04999)",No,3178
eclampsia,Eclampsia,2016,"Benton County, AR (05007)",Yes,11
eclampsia,Eclampsia,2016,"Benton County, AR (05007)",No,3611
eclampsia,Eclampsia,2016,"Faulkner County, AR (05045)",No,1533
eclampsia,Eclampsia,2016,"Pulaski County, AR (05119)",Yes,14
eclampsia,Eclampsia,2016,"Pulaski County, AR (05119)",No,5334
eclampsia,Eclampsia,2016,"Saline County, AR (05125)",No,1321
eclampsia,Eclampsia,2016,"Sebastian County, AR (05131)",No,1718
eclampsia,Eclampsia,2016,"Washington County, AR (05143)",No,3274
eclampsia,Eclampsia,2016,"Unidentified Counties, AR (05999)",Yes,92
eclampsia,Eclampsia,2016,"Unidentified Counties, AR (05999)",No,21351
eclampsia,Eclampsia,2016,"Alameda County, CA (06001)",Yes,26
eclampsia,Eclampsia,2016,"Alameda County, CA (06001)",No,19547
