variable_label,variable_name,year,geo,category,births
fertility_drugs,Fertility Enhancing Drugs,2016,"Baldwin County, AL (01003)",Yes,14
fertility_drugs,Fertility Enhancing Drugs,2016,"Baldwin County, AL (01003)",Not Applicable,2222
fertility_drugs,Fertility Enhancing Drugs,2016,"Calhoun County, AL (01015)",Not Applicable,1357
fertility_drugs,Fertility Enhancing Drugs,2016,"Etowah County, AL (01055)",Not Applicable,1209
fertility_drugs,Fertility Enhancing Drugs,2016,"Houston County, AL (01069)",Not Applicable,1327
fertility_drugs,Fertility Enhancing Drugs,2016,"Jefferson County, AL (01073)",Not Applicable,8653
fertility_drugs,Fertility Enhancing Drugs,2016,"Lee County, AL (01081)",Yes,11
fertility_drugs,Fertility Enhancing Drugs,2016,"Lee County, AL (01081)",Not Applicable,1885
fertility_drugs,Fertility Enhancing Drugs,2016,"Madison County, AL (01089)",Yes,40
fertility_drugs,Fertility Enhancing Drugs,2016,"Madison County, AL (01089)",No,24
fertility_drugs,Fertility Enhancing Drugs,2016,"Madison County, AL (01089)",Unknown or Not Stated,118
fertility_drugs,Fertility Enhancing Drugs,2016,"Madison County, AL (01089)",Not Applicable,4046
fertility_drugs,Fertility Enhancing Drugs,2016,"Mobile County, AL (01097)",Yes,16
fertility_drugs,Fertility Enhancing Drugs,2016,"Mobile County, AL (01097)",Unknown or Not Stated,12
fertility_drugs,Fertility Enhancing Drugs,2016,"Mobile County, AL (01097)",Not Applicable,5471
fertility_drugs,Fertility Enhancing Drugs,2016,"Montgomery County, AL (01101)",Not Applicable,3136
fertility_drugs,Fertility Enhancing Drugs,2016,"Morgan County, AL (01103)",Not Applicable,1460
fertility_drugs,Fertility Enhancing Drugs,2016,"Shelby County, AL (01117)",Not Applicable,2385
fertility_drugs,Fertility Enhancing Drugs,2016,"Tuscaloosa County, AL (01125)",Not Applicable,2576
fertility_drugs,Fertility Enhancing Drugs,2016,"Unidentified Counties, AL (01999)",Yes,51
fertility_drugs,Fertility Enhancing Drugs,2016,"Unidentified Counties, AL (01999)",No,24
fertility_drugs,Fertility Enhancing Drugs,2016,"Unidentified Counties, AL (01999)",Unknown or Not Stated,75
fertility_drugs,Fertility Enhancing Drugs,2016,"Unidentified Counties, AL (01999)",Not Applicable,22978
