variable_label,variable_name,year,geo,category,births
gestational_hypertension,Gestational Hypertension,2016,"Baldwin County, AL (01003)",Yes,150
gestational_hypertension,Gestational Hypertension,2016,"Baldwin County, AL (01003)",No,2096
gestational_hypertension,Gestational Hypertension,2016,"Calhoun County, AL (01015)",Yes,103
gestational_hypertension,Gestational Hypertension,2016,"Calhoun County, AL (01015)",No,1254
gestational_hypertension,Gestational Hypertension,2016,"Etowah County, AL (01055)",Yes,84
gestational_hypertension,Gestational Hypertension,2016,"Etowah County, AL (01055)",No,1130
gestational_hypertension,Gestational Hypertension,2016,"Houston County, AL (01069)",Yes,115
gestational_hypertension,Gestational Hypertension,2016,"Houston County, AL (01069)",No,1218
gestational_hypertension,Gestational Hypertension,2016,"Jefferson County, AL (01073)",Yes,428
gestational_hypertension,Gestational Hypertension,2016,"Jefferson County, AL (01073)",No,8227
gestational_hypertension,Gestational Hypertension,2016,"Lee County, AL (01081)",Yes,134
gestational_hypertension,Gestational Hypertension,2016,"Lee County, AL (01081)",No,1764
gestational_hypertension,Gestational Hypertension,2016,"Madison County, AL (01089)",Yes,378
gestational_hypertension,Gestational Hypertension,2016,"Madison County, AL (01089)",No,3850
gestational_hypertension,Gestational Hypertension,2016,"Mobile County, AL (01097)",Yes,483
gestational_hypertension,Gestational Hypertension,2016,"Mobile County, AL (01097)",No,5021
gestational_hypertension,Gestational Hypertension,2016,"Montgomery County, AL (01101)",Yes,219
gestational_hypertension,Gestational Hypertension,2016,"Montgomery County, AL (01101)",No,2920
gestational_hypertension,Gestational Hypertension,2016,"Morgan County, AL (01103)",Yes,100
gestational_hypertension,Gestational Hypertension,2016,"Morgan County, AL (01103)",No,1370
gestational_hypertension,Gestational Hypertension,2016,"Shelby County, AL (01117)",Yes,118
gestational_hypertension,Gestational Hypertension,2016,"Shelby County, AL (01117)",No,2269
gestational_hypertension,Gestational Hypertension,2016,"Tuscaloosa County, AL (01125)",Yes,210
gestational_hypertension,Gestational Hypertension,2016,"Tuscaloosa County, AL (01125)",No,2381
gestational_hypertension,Gestational Hypertension,2016,"Unidentified Counties, AL (01999)",Yes,1761
gestational_hypertension,Gestational Hypertension,2016,"Unidentified Counties, AL (01999)",No,21365
gestational_hypertension,Gestational Hypertension,2016,"Anchorage Borough, AK (02020)",Yes,386
gestational_hypertension,Gestational Hypertension,2016,"Anchorage Borough, AK (02020)",No,4124
gestational_hypertension,Gestational Hypertension,2016,"Unidentified Counties, AK (02999)",Yes,610
gestational_hypertension,Gestational Hypertension,2016,"Unidentified Counties, AK (02999)",No,6014
gestational_hypertension,Gestational Hypertension,2016,"Unidentified Counties, AK (02999)",Unknown or Not Stated,67
gestational_hypertension,Gestational Hypertension,2016,"Cochise County, AZ (04003)",Yes,98
gestational_hypertension,Gestational Hypertension,2016,"Cochise County, AZ (04003)",No,1431
gestational_hypertension,Gestational Hypertension,2016,"Coconino County, AZ (04005)",Yes,132
gestational_hypertension,Gestational Hypertension,2016,"Coconino County, AZ (04005)",No,1480
gestational_hypertension,Gestational Hypertension,2016,"Maricopa County, AZ (04013)",Yes,3189
gestational_hypertension,Gestational Hypertension,2016,"Maricopa County, AZ (04013)",No,50937
gestational_hypertension,Gestational Hypertension,2016,"Mohave County, AZ (04015)",Yes,53
gestational_hypertension,Gestational Hypertension,2016,"Mohave County, AZ (04015)",No,1749
gestational_hypertension,Gestational Hypertension,2016,"Navajo County, AZ (04017)",Yes,153
gestational_hypertension,Gestational Hypertension,2016,"Navajo County, AZ (04017)",No,1344
gestational_hypertension,Gestational Hypertension,2016,"Pima County, AZ (04019)",Yes,858
gestational_hypertension,Gestational Hypertension,2016,"Pima County, AZ (04019)",No,10563
gestational_hypertension,Gestational Hypertension,2016,"Pinal County, AZ (04021)",Yes,313
gestational_hypertension,Gestational Hypertension,2016,"Pinal County, AZ (04021)",No,4157
gestational_hypertension,Gestational Hypertension,2016,"Yavapai County, AZ (04025)",Yes,68
gestational_hypertension,Gestational Hypertension,2016,"Yavapai County, AZ (04025)",No,1800
gestational_hypertension,Gestational Hypertension,2016,"Yuma County, AZ (04027)",Yes,184
gestational_hypertension,Gestational Hypertension,2016,"Yuma County, AZ (04027)",No,2823
gestational_hypertension,Gestational Hypertension,2016,"Unidentified Counties, AZ (04999)",Yes,227
gestational_hypertension,Gestational Hypertension,2016,"Unidentified Counties, AZ (04999)",No,2961
gestational_hypertension,Gestational Hypertension,2016,"Benton County, AR (05007)",Yes,210
gestational_hypertension,Gestational Hypertension,2016,"Benton County, AR (05007)",No,3412
gestational_hypertension,Gestational Hypertension,2016,"Faulkner County, AR (05045)",Yes,109
gestational_hypertension,Gestational Hypertension,2016,"Faulkner County, AR (05045)",No,1425
gestational_hypertension,Gestational Hypertension,2016,"Pulaski County, AR (05119)",Yes,101
gestational_hypertension,Gestational Hypertension,2016,"Pulaski County, AR (05119)",No,5247
gestational_hypertension,Gestational Hypertension,2016,"Saline County, AR (05125)",Yes,22
gestational_hypertension,Gestational Hypertension,2016,"Saline County, AR (05125)",No,1304
gestational_hypertension,Gestational Hypertension,2016,"Sebastian County, AR (05131)",Yes,165
gestational_hypertension,Gestational Hypertension,2016,"Sebastian County, AR (05131)",No,1556
gestational_hypertension,Gestational Hypertension,2016,"Washington County, AR (05143)",Yes,213
gestational_hypertension,Gestational Hypertension,2016,"Washington County, AR (05143)",No,3067
gestational_hypertension,Gestational Hypertension,2016,"Unidentified Counties, AR (05999)",Yes,1187
gestational_hypertension,Gestational Hypertension,2016,"Unidentified Counties, AR (05999)",No,20256
gestational_hypertension,Gestational Hypertension,2016,"Alameda County, CA (06001)",Yes,746
gestational_hypertension,Gestational Hypertension,2016,"Alameda County, CA (06001)",No,18827
gestational_hypertension,Gestational Hypertension,2016,"Butte County, CA (06007)",Yes,104
gestational_hypertension,Gestational Hypertension,2016,"Butte County, CA (06007)",No,2386
gestational_hypertension,Gestational Hypertension,2016,"Contra Costa County, CA (06013)",Yes,715
gestational_hypertension,Gestational Hypertension,2016,"Contra Costa County, CA (06013)",No,11625
gestational_hypertension,Gestational Hypertension,2016,"El Dorado County, CA (06017)",Yes,55
gestational_hypertension,Gestational Hypertension,2016,"El Dorado County, CA (06017)",No,1546
gestational_hypertension,Gestational Hypertension,2016,"Fresno County, CA (06019)",Yes,418
gestational_hypertension,Gestational Hypertension,2016,"Fresno County, CA (06019)",No,14711
gestational_hypertension,Gestational Hypertension,2016,"Humboldt County, CA (06023)",Yes,80
gestational_hypertension,Gestational Hypertension,2016,"Humboldt County, CA (06023)",No,1402
gestational_hypertension,Gestational Hypertension,2016,"Imperial County, CA (06025)",Yes,22
gestational_hypertension,Gestational Hypertension,2016,"Imperial County, CA (06025)",No,2917
gestational_hypertension,Gestational Hypertension,2016,"Kern County, CA (06029)",Yes,418
gestational_hypertension,Gestational Hypertension,2016,"Kern County, CA (06029)",No,13310
gestational_hypertension,Gestational Hypertension,2016,"Kings County, CA (06031)",Yes,29
gestational_hypertension,Gestational Hypertension,2016,"Kings County, CA (06031)",No,2219
gestational_hypertension,Gestational Hypertension,2016,"Los Angeles County, CA (06037)",Yes,4417
gestational_hypertension,Gestational Hypertension,2016,"Los Angeles County, CA (06037)",No,118673
gestational_hypertension,Gestational Hypertension,2016,"Madera County, CA (06039)",Yes,67
gestational_hypertension,Gestational Hypertension,2016,"Madera County, CA (06039)",No,2288
gestational_hypertension,Gestational Hypertension,2016,"Marin County, CA (06041)",Yes,106
gestational_hypertension,Gestational Hypertension,2016,"Marin County, CA (06041)",No,2146
gestational_hypertension,Gestational Hypertension,2016,"Merced County, CA (06047)",Yes,163
gestational_hypertension,Gestational Hypertension,2016,"Merced County, CA (06047)",No,3954
gestational_hypertension,Gestational Hypertension,2016,"Monterey County, CA (06053)",Yes,332
gestational_hypertension,Gestational Hypertension,2016,"Monterey County, CA (06053)",No,5887
gestational_hypertension,Gestational Hypertension,2016,"Napa County, CA (06055)",Yes,62
gestational_hypertension,Gestational Hypertension,2016,"Napa County, CA (06055)",No,1344
gestational_hypertension,Gestational Hypertension,2016,"Orange County, CA (06059)",Yes,1396
gestational_hypertension,Gestational Hypertension,2016,"Orange County, CA (06059)",No,36709
gestational_hypertension,Gestational Hypertension,2016,"Placer County, CA (06061)",Yes,173
gestational_hypertension,Gestational Hypertension,2016,"Placer County, CA (06061)",No,3559
gestational_hypertension,Gestational Hypertension,2016,"Riverside County, CA (06065)",Yes,1107
gestational_hypertension,Gestational Hypertension,2016,"Riverside County, CA (06065)",No,29554
gestational_hypertension,Gestational Hypertension,2016,"Sacramento County, CA (06067)",Yes,963
gestational_hypertension,Gestational Hypertension,2016,"Sacramento County, CA (06067)",No,18625
gestational_hypertension,Gestational Hypertension,2016,"San Bernardino County, CA (06071)",Yes,1288
gestational_hypertension,Gestational Hypertension,2016,"San Bernardino County, CA (06071)",No,29744
gestational_hypertension,Gestational Hypertension,2016,"San Diego County, CA (06073)",Yes,2048
gestational_hypertension,Gestational Hypertension,2016,"San Diego County, CA (06073)",No,40672
gestational_hypertension,Gestational Hypertension,2016,"San Francisco County, CA (06075)",Yes,350
gestational_hypertension,Gestational Hypertension,2016,"San Francisco County, CA (06075)",No,8712
gestational_hypertension,Gestational Hypertension,2016,"San Joaquin County, CA (06077)",Yes,174
gestational_hypertension,Gestational Hypertension,2016,"San Joaquin County, CA (06077)",No,10094
gestational_hypertension,Gestational Hypertension,2016,"San Luis Obispo County, CA (06079)",Yes,92
gestational_hypertension,Gestational Hypertension,2016,"San Luis Obispo County, CA (06079)",No,2489
gestational_hypertension,Gestational Hypertension,2016,"San Mateo County, CA (06081)",Yes,180
gestational_hypertension,Gestational Hypertension,2016,"San Mateo County, CA (06081)",No,8780
gestational_hypertension,Gestational Hypertension,2016,"Santa Barbara County, CA (06083)",Yes,314
gestational_hypertension,Gestational Hypertension,2016,"Santa Barbara County, CA (06083)",No,5187
gestational_hypertension,Gestational Hypertension,2016,"Santa Clara County, CA (06085)",Yes,1030
gestational_hypertension,Gestational Hypertension,2016,"Santa Clara County, CA (06085)",No,22012
gestational_hypertension,Gestational Hypertension,2016,"Santa Cruz County, CA (06087)",Yes,112
gestational_hypertension,Gestational Hypertension,2016,"Santa Cruz County, CA (06087)",No,2687
gestational_hypertension,Gestational Hypertension,2016,"Shasta County, CA (06089)",Yes,108
gestational_hypertension,Gestational Hypertension,2016,"Shasta County, CA (06089)",No,1940
gestational_hypertension,Gestational Hypertension,2016,"Solano County, CA (06095)",Yes,422
gestational_hypertension,Gestational Hypertension,2016,"Solano County, CA (06095)",No,4837
gestational_hypertension,Gestational Hypertension,2016,"Sonoma County, CA (06097)",Yes,185
gestational_hypertension,Gestational Hypertension,2016,"Sonoma County, CA (06097)",No,4777
gestational_hypertension,Gestational Hypertension,2016,"Stanislaus County, CA (06099)",Yes,166
gestational_hypertension,Gestational Hypertension,2016,"Stanislaus County, CA (06099)",No,7696
gestational_hypertension,Gestational Hypertension,2016,"Tulare County, CA (06107)",Yes,191
gestational_hypertension,Gestational Hypertension,2016,"Tulare County, CA (06107)",No,6955
gestational_hypertension,Gestational Hypertension,2016,"Ventura County, CA (06111)",Yes,533
gestational_hypertension,Gestational Hypertension,2016,"Ventura County, CA (06111)",No,9059
gestational_hypertension,Gestational Hypertension,2016,"Yolo County, CA (06113)",Yes,100
gestational_hypertension,Gestational Hypertension,2016,"Yolo County, CA (06113)",No,2323
gestational_hypertension,Gestational Hypertension,2016,"Unidentified Counties, CA (06999)",Yes,553
gestational_hypertension,Gestational Hypertension,2016,"Unidentified Counties, CA (06999)",No,9959
gestational_hypertension,Gestational Hypertension,2016,"Adams County, CO (08001)",Yes,458
gestational_hypertension,Gestational Hypertension,2016,"Adams County, CO (08001)",No,6214
gestational_hypertension,Gestational Hypertension,2016,"Arapahoe County, CO (08005)",Yes,643
gestational_hypertension,Gestational Hypertension,2016,"Arapahoe County, CO (08005)",No,7267
gestational_hypertension,Gestational Hypertension,2016,"Boulder County, CO (08013)",Yes,166
gestational_hypertension,Gestational Hypertension,2016,"Boulder County, CO (08013)",No,2563
gestational_hypertension,Gestational Hypertension,2016,"Denver County, CO (08031)",Yes,731
gestational_hypertension,Gestational Hypertension,2016,"Denver County, CO (08031)",No,9271
gestational_hypertension,Gestational Hypertension,2016,"Douglas County, CO (08035)",Yes,270
gestational_hypertension,Gestational Hypertension,2016,"Douglas County, CO (08035)",No,3218
gestational_hypertension,Gestational Hypertension,2016,"El Paso County, CO (08041)",Yes,399
gestational_hypertension,Gestational Hypertension,2016,"El Paso County, CO (08041)",No,9090
gestational_hypertension,Gestational Hypertension,2016,"Jefferson County, CO (08059)",Yes,371
gestational_hypertension,Gestational Hypertension,2016,"Jefferson County, CO (08059)",No,5732
gestational_hypertension,Gestational Hypertension,2016,"Larimer County, CO (08069)",Yes,96
gestational_hypertension,Gestational Hypertension,2016,"Larimer County, CO (08069)",No,3279
gestational_hypertension,Gestational Hypertension,2016,"Mesa County, CO (08077)",Yes,72
gestational_hypertension,Gestational Hypertension,2016,"Mesa County, CO (08077)",No,1698
gestational_hypertension,Gestational Hypertension,2016,"Pueblo County, CO (08101)",Yes,107
gestational_hypertension,Gestational Hypertension,2016,"Pueblo County, CO (08101)",No,1776
gestational_hypertension,Gestational Hypertension,2016,"Weld County, CO (08123)",Yes,178
gestational_hypertension,Gestational Hypertension,2016,"Weld County, CO (08123)",No,4128
gestational_hypertension,Gestational Hypertension,2016,"Unidentified Counties, CO (08999)",Yes,465
gestational_hypertension,Gestational Hypertension,2016,"Unidentified Counties, CO (08999)",No,8409
gestational_hypertension,Gestational Hypertension,2016,"Fairfield County, CT (09001)",Yes,412
gestational_hypertension,Gestational Hypertension,2016,"Fairfield County, CT (09001)",No,9522
gestational_hypertension,Gestational Hypertension,2016,"Fairfield County, CT (09001)",Unknown or Not Stated,130
