variable_label,variable_name,year,geo,category,births
gonorrhea,Gonorrhea,2016,Alabama (01),Yes,215
gonorrhea,Gonorrhea,2016,Alabama (01),No,58918
gonorrhea,Gonorrhea,2016,Alabama (01),Unknown or Not Stated,18
gonorrhea,Gonorrhea,2016,Alaska (02),Yes,27
gonorrhea,Gonorrhea,2016,Alaska (02),No,11084
gonorrhea,Gonorrhea,2016,Alaska (02),Unknown or Not Stated,98
gonorrhea,Gonorrhea,2016,Arizona (04),Yes,250
gonorrhea,Gonorrhea,2016,Arizona (04),No,84269
gonorrhea,Gonorrhea,2016,Arkansas (05),Yes,208
gonorrhea,Gonorrhea,2016,Arkansas (05),No,38064
gonorrhea,Gonorrhea,2016,California (06),Yes,379
gonorrhea,Gonorrhea,2016,California (06),No,488407
gonorrhea,Gonorrhea,2016,California (06),Unknown or Not Stated,41
gonorrhea,Gonorrhea,2016,Colorado (08),Yes,103
gonorrhea,Gonorrhea,2016,Colorado (08),No,66500
gonorrhea,Gonorrhea,2016,Colorado (08),Unknown or Not Stated,10
gonorrhea,Gonorrhea,2016,Connecticut (09),Yes,32
gonorrhea,Gonorrhea,2016,Connecticut (09),No,35369
gonorrhea,Gonorrhea,2016,Connecticut (09),Unknown or Not Stated,614
gonorrhea,Gonorrhea,2016,Delaware (10),Yes,35
gonorrhea,Gonorrhea,2016,Delaware (10),No,10957
gonorrhea,Gonorrhea,2016,District of Columbia (11),Yes,21
gonorrhea,Gonorrhea,2016,District of Columbia (11),No,9821
gonorrhea,Gonorrhea,2016,District of Columbia (11),Unknown or Not Stated,16
gonorrhea,Gonorrhea,2016,Florida (12),Yes,573
gonorrhea,Gonorrhea,2016,Florida (12),No,221967
gonorrhea,Gonorrhea,2016,Florida (12),Unknown or Not Stated,2482
gonorrhea,Gonorrhea,2016,Georgia (13),Yes,550
gonorrhea,Gonorrhea,2016,Georgia (13),No,128961
gonorrhea,Gonorrhea,2016,Georgia (13),Unknown or Not Stated,531
gonorrhea,Gonorrhea,2016,Hawaii (15),Yes,16
gonorrhea,Gonorrhea,2016,Hawaii (15),No,18043
gonorrhea,Gonorrhea,2016,Idaho (16),Yes,29
gonorrhea,Gonorrhea,2016,Idaho (16),No,22381
gonorrhea,Gonorrhea,2016,Idaho (16),Unknown or Not Stated,72
gonorrhea,Gonorrhea,2016,Illinois (17),Yes,442
gonorrhea,Gonorrhea,2016,Illinois (17),No,153680
gonorrhea,Gonorrhea,2016,Illinois (17),Unknown or Not Stated,323
