variable_label,variable_name,year,category,births
hepatitis_b,Hepatitis B,2016,0,2885211
hepatitis_b,Hepatitis B,2016,1,680684
hepatitis_b,Hepatitis B,2016,2,229778
hepatitis_b,Hepatitis B,2016,3,78566
hepatitis_b,Hepatitis B,2016,4,29045
hepatitis_b,Hepatitis B,2016,5,11593
hepatitis_b,Hepatitis B,2016,6 or more,11656
hepatitis_b,Hepatitis B,2016,Unknown or Not Stated,19342
hepatitis_b,Hepatitis B,2017,0,2809291
hepatitis_b,Hepatitis B,2017,1,678010
hepatitis_b,Hepatitis B,2017,2,226988
hepatitis_b,Hepatitis B,2017,3,78242
hepatitis_b,Hepatitis B,2017,4,28840
hepatitis_b,Hepatitis B,2017,5,11559
hepatitis_b,Hepatitis B,2017,6 or more,11443
hepatitis_b,Hepatitis B,2017,Unknown or Not Stated,11127
hepatitis_b,Hepatitis B,2018,0,2746926
hepatitis_b,Hepatitis B,2018,1,673284
hepatitis_b,Hepatitis B,2018,2,227585
hepatitis_b,Hepatitis B,2018,3,78817
hepatitis_b,Hepatitis B,2018,4,28934
hepatitis_b,Hepatitis B,2018,5,11708
hepatitis_b,Hepatitis B,2018,6 or more,11803
hepatitis_b,Hepatitis B,2018,Unknown or Not Stated,12655
hepatitis_b,Hepatitis B,2019,0,2711760
hepatitis_b,Hepatitis B,2019,1,667935
hepatitis_b,Hepatitis B,2019,2,226808
hepatitis_b,Hepatitis B,2019,3,79119
hepatitis_b,Hepatitis B,2019,4,28804
hepatitis_b,Hepatitis B,2019,5,11714
hepatitis_b,Hepatitis B,2019,6 or more,12039
hepatitis_b,Hepatitis B,2019,Unknown or Not Stated,9361
hepatitis_b,Hepatitis B,2020,0,2608839
hepatitis_b,Hepatitis B,2020,1,645750
hepatitis_b,Hepatitis B,2020,2,220653
hepatitis_b,Hepatitis B,2020,3,77504
hepatitis_b,Hepatitis B,2020,4,28766
hepatitis_b,Hepatitis B,2020,5,11596
hepatitis_b,Hepatitis B,2020,6 or more,11895
hepatitis_b,Hepatitis B,2020,Unknown or Not Stated,8644
hepatitis_b,Hepatitis B,2021,0,2634758
hepatitis_b,Hepatitis B,2021,1,659309
hepatitis_b,Hepatitis B,2021,2,225583
hepatitis_b,Hepatitis B,2021,3,79221
hepatitis_b,Hepatitis B,2021,4,29659
hepatitis_b,Hepatitis B,2021,5,11737
hepatitis_b,Hepatitis B,2021,6 or more,11853
hepatitis_b,Hepatitis B,2021,Unknown or Not Stated,12172
hepatitis_b,Hepatitis B,2022,0,2637639
hepatitis_b,Hepatitis B,2022,1,658626
hepatitis_b,Hepatitis B,2022,2,225446
hepatitis_b,Hepatitis B,2022,3,79833
hepatitis_b,Hepatitis B,2022,4,29856
hepatitis_b,Hepatitis B,2022,5,12219
hepatitis_b,Hepatitis B,2022,6 or more,12403
hepatitis_b,Hepatitis B,2022,Unknown or Not Stated,11736
hepatitis_b,Hepatitis B,2023,0,2580930
hepatitis_b,Hepatitis B,2023,1,646287
hepatitis_b,Hepatitis B,2023,2,222935
hepatitis_b,Hepatitis B,2023,3,80286
hepatitis_b,Hepatitis B,2023,4,29904
hepatitis_b,Hepatitis B,2023,5,12229
hepatitis_b,Hepatitis B,2023,6 or more,12344
hepatitis_b,Hepatitis B,2023,Unknown or Not Stated,11102
hepatitis_b,Hepatitis B,2024,0,2596000
hepatitis_b,Hepatitis B,2024,1,654141
hepatitis_b,Hepatitis B,2024,2,225337
hepatitis_b,Hepatitis B,2024,3,81236
hepatitis_b,Hepatitis B,2024,4,30527
hepatitis_b,Hepatitis B,2024,5,12277
hepatitis_b,Hepatitis B,2024,6 or more,12740
hepatitis_b,Hepatitis B,2024,Unknown or Not Stated,16676
