variable_label,variable_name,year,geo,category,births
hepatitis_c,Hepatitis C,2016,Alabama (01),Yes,179
hepatitis_c,Hepatitis C,2016,Alabama (01),No,58954
hepatitis_c,Hepatitis C,2016,Alabama (01),Unknown or Not Stated,18
hepatitis_c,Hepatitis C,2016,Alaska (02),Yes,92
hepatitis_c,Hepatitis C,2016,Alaska (02),No,11019
hepatitis_c,Hepatitis C,2016,Alaska (02),Unknown or Not Stated,98
hepatitis_c,Hepatitis C,2016,Arizona (04),Yes,184
hepatitis_c,Hepatitis C,2016,Arizona (04),No,84335
hepatitis_c,Hepatitis C,2016,Arkansas (05),Yes,138
hepatitis_c,Hepatitis C,2016,Arkansas (05),No,38134
hepatitis_c,Hepatitis C,2016,California (06),Yes,401
hepatitis_c,Hepatitis C,2016,California (06),No,488385
hepatitis_c,Hepatitis C,2016,California (06),Unknown or Not Stated,41
hepatitis_c,Hepatitis C,2016,Colorado (08),Yes,134
hepatitis_c,Hepatitis C,2016,Colorado (08),No,66469
hepatitis_c,Hepatitis C,2016,Colorado (08),Unknown or Not Stated,10
hepatitis_c,Hepatitis C,2016,Connecticut (09),Yes,135
hepatitis_c,Hepatitis C,2016,Connecticut (09),No,35266
hepatitis_c,Hepatitis C,2016,Connecticut (09),Unknown or Not Stated,614
hepatitis_c,Hepatitis C,2016,Delaware (10),Yes,85
hepatitis_c,Hepatitis C,2016,Delaware (10),No,10907
hepatitis_c,Hepatitis C,2016,District of Columbia (11),No,9836
hepatitis_c,Hepatitis C,2016,District of Columbia (11),Unknown or Not Stated,16
hepatitis_c,Hepatitis C,2016,Florida (12),Yes,1176
hepatitis_c,Hepatitis C,2016,Florida (12),No,221364
hepatitis_c,Hepatitis C,2016,Florida (12),Unknown or Not Stated,2482
hepatitis_c,Hepatitis C,2016,Georgia (13),Yes,177
hepatitis_c,Hepatitis C,2016,Georgia (13),No,129334
hepatitis_c,Hepatitis C,2016,Georgia (13),Unknown or Not Stated,531
hepatitis_c,Hepatitis C,2016,Hawaii (15),Yes,17
hepatitis_c,Hepatitis C,2016,Hawaii (15),No,18042
hepatitis_c,Hepatitis C,2016,Idaho (16),Yes,43
hepatitis_c,Hepatitis C,2016,Idaho (16),No,22367
hepatitis_c,Hepatitis C,2016,Idaho (16),Unknown or Not Stated,72
hepatitis_c,Hepatitis C,2016,Illinois (17),Yes,220
hepatitis_c,Hepatitis C,2016,Illinois (17),No,153902
hepatitis_c,Hepatitis C,2016,Illinois (17),Unknown or Not Stated,323
hepatitis_c,Hepatitis C,2016,Indiana (18),Yes,511
hepatitis_c,Hepatitis C,2016,Indiana (18),No,82571
hepatitis_c,Hepatitis C,2016,Iowa (19),Yes,70
hepatitis_c,Hepatitis C,2016,Iowa (19),No,39332
hepatitis_c,Hepatitis C,2016,Kansas (20),Yes,71
hepatitis_c,Hepatitis C,2016,Kansas (20),No,37982
hepatitis_c,Hepatitis C,2016,Kentucky (21),Yes,1096
hepatitis_c,Hepatitis C,2016,Kentucky (21),No,53833
hepatitis_c,Hepatitis C,2016,Kentucky (21),Unknown or Not Stated,520
hepatitis_c,Hepatitis C,2016,Louisiana (22),Yes,240
hepatitis_c,Hepatitis C,2016,Louisiana (22),No,62938
hepatitis_c,Hepatitis C,2016,Maine (23),Yes,137
hepatitis_c,Hepatitis C,2016,Maine (23),No,12487
hepatitis_c,Hepatitis C,2016,Maine (23),Unknown or Not Stated,81
hepatitis_c,Hepatitis C,2016,Maryland (24),Yes,276
hepatitis_c,Hepatitis C,2016,Maryland (24),No,72767
hepatitis_c,Hepatitis C,2016,Maryland (24),Unknown or Not Stated,93
hepatitis_c,Hepatitis C,2016,Massachusetts (25),Yes,696
hepatitis_c,Hepatitis C,2016,Massachusetts (25),No,70515
hepatitis_c,Hepatitis C,2016,Massachusetts (25),Unknown or Not Stated,106
hepatitis_c,Hepatitis C,2016,Michigan (26),Yes,354
hepatitis_c,Hepatitis C,2016,Michigan (26),No,111936
hepatitis_c,Hepatitis C,2016,Michigan (26),Unknown or Not Stated,1025
hepatitis_c,Hepatitis C,2016,Minnesota (27),Yes,164
hepatitis_c,Hepatitis C,2016,Minnesota (27),No,69395
hepatitis_c,Hepatitis C,2016,Minnesota (27),Unknown or Not Stated,190
hepatitis_c,Hepatitis C,2016,Mississippi (28),Yes,59
hepatitis_c,Hepatitis C,2016,Mississippi (28),No,37851
hepatitis_c,Hepatitis C,2016,Mississippi (28),Unknown or Not Stated,18
hepatitis_c,Hepatitis C,2016,Missouri (29),Yes,518
hepatitis_c,Hepatitis C,2016,Missouri (29),No,74185
hepatitis_c,Hepatitis C,2016,Montana (30),Yes,180
hepatitis_c,Hepatitis C,2016,Montana (30),No,12075
hepatitis_c,Hepatitis C,2016,Montana (30),Unknown or Not Stated,27
hepatitis_c,Hepatitis C,2016,Nebraska (31),Yes,41
