variable_label,variable_name,year,geo,category,births
induction_of_labor,Induction of Labor,2016,"Baldwin County, AL (01003)",Yes,807
induction_of_labor,Induction of Labor,2016,"Baldwin County, AL (01003)",No,1439
induction_of_labor,Induction of Labor,2016,"Calhoun County, AL (01015)",Yes,493
induction_of_labor,Induction of Labor,2016,"Calhoun County, AL (01015)",No,864
induction_of_labor,Induction of Labor,2016,"Etowah County, AL (01055)",Yes,475
induction_of_labor,Induction of Labor,2016,"Etowah County, AL (01055)",No,739
induction_of_labor,Induction of Labor,2016,"Houston County, AL (01069)",Yes,381
induction_of_labor,Induction of Labor,2016,"Houston County, AL (01069)",No,952
induction_of_labor,Induction of Labor,2016,"Jefferson County, AL (01073)",Yes,1738
induction_of_labor,Induction of Labor,2016,"Jefferson County, AL (01073)",No,6917
induction_of_labor,Induction of Labor,2016,"Lee County, AL (01081)",Yes,533
induction_of_labor,Induction of Labor,2016,"Lee County, AL (01081)",No,1365
induction_of_labor,Induction of Labor,2016,"Madison County, AL (01089)",Yes,1541
induction_of_labor,Induction of Labor,2016,"Madison County, AL (01089)",No,2687
induction_of_labor,Induction of Labor,2016,"Mobile County, AL (01097)",Yes,1091
induction_of_labor,Induction of Labor,2016,"Mobile County, AL (01097)",No,4413
induction_of_labor,Induction of Labor,2016,"Montgomery County, AL (01101)",Yes,822
induction_of_labor,Induction of Labor,2016,"Montgomery County, AL (01101)",No,2317
induction_of_labor,Induction of Labor,2016,"Morgan County, AL (01103)",Yes,576
induction_of_labor,Induction of Labor,2016,"Morgan County, AL (01103)",No,894
induction_of_labor,Induction of Labor,2016,"Shelby County, AL (01117)",Yes,660
induction_of_labor,Induction of Labor,2016,"Shelby County, AL (01117)",No,1727
induction_of_labor,Induction of Labor,2016,"Tuscaloosa County, AL (01125)",Yes,821
induction_of_labor,Induction of Labor,2016,"Tuscaloosa County, AL (01125)",No,1770
induction_of_labor,Induction of Labor,2016,"Unidentified Counties, AL (01999)",Yes,7665
induction_of_labor,Induction of Labor,2016,"Unidentified Counties, AL (01999)",No,15462
induction_of_labor,Induction of Labor,2016,"Anchorage Borough, AK (02020)",Yes,1216
induction_of_labor,Induction of Labor,2016,"Anchorage Borough, AK (02020)",No,3298
induction_of_labor,Induction of Labor,2016,"Unidentified Counties, AK (02999)",Yes,1688
induction_of_labor,Induction of Labor,2016,"Unidentified Counties, AK (02999)",No,4966
induction_of_labor,Induction of Labor,2016,"Unidentified Counties, AK (02999)",Unknown or Not Stated,37
induction_of_labor,Induction of Labor,2016,"Cochise County, AZ (04003)",Yes,571
induction_of_labor,Induction of Labor,2016,"Cochise County, AZ (04003)",No,958
