variable_label,variable_name,year,category,births
infections_checked,Infections Checked,2016,Metro,3357993
infections_checked,Infections Checked,2016,Nonmetro,587882
infections_checked,Infections Checked,2017,Metro,3280196
infections_checked,Infections Checked,2017,Nonmetro,575304
infections_checked,Infections Checked,2018,Metro,3224711
infections_checked,Infections Checked,2018,Nonmetro,567001
infections_checked,Infections Checked,2019,Metro,3188229
infections_checked,Infections Checked,2019,Nonmetro,559311
infections_checked,Infections Checked,2020,Metro,3070919
infections_checked,Infections Checked,2020,Nonmetro,542728
infections_checked,Infections Checked,2021,Metro,3114296
infections_checked,Infections Checked,2021,Nonmetro,549996
infections_checked,Infections Checked,2022,Metro,3123025
infections_checked,Infections Checked,2022,Nonmetro,544733
infections_checked,Infections Checked,2023,Metro,3056695
infections_checked,Infections Checked,2023,Nonmetro,539322
infections_checked,Infections Checked,2024,Metro,3085967
infections_checked,Infections Checked,2024,Nonmetro,542967
