variable_label,variable_name,year,geo,category,births
infertility_treatment,Infertility Treatment Used,2016,"Baldwin County, AL (01003)",Yes,24
infertility_treatment,Infertility Treatment Used,2016,"Baldwin County, AL (01003)",No,2222
infertility_treatment,Infertility Treatment Used,2016,"Calhoun County, AL (01015)",No,1357
infertility_treatment,Infertility Treatment Used,2016,"Etowah County, AL (01055)",No,1209
infertility_treatment,Infertility Treatment Used,2016,"Houston County, AL (01069)",No,1327
infertility_treatment,Infertility Treatment Used,2016,"Jefferson County, AL (01073)",No,8653
infertility_treatment,Infertility Treatment Used,2016,"Lee County, AL (01081)",Yes,13
infertility_treatment,Infertility Treatment Used,2016,"Lee County, AL (01081)",No,1885
infertility_treatment,Infertility Treatment Used,2016,"Madison County, AL (01089)",Yes,182
infertility_treatment,Infertility Treatment Used,2016,"Madison County, AL (01089)",No,4046
infertility_treatment,Infertility Treatment Used,2016,"Mobile County, AL (01097)",Yes,33
infertility_treatment,Infertility Treatment Used,2016,"Mobile County, AL (01097)",No,5471
infertility_treatment,Infertility Treatment Used,2016,"Montgomery County, AL (01101)",No,3136
infertility_treatment,Infertility Treatment Used,2016,"Morgan County, AL (01103)",Yes,10
infertility_treatment,Infertility Treatment Used,2016,"Morgan County, AL (01103)",No,1460
infertility_treatment,Infertility Treatment Used,2016,"Shelby County, AL (01117)",No,2385
infertility_treatment,Infertility Treatment Used,2016,"Tuscaloosa County, AL (01125)",Yes,15
infertility_treatment,Infertility Treatment Used,2016,"Tuscaloosa County, AL (01125)",No,2576
infertility_treatment,Infertility Treatment Used,2016,"Unidentified Counties, AL (01999)",Yes,148
infertility_treatment,Infertility Treatment Used,2016,"Unidentified Counties, AL (01999)",No,22978
infertility_treatment,Infertility Treatment Used,2016,"Anchorage Borough, AK (02020)",Yes,76
infertility_treatment,Infertility Treatment Used,2016,"Anchorage Borough, AK (02020)",No,4434
infertility_treatment,Infertility Treatment Used,2016,"Unidentified Counties, AK (02999)",Yes,50
infertility_treatment,Infertility Treatment Used,2016,"Unidentified Counties, AK (02999)",No,6574
infertility_treatment,Infertility Treatment Used,2016,"Unidentified Counties, AK (02999)",Unknown or Not Stated,67
infertility_treatment,Infertility Treatment Used,2016,"Cochise County, AZ (04003)",Yes,20
infertility_treatment,Infertility Treatment Used,2016,"Cochise County, AZ (04003)",No,1509
infertility_treatment,Infertility Treatment Used,2016,"Coconino County, AZ (04005)",Yes,12
infertility_treatment,Infertility Treatment Used,2016,"Coconino County, AZ (04005)",No,1600
infertility_treatment,Infertility Treatment Used,2016,"Maricopa County, AZ (04013)",Yes,1107
infertility_treatment,Infertility Treatment Used,2016,"Maricopa County, AZ (04013)",No,53019
infertility_treatment,Infertility Treatment Used,2016,"Mohave County, AZ (04015)",No,1794
infertility_treatment,Infertility Treatment Used,2016,"Navajo County, AZ (04017)",Yes,12
infertility_treatment,Infertility Treatment Used,2016,"Navajo County, AZ (04017)",No,1485
infertility_treatment,Infertility Treatment Used,2016,"Pima County, AZ (04019)",Yes,170
infertility_treatment,Infertility Treatment Used,2016,"Pima County, AZ (04019)",No,11251
infertility_treatment,Infertility Treatment Used,2016,"Pinal County, AZ (04021)",Yes,68
infertility_treatment,Infertility Treatment Used,2016,"Pinal County, AZ (04021)",No,4402
infertility_treatment,Infertility Treatment Used,2016,"Yavapai County, AZ (04025)",Yes,14
infertility_treatment,Infertility Treatment Used,2016,"Yavapai County, AZ (04025)",No,1854
infertility_treatment,Infertility Treatment Used,2016,"Yuma County, AZ (04027)",Yes,14
infertility_treatment,Infertility Treatment Used,2016,"Yuma County, AZ (04027)",No,2993
infertility_treatment,Infertility Treatment Used,2016,"Unidentified Counties, AZ (04999)",Yes,28
infertility_treatment,Infertility Treatment Used,2016,"Unidentified Counties, AZ (04999)",No,3160
infertility_treatment,Infertility Treatment Used,2016,"Benton County, AR (05007)",Yes,63
infertility_treatment,Infertility Treatment Used,2016,"Benton County, AR (05007)",No,3559
infertility_treatment,Infertility Treatment Used,2016,"Faulkner County, AR (05045)",Yes,15
infertility_treatment,Infertility Treatment Used,2016,"Faulkner County, AR (05045)",No,1519
infertility_treatment,Infertility Treatment Used,2016,"Pulaski County, AR (05119)",Yes,16
infertility_treatment,Infertility Treatment Used,2016,"Pulaski County, AR (05119)",No,5332
infertility_treatment,Infertility Treatment Used,2016,"Saline County, AR (05125)",No,1326
infertility_treatment,Infertility Treatment Used,2016,"Sebastian County, AR (05131)",No,1719
infertility_treatment,Infertility Treatment Used,2016,"Washington County, AR (05143)",Yes,37
infertility_treatment,Infertility Treatment Used,2016,"Washington County, AR (05143)",No,3243
infertility_treatment,Infertility Treatment Used,2016,"Unidentified Counties, AR (05999)",Yes,92
infertility_treatment,Infertility Treatment Used,2016,"Unidentified Counties, AR (05999)",No,21351
infertility_treatment,Infertility Treatment Used,2016,"Alameda County, CA (06001)",Yes,226
infertility_treatment,Infertility Treatment Used,2016,"Alameda County, CA (06001)",No,19347
infertility_treatment,Infertility Treatment Used,2016,"Butte County, CA (06007)",Yes,12
infertility_treatment,Infertility Treatment Used,2016,"Butte County, CA (06007)",No,2478
