variable_label,variable_name,year,geo,category,births
live_birth_order,Live Birth Order,2016,"Baldwin County, AL (01003)",1,867
live_birth_order,Live Birth Order,2016,"Baldwin County, AL (01003)",2,737
live_birth_order,Live Birth Order,2016,"Baldwin County, AL (01003)",3,400
live_birth_order,Live Birth Order,2016,"Baldwin County, AL (01003)",4,154
live_birth_order,Live Birth Order,2016,"Baldwin County, AL (01003)",5,53
live_birth_order,Live Birth Order,2016,"Baldwin County, AL (01003)",6,22
live_birth_order,Live Birth Order,2016,"Calhoun County, AL (01015)",1,519
live_birth_order,Live Birth Order,2016,"Calhoun County, AL (01015)",2,433
live_birth_order,Live Birth Order,2016,"Calhoun County, AL (01015)",3,237
live_birth_order,Live Birth Order,2016,"Calhoun County, AL (01015)",4,106
live_birth_order,Live Birth Order,2016,"Calhoun County, AL (01015)",5,38
live_birth_order,Live Birth Order,2016,"Calhoun County, AL (01015)",6,10
live_birth_order,Live Birth Order,2016,"Calhoun County, AL (01015)",7,10
live_birth_order,Live Birth Order,2016,"Etowah County, AL (01055)",1,452
live_birth_order,Live Birth Order,2016,"Etowah County, AL (01055)",2,412
live_birth_order,Live Birth Order,2016,"Etowah County, AL (01055)",3,224
live_birth_order,Live Birth Order,2016,"Etowah County, AL (01055)",4,85
live_birth_order,Live Birth Order,2016,"Etowah County, AL (01055)",5,22
live_birth_order,Live Birth Order,2016,"Etowah County, AL (01055)",6,12
live_birth_order,Live Birth Order,2016,"Houston County, AL (01069)",1,513
live_birth_order,Live Birth Order,2016,"Houston County, AL (01069)",2,445
live_birth_order,Live Birth Order,2016,"Houston County, AL (01069)",3,210
live_birth_order,Live Birth Order,2016,"Houston County, AL (01069)",4,103
live_birth_order,Live Birth Order,2016,"Houston County, AL (01069)",5,37
live_birth_order,Live Birth Order,2016,"Houston County, AL (01069)",6,15
live_birth_order,Live Birth Order,2016,"Jefferson County, AL (01073)",1,3337
live_birth_order,Live Birth Order,2016,"Jefferson County, AL (01073)",2,2769
live_birth_order,Live Birth Order,2016,"Jefferson County, AL (01073)",3,1511
