variable_label,variable_name,year,category,births
marital_status,Marital Status,2016,Under 20 weeks,1433
marital_status,Marital Status,2016,20 - 27 weeks,26503
marital_status,Marital Status,2016,28 - 31 weeks,46517
marital_status,Marital Status,2016,32 - 35 weeks,208874
marital_status,Marital Status,2016,36 weeks,166133
marital_status,Marital Status,2016,37 - 39 weeks,2177563
marital_status,Marital Status,2016,40 weeks,775619
marital_status,Marital Status,2016,41 weeks,336069
marital_status,Marital Status,2016,42 weeks or more,203707
marital_status,Marital Status,2016,Unknown or Not Stated,3457
marital_status,Marital Status,2017,Under 20 weeks,1533
marital_status,Marital Status,2017,20 - 27 weeks,25920
marital_status,Marital Status,2017,28 - 31 weeks,46069
marital_status,Marital Status,2017,32 - 35 weeks,208388
marital_status,Marital Status,2017,36 weeks,166371
marital_status,Marital Status,2017,37 - 39 weeks,2146478
marital_status,Marital Status,2017,40 weeks,744171
marital_status,Marital Status,2017,41 weeks,318650
marital_status,Marital Status,2017,42 weeks or more,195160
marital_status,Marital Status,2017,Unknown or Not Stated,2760
marital_status,Marital Status,2018,Under 20 weeks,1429
marital_status,Marital Status,2018,20 - 27 weeks,24905
marital_status,Marital Status,2018,28 - 31 weeks,44800
marital_status,Marital Status,2018,32 - 35 weeks,207445
marital_status,Marital Status,2018,36 weeks,165594
marital_status,Marital Status,2018,37 - 39 weeks,2136970
marital_status,Marital Status,2018,40 weeks,720663
marital_status,Marital Status,2018,41 weeks,300625
marital_status,Marital Status,2018,42 weeks or more,186772
marital_status,Marital Status,2018,Unknown or Not Stated,2509
marital_status,Marital Status,2019,Under 20 weeks,1483
marital_status,Marital Status,2019,20 - 27 weeks,25063
marital_status,Marital Status,2019,28 - 31 weeks,45890
marital_status,Marital Status,2019,32 - 35 weeks,211554
marital_status,Marital Status,2019,36 weeks,171261
marital_status,Marital Status,2019,37 - 39 weeks,2135621
marital_status,Marital Status,2019,40 weeks,687359
marital_status,Marital Status,2019,41 weeks,279688
marital_status,Marital Status,2019,42 weeks or more,187214
marital_status,Marital Status,2019,Unknown or Not Stated,2407
marital_status,Marital Status,2020,Under 20 weeks,1403
marital_status,Marital Status,2020,20 - 27 weeks,23074
marital_status,Marital Status,2020,28 - 31 weeks,42385
marital_status,Marital Status,2020,32 - 35 weeks,201815
marital_status,Marital Status,2020,36 weeks,163623
marital_status,Marital Status,2020,37 - 39 weeks,2077820
marital_status,Marital Status,2020,40 weeks,656744
marital_status,Marital Status,2020,41 weeks,263880
marital_status,Marital Status,2020,42 weeks or more,180425
marital_status,Marital Status,2020,Unknown or Not Stated,2478
marital_status,Marital Status,2021,Under 20 weeks,1318
marital_status,Marital Status,2021,20 - 27 weeks,23653
marital_status,Marital Status,2021,28 - 31 weeks,43830
marital_status,Marital Status,2021,32 - 35 weeks,210720
marital_status,Marital Status,2021,36 weeks,170242
marital_status,Marital Status,2021,37 - 39 weeks,2133523
marital_status,Marital Status,2021,40 weeks,642388
marital_status,Marital Status,2021,41 weeks,256189
marital_status,Marital Status,2021,42 weeks or more,179436
marital_status,Marital Status,2021,Unknown or Not Stated,2993
marital_status,Marital Status,2022,Under 20 weeks,1327
marital_status,Marital Status,2022,20 - 27 weeks,23378
marital_status,Marital Status,2022,28 - 31 weeks,43696
marital_status,Marital Status,2022,32 - 35 weeks,209919
marital_status,Marital Status,2022,36 weeks,168920
marital_status,Marital Status,2022,37 - 39 weeks,2119417
marital_status,Marital Status,2022,40 weeks,643498
marital_status,Marital Status,2022,41 weeks,261965
marital_status,Marital Status,2022,42 weeks or more,192967
marital_status,Marital Status,2022,Unknown or Not Stated,2671
marital_status,Marital Status,2023,Under 20 weeks,1291
marital_status,Marital Status,2023,20 - 27 weeks,23065
marital_status,Marital Status,2023,28 - 31 weeks,42712
marital_status,Marital Status,2023,32 - 35 weeks,206137
marital_status,Marital Status,2023,36 weeks,166562
marital_status,Marital Status,2023,37 - 39 weeks,2087349
marital_status,Marital Status,2023,40 weeks,624733
marital_status,Marital Status,2023,41 weeks,252017
marital_status,Marital Status,2023,42 weeks or more,189509
marital_status,Marital Status,2023,Unknown or Not Stated,2642
marital_status,Marital Status,2024,Under 20 weeks,1282
marital_status,Marital Status,2024,20 - 27 weeks,22691
marital_status,Marital Status,2024,28 - 31 weeks,41851
marital_status,Marital Status,2024,32 - 35 weeks,206062
marital_status,Marital Status,2024,36 weeks,166577
marital_status,Marital Status,2024,37 - 39 weeks,2105287
marital_status,Marital Status,2024,40 weeks,632248
marital_status,Marital Status,2024,41 weeks,253936
marital_status,Marital Status,2024,42 weeks or more,194543
marital_status,Marital Status,2024,Unknown or Not Stated,4457
