variable_label,variable_name,year,geo,category,births
maternal_transfusion,Maternal Transfusion,2016,"Baldwin County, AL (01003)",No,2237
maternal_transfusion,Maternal Transfusion,2016,"Calhoun County, AL (01015)",No,1356
maternal_transfusion,Maternal Transfusion,2016,"Etowah County, AL (01055)",No,1211
maternal_transfusion,Maternal Transfusion,2016,"Houston County, AL (01069)",No,1331
maternal_transfusion,Maternal Transfusion,2016,"Jefferson County, AL (01073)",No,8653
maternal_transfusion,Maternal Transfusion,2016,"Lee County, AL (01081)",No,1891
maternal_transfusion,Maternal Transfusion,2016,"Madison County, AL (01089)",Yes,10
maternal_transfusion,Maternal Transfusion,2016,"Madison County, AL (01089)",No,4217
maternal_transfusion,Maternal Transfusion,2016,"Mobile County, AL (01097)",Yes,18
maternal_transfusion,Maternal Transfusion,2016,"Mobile County, AL (01097)",No,5486
maternal_transfusion,Maternal Transfusion,2016,"Montgomery County, AL (01101)",No,3136
maternal_transfusion,Maternal Transfusion,2016,"Morgan County, AL (01103)",No,1465
maternal_transfusion,Maternal Transfusion,2016,"Shelby County, AL (01117)",No,2387
maternal_transfusion,Maternal Transfusion,2016,"Tuscaloosa County, AL (01125)",No,2589
maternal_transfusion,Maternal Transfusion,2016,"Unidentified Counties, AL (01999)",Yes,71
maternal_transfusion,Maternal Transfusion,2016,"Unidentified Counties, AL (01999)",No,23056
maternal_transfusion,Maternal Transfusion,2016,"Anchorage Borough, AK (02020)",Yes,24
maternal_transfusion,Maternal Transfusion,2016,"Anchorage Borough, AK (02020)",No,4480
maternal_transfusion,Maternal Transfusion,2016,"Anchorage Borough, AK (02020)",Unknown or Not Stated,14
maternal_transfusion,Maternal Transfusion,2016,"Unidentified Counties, AK (02999)",Yes,31
maternal_transfusion,Maternal Transfusion,2016,"Unidentified Counties, AK (02999)",No,6624
maternal_transfusion,Maternal Transfusion,2016,"Unidentified Counties, AK (02999)",Unknown or Not Stated,36
maternal_transfusion,Maternal Transfusion,2016,"Cochise County, AZ (04003)",No,1521
maternal_transfusion,Maternal Transfusion,2016,"Coconino County, AZ (04005)",No,1605
maternal_transfusion,Maternal Transfusion,2016,"Maricopa County, AZ (04013)",Yes,163
maternal_transfusion,Maternal Transfusion,2016,"Maricopa County, AZ (04013)",No,53963
maternal_transfusion,Maternal Transfusion,2016,"Mohave County, AZ (04015)",No,1797
maternal_transfusion,Maternal Transfusion,2016,"Navajo County, AZ (04017)",Yes,14
maternal_transfusion,Maternal Transfusion,2016,"Navajo County, AZ (04017)",No,1483
maternal_transfusion,Maternal Transfusion,2016,"Pima County, AZ (04019)",Yes,54
maternal_transfusion,Maternal Transfusion,2016,"Pima County, AZ (04019)",No,11367
maternal_transfusion,Maternal Transfusion,2016,"Pinal County, AZ (04021)",Yes,29
maternal_transfusion,Maternal Transfusion,2016,"Pinal County, AZ (04021)",No,4441
maternal_transfusion,Maternal Transfusion,2016,"Yavapai County, AZ (04025)",No,1859
maternal_transfusion,Maternal Transfusion,2016,"Yuma County, AZ (04027)",Yes,51
maternal_transfusion,Maternal Transfusion,2016,"Yuma County, AZ (04027)",No,2956
maternal_transfusion,Maternal Transfusion,2016,"Unidentified Counties, AZ (04999)",Yes,40
maternal_transfusion,Maternal Transfusion,2016,"Unidentified Counties, AZ (04999)",No,3148
maternal_transfusion,Maternal Transfusion,2016,"Benton County, AR (05007)",No,3616
maternal_transfusion,Maternal Transfusion,2016,"Faulkner County, AR (05045)",No,1528
maternal_transfusion,Maternal Transfusion,2016,"Pulaski County, AR (05119)",No,5345
maternal_transfusion,Maternal Transfusion,2016,"Saline County, AR (05125)",No,1326
maternal_transfusion,Maternal Transfusion,2016,"Sebastian County, AR (05131)",No,1721
maternal_transfusion,Maternal Transfusion,2016,"Washington County, AR (05143)",No,3272
maternal_transfusion,Maternal Transfusion,2016,"Unidentified Counties, AR (05999)",Yes,86
maternal_transfusion,Maternal Transfusion,2016,"Unidentified Counties, AR (05999)",No,21354
maternal_transfusion,Maternal Transfusion,2016,"Alameda County, CA (06001)",Yes,13
maternal_transfusion,Maternal Transfusion,2016,"Alameda County, CA (06001)",No,19557
maternal_transfusion,Maternal Transfusion,2016,"Butte County, CA (06007)",No,2482
maternal_transfusion,Maternal Transfusion,2016,"Contra Costa County, CA (06013)",Yes,23
maternal_transfusion,Maternal Transfusion,2016,"Contra Costa County, CA (06013)",No,12314
maternal_transfusion,Maternal Transfusion,2016,"El Dorado County, CA (06017)",No,1593
maternal_transfusion,Maternal Transfusion,2016,"Fresno County, CA (06019)",Yes,29
maternal_transfusion,Maternal Transfusion,2016,"Fresno County, CA (06019)",No,15098
maternal_transfusion,Maternal Transfusion,2016,"Humboldt County, CA (06023)",Yes,16
maternal_transfusion,Maternal Transfusion,2016,"Humboldt County, CA (06023)",No,1466
maternal_transfusion,Maternal Transfusion,2016,"Imperial County, CA (06025)",No,2937
maternal_transfusion,Maternal Transfusion,2016,"Kern County, CA (06029)",Yes,18
maternal_transfusion,Maternal Transfusion,2016,"Kern County, CA (06029)",No,13708
maternal_transfusion,Maternal Transfusion,2016,"Kings County, CA (06031)",No,2248
maternal_transfusion,Maternal Transfusion,2016,"Los Angeles County, CA (06037)",Yes,197
maternal_transfusion,Maternal Transfusion,2016,"Los Angeles County, CA (06037)",No,122884
maternal_transfusion,Maternal Transfusion,2016,"Los Angeles County, CA (06037)",Unknown or Not Stated,11
