variable_label,variable_name,year,geo,category,births
mothers_age_9groups,Age of Mother 9,2016,"Baldwin County, AL (01003)",15-19 years,160
mothers_age_9groups,Age of Mother 9,2016,"Baldwin County, AL (01003)",20-24 years,545
mothers_age_9groups,Age of Mother 9,2016,"Baldwin County, AL (01003)",25-29 years,698
mothers_age_9groups,Age of Mother 9,2016,"Baldwin County, AL (01003)",30-34 years,548
mothers_age_9groups,Age of Mother 9,2016,"Baldwin County, AL (01003)",35-39 years,248
mothers_age_9groups,Age of Mother 9,2016,"Baldwin County, AL (01003)",40-44 years,45
mothers_age_9groups,Age of Mother 9,2016,"Calhoun County, AL (01015)",15-19 years,112
mothers_age_9groups,Age of Mother 9,2016,"Calhoun County, AL (01015)",20-24 years,423
mothers_age_9groups,Age of Mother 9,2016,"Calhoun County, AL (01015)",25-29 years,427
mothers_age_9groups,Age of Mother 9,2016,"Calhoun County, AL (01015)",30-34 years,276
mothers_age_9groups,Age of Mother 9,2016,"Calhoun County, AL (01015)",35-39 years,100
mothers_age_9groups,Age of Mother 9,2016,"Calhoun County, AL (01015)",40-44 years,16
mothers_age_9groups,Age of Mother 9,2016,"Etowah County, AL (01055)",15-19 years,111
mothers_age_9groups,Age of Mother 9,2016,"Etowah County, AL (01055)",20-24 years,409
mothers_age_9groups,Age of Mother 9,2016,"Etowah County, AL (01055)",25-29 years,361
mothers_age_9groups,Age of Mother 9,2016,"Etowah County, AL (01055)",30-34 years,217
mothers_age_9groups,Age of Mother 9,2016,"Etowah County, AL (01055)",35-39 years,100
mothers_age_9groups,Age of Mother 9,2016,"Etowah County, AL (01055)",40-44 years,15
mothers_age_9groups,Age of Mother 9,2016,"Houston County, AL (01069)",15-19 years,104
mothers_age_9groups,Age of Mother 9,2016,"Houston County, AL (01069)",20-24 years,363
mothers_age_9groups,Age of Mother 9,2016,"Houston County, AL (01069)",25-29 years,447
mothers_age_9groups,Age of Mother 9,2016,"Houston County, AL (01069)",30-34 years,291
mothers_age_9groups,Age of Mother 9,2016,"Houston County, AL (01069)",35-39 years,102
mothers_age_9groups,Age of Mother 9,2016,"Houston County, AL (01069)",40-44 years,25
mothers_age_9groups,Age of Mother 9,2016,"Jefferson County, AL (01073)",15-19 years,529
mothers_age_9groups,Age of Mother 9,2016,"Jefferson County, AL (01073)",20-24 years,1886
mothers_age_9groups,Age of Mother 9,2016,"Jefferson County, AL (01073)",25-29 years,2650
mothers_age_9groups,Age of Mother 9,2016,"Jefferson County, AL (01073)",30-34 years,2384
mothers_age_9groups,Age of Mother 9,2016,"Jefferson County, AL (01073)",35-39 years,1025
mothers_age_9groups,Age of Mother 9,2016,"Jefferson County, AL (01073)",40-44 years,161
mothers_age_9groups,Age of Mother 9,2016,"Lee County, AL (01081)",15-19 years,99
mothers_age_9groups,Age of Mother 9,2016,"Lee County, AL (01081)",20-24 years,423
mothers_age_9groups,Age of Mother 9,2016,"Lee County, AL (01081)",25-29 years,648
mothers_age_9groups,Age of Mother 9,2016,"Lee County, AL (01081)",30-34 years,509
mothers_age_9groups,Age of Mother 9,2016,"Lee County, AL (01081)",35-39 years,194
mothers_age_9groups,Age of Mother 9,2016,"Lee County, AL (01081)",40-44 years,23
mothers_age_9groups,Age of Mother 9,2016,"Madison County, AL (01089)",15-19 years,205
mothers_age_9groups,Age of Mother 9,2016,"Madison County, AL (01089)",20-24 years,887
mothers_age_9groups,Age of Mother 9,2016,"Madison County, AL (01089)",25-29 years,1360
mothers_age_9groups,Age of Mother 9,2016,"Madison County, AL (01089)",30-34 years,1164
mothers_age_9groups,Age of Mother 9,2016,"Madison County, AL (01089)",35-39 years,524
mothers_age_9groups,Age of Mother 9,2016,"Madison County, AL (01089)",40-44 years,81
