variable_label,variable_name,year,geo,category,births
mothers_hispanic,Mother's Hispanic Origin,2016,"Baldwin County, AL (01003)",Hispanic or Latino,181
mothers_hispanic,Mother's Hispanic Origin,2016,"Baldwin County, AL (01003)",Not Hispanic or Latino,2065
mothers_hispanic,Mother's Hispanic Origin,2016,"Calhoun County, AL (01015)",Hispanic or Latino,75
mothers_hispanic,Mother's Hispanic Origin,2016,"Calhoun County, AL (01015)",Not Hispanic or Latino,1282
mothers_hispanic,Mother's Hispanic Origin,2016,"Etowah County, AL (01055)",Hispanic or Latino,114
mothers_hispanic,Mother's Hispanic Origin,2016,"Etowah County, AL (01055)",Not Hispanic or Latino,1100
mothers_hispanic,Mother's Hispanic Origin,2016,"Houston County, AL (01069)",Hispanic or Latino,51
mothers_hispanic,Mother's Hispanic Origin,2016,"Houston County, AL (01069)",Not Hispanic or Latino,1282
mothers_hispanic,Mother's Hispanic Origin,2016,"Jefferson County, AL (01073)",Hispanic or Latino,703
mothers_hispanic,Mother's Hispanic Origin,2016,"Jefferson County, AL (01073)",Not Hispanic or Latino,7952
mothers_hispanic,Mother's Hispanic Origin,2016,"Lee County, AL (01081)",Hispanic or Latino,120
mothers_hispanic,Mother's Hispanic Origin,2016,"Lee County, AL (01081)",Not Hispanic or Latino,1773
mothers_hispanic,Mother's Hispanic Origin,2016,"Madison County, AL (01089)",Hispanic or Latino,331
mothers_hispanic,Mother's Hispanic Origin,2016,"Madison County, AL (01089)",Not Hispanic or Latino,3894
mothers_hispanic,Mother's Hispanic Origin,2016,"Mobile County, AL (01097)",Hispanic or Latino,148
mothers_hispanic,Mother's Hispanic Origin,2016,"Mobile County, AL (01097)",Not Hispanic or Latino,5356
mothers_hispanic,Mother's Hispanic Origin,2016,"Montgomery County, AL (01101)",Hispanic or Latino,267
mothers_hispanic,Mother's Hispanic Origin,2016,"Montgomery County, AL (01101)",Not Hispanic or Latino,2871
mothers_hispanic,Mother's Hispanic Origin,2016,"Morgan County, AL (01103)",Hispanic or Latino,243
mothers_hispanic,Mother's Hispanic Origin,2016,"Morgan County, AL (01103)",Not Hispanic or Latino,1227
mothers_hispanic,Mother's Hispanic Origin,2016,"Shelby County, AL (01117)",Hispanic or Latino,282
mothers_hispanic,Mother's Hispanic Origin,2016,"Shelby County, AL (01117)",Not Hispanic or Latino,2105
mothers_hispanic,Mother's Hispanic Origin,2016,"Tuscaloosa County, AL (01125)",Hispanic or Latino,222
mothers_hispanic,Mother's Hispanic Origin,2016,"Tuscaloosa County, AL (01125)",Not Hispanic or Latino,2369
mothers_hispanic,Mother's Hispanic Origin,2016,"Unidentified Counties, AL (01999)",Hispanic or Latino,1843
mothers_hispanic,Mother's Hispanic Origin,2016,"Unidentified Counties, AL (01999)",Not Hispanic or Latino,21279
mothers_hispanic,Mother's Hispanic Origin,2016,"Anchorage Borough, AK (02020)",Hispanic or Latino,475
mothers_hispanic,Mother's Hispanic Origin,2016,"Anchorage Borough, AK (02020)",Not Hispanic or Latino,4026
mothers_hispanic,Mother's Hispanic Origin,2016,"Anchorage Borough, AK (02020)",Unknown or Not Stated,17
mothers_hispanic,Mother's Hispanic Origin,2016,"Unidentified Counties, AK (02999)",Hispanic or Latino,336
mothers_hispanic,Mother's Hispanic Origin,2016,"Unidentified Counties, AK (02999)",Not Hispanic or Latino,6250
mothers_hispanic,Mother's Hispanic Origin,2016,"Unidentified Counties, AK (02999)",Unknown or Not Stated,105
mothers_hispanic,Mother's Hispanic Origin,2016,"Cochise County, AZ (04003)",Hispanic or Latino,686
mothers_hispanic,Mother's Hispanic Origin,2016,"Cochise County, AZ (04003)",Not Hispanic or Latino,833
mothers_hispanic,Mother's Hispanic Origin,2016,"Cochise County, AZ (04003)",Unknown or Not Stated,10
mothers_hispanic,Mother's Hispanic Origin,2016,"Coconino County, AZ (04005)",Hispanic or Latino,244
mothers_hispanic,Mother's Hispanic Origin,2016,"Coconino County, AZ (04005)",Not Hispanic or Latino,1353
mothers_hispanic,Mother's Hispanic Origin,2016,"Coconino County, AZ (04005)",Unknown or Not Stated,15
mothers_hispanic,Mother's Hispanic Origin,2016,"Maricopa County, AZ (04013)",Hispanic or Latino,22410
mothers_hispanic,Mother's Hispanic Origin,2016,"Maricopa County, AZ (04013)",Not Hispanic or Latino,31027
mothers_hispanic,Mother's Hispanic Origin,2016,"Maricopa County, AZ (04013)",Unknown or Not Stated,689
mothers_hispanic,Mother's Hispanic Origin,2016,"Mohave County, AZ (04015)",Hispanic or Latino,394
mothers_hispanic,Mother's Hispanic Origin,2016,"Mohave County, AZ (04015)",Not Hispanic or Latino,1394
mothers_hispanic,Mother's Hispanic Origin,2016,"Mohave County, AZ (04015)",Unknown or Not Stated,14
mothers_hispanic,Mother's Hispanic Origin,2016,"Navajo County, AZ (04017)",Hispanic or Latino,167
mothers_hispanic,Mother's Hispanic Origin,2016,"Navajo County, AZ (04017)",Not Hispanic or Latino,1329
mothers_hispanic,Mother's Hispanic Origin,2016,"Pima County, AZ (04019)",Hispanic or Latino,5573
mothers_hispanic,Mother's Hispanic Origin,2016,"Pima County, AZ (04019)",Not Hispanic or Latino,5803
mothers_hispanic,Mother's Hispanic Origin,2016,"Pima County, AZ (04019)",Unknown or Not Stated,45
mothers_hispanic,Mother's Hispanic Origin,2016,"Pinal County, AZ (04021)",Hispanic or Latino,1619
mothers_hispanic,Mother's Hispanic Origin,2016,"Pinal County, AZ (04021)",Not Hispanic or Latino,2829
mothers_hispanic,Mother's Hispanic Origin,2016,"Pinal County, AZ (04021)",Unknown or Not Stated,22
mothers_hispanic,Mother's Hispanic Origin,2016,"Yavapai County, AZ (04025)",Hispanic or Latino,444
mothers_hispanic,Mother's Hispanic Origin,2016,"Yavapai County, AZ (04025)",Not Hispanic or Latino,1415
mothers_hispanic,Mother's Hispanic Origin,2016,"Yuma County, AZ (04027)",Hispanic or Latino,2339
mothers_hispanic,Mother's Hispanic Origin,2016,"Yuma County, AZ (04027)",Not Hispanic or Latino,651
mothers_hispanic,Mother's Hispanic Origin,2016,"Yuma County, AZ (04027)",Unknown or Not Stated,17
mothers_hispanic,Mother's Hispanic Origin,2016,"Unidentified Counties, AZ (04999)",Hispanic or Latino,1074
mothers_hispanic,Mother's Hispanic Origin,2016,"Unidentified Counties, AZ (04999)",Not Hispanic or Latino,2103
mothers_hispanic,Mother's Hispanic Origin,2016,"Unidentified Counties, AZ (04999)",Unknown or Not Stated,11
mothers_hispanic,Mother's Hispanic Origin,2016,"Benton County, AR (05007)",Hispanic or Latino,764
mothers_hispanic,Mother's Hispanic Origin,2016,"Benton County, AR (05007)",Not Hispanic or Latino,2855
mothers_hispanic,Mother's Hispanic Origin,2016,"Faulkner County, AR (05045)",Hispanic or Latino,78
mothers_hispanic,Mother's Hispanic Origin,2016,"Faulkner County, AR (05045)",Not Hispanic or Latino,1456
mothers_hispanic,Mother's Hispanic Origin,2016,"Pulaski County, AR (05119)",Hispanic or Latino,509
mothers_hispanic,Mother's Hispanic Origin,2016,"Pulaski County, AR (05119)",Not Hispanic or Latino,4807
mothers_hispanic,Mother's Hispanic Origin,2016,"Pulaski County, AR (05119)",Unknown or Not Stated,32
mothers_hispanic,Mother's Hispanic Origin,2016,"Saline County, AR (05125)",Hispanic or Latino,98
mothers_hispanic,Mother's Hispanic Origin,2016,"Saline County, AR (05125)",Not Hispanic or Latino,1222
mothers_hispanic,Mother's Hispanic Origin,2016,"Sebastian County, AR (05131)",Hispanic or Latino,341
mothers_hispanic,Mother's Hispanic Origin,2016,"Sebastian County, AR (05131)",Not Hispanic or Latino,1376
mothers_hispanic,Mother's Hispanic Origin,2016,"Washington County, AR (05143)",Hispanic or Latino,793
mothers_hispanic,Mother's Hispanic Origin,2016,"Washington County, AR (05143)",Not Hispanic or Latino,2479
mothers_hispanic,Mother's Hispanic Origin,2016,"Unidentified Counties, AR (05999)",Hispanic or Latino,1481
mothers_hispanic,Mother's Hispanic Origin,2016,"Unidentified Counties, AR (05999)",Not Hispanic or Latino,19905
mothers_hispanic,Mother's Hispanic Origin,2016,"Unidentified Counties, AR (05999)",Unknown or Not Stated,57
mothers_hispanic,Mother's Hispanic Origin,2016,"Alameda County, CA (06001)",Hispanic or Latino,5155
mothers_hispanic,Mother's Hispanic Origin,2016,"Alameda County, CA (06001)",Not Hispanic or Latino,13264
mothers_hispanic,Mother's Hispanic Origin,2016,"Alameda County, CA (06001)",Unknown or Not Stated,1154
mothers_hispanic,Mother's Hispanic Origin,2016,"Butte County, CA (06007)",Hispanic or Latino,503
mothers_hispanic,Mother's Hispanic Origin,2016,"Butte County, CA (06007)",Not Hispanic or Latino,1971
mothers_hispanic,Mother's Hispanic Origin,2016,"Butte County, CA (06007)",Unknown or Not Stated,16
mothers_hispanic,Mother's Hispanic Origin,2016,"Contra Costa County, CA (06013)",Hispanic or Latino,4135
mothers_hispanic,Mother's Hispanic Origin,2016,"Contra Costa County, CA (06013)",Not Hispanic or Latino,7740
mothers_hispanic,Mother's Hispanic Origin,2016,"Contra Costa County, CA (06013)",Unknown or Not Stated,465
mothers_hispanic,Mother's Hispanic Origin,2016,"El Dorado County, CA (06017)",Hispanic or Latino,292
mothers_hispanic,Mother's Hispanic Origin,2016,"El Dorado County, CA (06017)",Not Hispanic or Latino,1289
mothers_hispanic,Mother's Hispanic Origin,2016,"El Dorado County, CA (06017)",Unknown or Not Stated,20
mothers_hispanic,Mother's Hispanic Origin,2016,"Fresno County, CA (06019)",Hispanic or Latino,9124
mothers_hispanic,Mother's Hispanic Origin,2016,"Fresno County, CA (06019)",Not Hispanic or Latino,5850
mothers_hispanic,Mother's Hispanic Origin,2016,"Fresno County, CA (06019)",Unknown or Not Stated,155
mothers_hispanic,Mother's Hispanic Origin,2016,"Humboldt County, CA (06023)",Hispanic or Latino,222
mothers_hispanic,Mother's Hispanic Origin,2016,"Humboldt County, CA (06023)",Not Hispanic or Latino,1115
mothers_hispanic,Mother's Hispanic Origin,2016,"Humboldt County, CA (06023)",Unknown or Not Stated,145
mothers_hispanic,Mother's Hispanic Origin,2016,"Imperial County, CA (06025)",Hispanic or Latino,2695
mothers_hispanic,Mother's Hispanic Origin,2016,"Imperial County, CA (06025)",Not Hispanic or Latino,224
mothers_hispanic,Mother's Hispanic Origin,2016,"Imperial County, CA (06025)",Unknown or Not Stated,20
mothers_hispanic,Mother's Hispanic Origin,2016,"Kern County, CA (06029)",Hispanic or Latino,8423
mothers_hispanic,Mother's Hispanic Origin,2016,"Kern County, CA (06029)",Not Hispanic or Latino,5145
mothers_hispanic,Mother's Hispanic Origin,2016,"Kern County, CA (06029)",Unknown or Not Stated,160
mothers_hispanic,Mother's Hispanic Origin,2016,"Kings County, CA (06031)",Hispanic or Latino,1405
mothers_hispanic,Mother's Hispanic Origin,2016,"Kings County, CA (06031)",Not Hispanic or Latino,828
mothers_hispanic,Mother's Hispanic Origin,2016,"Kings County, CA (06031)",Unknown or Not Stated,15
mothers_hispanic,Mother's Hispanic Origin,2016,"Los Angeles County, CA (06037)",Hispanic or Latino,67767
mothers_hispanic,Mother's Hispanic Origin,2016,"Los Angeles County, CA (06037)",Not Hispanic or Latino,53561
mothers_hispanic,Mother's Hispanic Origin,2016,"Los Angeles County, CA (06037)",Unknown or Not Stated,1764
mothers_hispanic,Mother's Hispanic Origin,2016,"Madera County, CA (06039)",Hispanic or Latino,1717
mothers_hispanic,Mother's Hispanic Origin,2016,"Madera County, CA (06039)",Not Hispanic or Latino,618
mothers_hispanic,Mother's Hispanic Origin,2016,"Madera County, CA (06039)",Unknown or Not Stated,20
mothers_hispanic,Mother's Hispanic Origin,2016,"Marin County, CA (06041)",Hispanic or Latino,686
mothers_hispanic,Mother's Hispanic Origin,2016,"Marin County, CA (06041)",Not Hispanic or Latino,1475
mothers_hispanic,Mother's Hispanic Origin,2016,"Marin County, CA (06041)",Unknown or Not Stated,91
mothers_hispanic,Mother's Hispanic Origin,2016,"Merced County, CA (06047)",Hispanic or Latino,2857
mothers_hispanic,Mother's Hispanic Origin,2016,"Merced County, CA (06047)",Not Hispanic or Latino,1240
mothers_hispanic,Mother's Hispanic Origin,2016,"Merced County, CA (06047)",Unknown or Not Stated,20
mothers_hispanic,Mother's Hispanic Origin,2016,"Monterey County, CA (06053)",Hispanic or Latino,4655
mothers_hispanic,Mother's Hispanic Origin,2016,"Monterey County, CA (06053)",Not Hispanic or Latino,1515
mothers_hispanic,Mother's Hispanic Origin,2016,"Monterey County, CA (06053)",Unknown or Not Stated,49
mothers_hispanic,Mother's Hispanic Origin,2016,"Napa County, CA (06055)",Hispanic or Latino,669
mothers_hispanic,Mother's Hispanic Origin,2016,"Napa County, CA (06055)",Not Hispanic or Latino,707
mothers_hispanic,Mother's Hispanic Origin,2016,"Napa County, CA (06055)",Unknown or Not Stated,30
mothers_hispanic,Mother's Hispanic Origin,2016,"Orange County, CA (06059)",Hispanic or Latino,15564
mothers_hispanic,Mother's Hispanic Origin,2016,"Orange County, CA (06059)",Not Hispanic or Latino,21681
mothers_hispanic,Mother's Hispanic Origin,2016,"Orange County, CA (06059)",Unknown or Not Stated,861
mothers_hispanic,Mother's Hispanic Origin,2016,"Placer County, CA (06061)",Hispanic or Latino,688
mothers_hispanic,Mother's Hispanic Origin,2016,"Placer County, CA (06061)",Not Hispanic or Latino,2994
mothers_hispanic,Mother's Hispanic Origin,2016,"Placer County, CA (06061)",Unknown or Not Stated,50
mothers_hispanic,Mother's Hispanic Origin,2016,"Riverside County, CA (06065)",Hispanic or Latino,17742
mothers_hispanic,Mother's Hispanic Origin,2016,"Riverside County, CA (06065)",Not Hispanic or Latino,12363
mothers_hispanic,Mother's Hispanic Origin,2016,"Riverside County, CA (06065)",Unknown or Not Stated,556
mothers_hispanic,Mother's Hispanic Origin,2016,"Sacramento County, CA (06067)",Hispanic or Latino,5097
mothers_hispanic,Mother's Hispanic Origin,2016,"Sacramento County, CA (06067)",Not Hispanic or Latino,13875
mothers_hispanic,Mother's Hispanic Origin,2016,"Sacramento County, CA (06067)",Unknown or Not Stated,616
mothers_hispanic,Mother's Hispanic Origin,2016,"San Bernardino County, CA (06071)",Hispanic or Latino,17694
mothers_hispanic,Mother's Hispanic Origin,2016,"San Bernardino County, CA (06071)",Not Hispanic or Latino,13095
mothers_hispanic,Mother's Hispanic Origin,2016,"San Bernardino County, CA (06071)",Unknown or Not Stated,243
mothers_hispanic,Mother's Hispanic Origin,2016,"San Diego County, CA (06073)",Hispanic or Latino,17023
mothers_hispanic,Mother's Hispanic Origin,2016,"San Diego County, CA (06073)",Not Hispanic or Latino,22062
mothers_hispanic,Mother's Hispanic Origin,2016,"San Diego County, CA (06073)",Unknown or Not Stated,3635
mothers_hispanic,Mother's Hispanic Origin,2016,"San Francisco County, CA (06075)",Hispanic or Latino,1585
