variable_label,variable_name,year,geo,category,births
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Baldwin County, AL (01003)",Non-Hispanic,2065
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Baldwin County, AL (01003)",Mexican,121
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Baldwin County, AL (01003)",Central or South American,44
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Calhoun County, AL (01015)",Non-Hispanic,1282
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Calhoun County, AL (01015)",Mexican,56
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Calhoun County, AL (01015)",Central or South American,10
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Etowah County, AL (01055)",Non-Hispanic,1100
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Etowah County, AL (01055)",Mexican,35
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Etowah County, AL (01055)",Central or South American,55
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Etowah County, AL (01055)",Other and Unknown Hispanic,19
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Houston County, AL (01069)",Non-Hispanic,1282
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Houston County, AL (01069)",Mexican,24
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Houston County, AL (01069)",Central or South American,17
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Jefferson County, AL (01073)",Non-Hispanic,7952
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Jefferson County, AL (01073)",Mexican,480
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Jefferson County, AL (01073)",Puerto Rican,19
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Jefferson County, AL (01073)",Central or South American,181
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Jefferson County, AL (01073)",Other and Unknown Hispanic,20
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Lee County, AL (01081)",Non-Hispanic,1773
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Lee County, AL (01081)",Mexican,49
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Lee County, AL (01081)",Puerto Rican,14
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Lee County, AL (01081)",Central or South American,48
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Madison County, AL (01089)",Non-Hispanic,3894
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Madison County, AL (01089)",Mexican,208
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Madison County, AL (01089)",Puerto Rican,38
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Madison County, AL (01089)",Central or South American,68
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Madison County, AL (01089)",Other and Unknown Hispanic,11
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Mobile County, AL (01097)",Non-Hispanic,5356
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Mobile County, AL (01097)",Mexican,55
mothers_hispanic_expanded,Mother's Expanded Hispanic Origin,2016,"Mobile County, AL (01097)",Puerto Rican,22
