variable_label,variable_name,year,geo,category,births
mothers_nativity,Mother's Nativity,2016,"Baldwin County, AL (01003)",Born in the U.S. (50 US States),2034
mothers_nativity,Mother's Nativity,2016,"Baldwin County, AL (01003)",Born outside the U.S. (includes possessions),212
mothers_nativity,Mother's Nativity,2016,"Calhoun County, AL (01015)",Born in the U.S. (50 US States),1275
mothers_nativity,Mother's Nativity,2016,"Calhoun County, AL (01015)",Born outside the U.S. (includes possessions),82
mothers_nativity,Mother's Nativity,2016,"Etowah County, AL (01055)",Born in the U.S. (50 US States),1105
mothers_nativity,Mother's Nativity,2016,"Etowah County, AL (01055)",Born outside the U.S. (includes possessions),109
mothers_nativity,Mother's Nativity,2016,"Houston County, AL (01069)",Born in the U.S. (50 US States),1258
mothers_nativity,Mother's Nativity,2016,"Houston County, AL (01069)",Born outside the U.S. (includes possessions),75
mothers_nativity,Mother's Nativity,2016,"Jefferson County, AL (01073)",Born in the U.S. (50 US States),7681
mothers_nativity,Mother's Nativity,2016,"Jefferson County, AL (01073)",Born outside the U.S. (includes possessions),973
mothers_nativity,Mother's Nativity,2016,"Lee County, AL (01081)",Born in the U.S. (50 US States),1658
mothers_nativity,Mother's Nativity,2016,"Lee County, AL (01081)",Born outside the U.S. (includes possessions),240
mothers_nativity,Mother's Nativity,2016,"Madison County, AL (01089)",Born in the U.S. (50 US States),3670
mothers_nativity,Mother's Nativity,2016,"Madison County, AL (01089)",Born outside the U.S. (includes possessions),556
mothers_nativity,Mother's Nativity,2016,"Mobile County, AL (01097)",Born in the U.S. (50 US States),5134
mothers_nativity,Mother's Nativity,2016,"Mobile County, AL (01097)",Born outside the U.S. (includes possessions),370
mothers_nativity,Mother's Nativity,2016,"Montgomery County, AL (01101)",Born in the U.S. (50 US States),2725
mothers_nativity,Mother's Nativity,2016,"Montgomery County, AL (01101)",Born outside the U.S. (includes possessions),413
mothers_nativity,Mother's Nativity,2016,"Morgan County, AL (01103)",Born in the U.S. (50 US States),1247
mothers_nativity,Mother's Nativity,2016,"Morgan County, AL (01103)",Born outside the U.S. (includes possessions),223
mothers_nativity,Mother's Nativity,2016,"Shelby County, AL (01117)",Born in the U.S. (50 US States),2032
mothers_nativity,Mother's Nativity,2016,"Shelby County, AL (01117)",Born outside the U.S. (includes possessions),355
mothers_nativity,Mother's Nativity,2016,"Tuscaloosa County, AL (01125)",Born in the U.S. (50 US States),2317
mothers_nativity,Mother's Nativity,2016,"Tuscaloosa County, AL (01125)",Born outside the U.S. (includes possessions),274
mothers_nativity,Mother's Nativity,2016,"Unidentified Counties, AL (01999)",Born in the U.S. (50 US States),21317
mothers_nativity,Mother's Nativity,2016,"Unidentified Counties, AL (01999)",Born outside the U.S. (includes possessions),1811
mothers_nativity,Mother's Nativity,2016,"Anchorage Borough, AK (02020)",Born in the U.S. (50 US States),3637
mothers_nativity,Mother's Nativity,2016,"Anchorage Borough, AK (02020)",Born outside the U.S. (includes possessions),877
mothers_nativity,Mother's Nativity,2016,"Unidentified Counties, AK (02999)",Born in the U.S. (50 US States),6158
mothers_nativity,Mother's Nativity,2016,"Unidentified Counties, AK (02999)",Born outside the U.S. (includes possessions),511
mothers_nativity,Mother's Nativity,2016,"Unidentified Counties, AK (02999)",Unknown or Not Stated,22
mothers_nativity,Mother's Nativity,2016,"Cochise County, AZ (04003)",Born in the U.S. (50 US States),1270
mothers_nativity,Mother's Nativity,2016,"Cochise County, AZ (04003)",Born outside the U.S. (includes possessions),258
mothers_nativity,Mother's Nativity,2016,"Coconino County, AZ (04005)",Born in the U.S. (50 US States),1475
mothers_nativity,Mother's Nativity,2016,"Coconino County, AZ (04005)",Born outside the U.S. (includes possessions),136
mothers_nativity,Mother's Nativity,2016,"Maricopa County, AZ (04013)",Born in the U.S. (50 US States),40750
mothers_nativity,Mother's Nativity,2016,"Maricopa County, AZ (04013)",Born outside the U.S. (includes possessions),13329
mothers_nativity,Mother's Nativity,2016,"Maricopa County, AZ (04013)",Unknown or Not Stated,47
mothers_nativity,Mother's Nativity,2016,"Mohave County, AZ (04015)",Born in the U.S. (50 US States),1664
mothers_nativity,Mother's Nativity,2016,"Mohave County, AZ (04015)",Born outside the U.S. (includes possessions),138
mothers_nativity,Mother's Nativity,2016,"Navajo County, AZ (04017)",Born in the U.S. (50 US States),1454
mothers_nativity,Mother's Nativity,2016,"Navajo County, AZ (04017)",Born outside the U.S. (includes possessions),42
mothers_nativity,Mother's Nativity,2016,"Pima County, AZ (04019)",Born in the U.S. (50 US States),9128
mothers_nativity,Mother's Nativity,2016,"Pima County, AZ (04019)",Born outside the U.S. (includes possessions),2285
mothers_nativity,Mother's Nativity,2016,"Pinal County, AZ (04021)",Born in the U.S. (50 US States),3955
mothers_nativity,Mother's Nativity,2016,"Pinal County, AZ (04021)",Born outside the U.S. (includes possessions),513
mothers_nativity,Mother's Nativity,2016,"Yavapai County, AZ (04025)",Born in the U.S. (50 US States),1628
mothers_nativity,Mother's Nativity,2016,"Yavapai County, AZ (04025)",Born outside the U.S. (includes possessions),238
mothers_nativity,Mother's Nativity,2016,"Yuma County, AZ (04027)",Born in the U.S. (50 US States),2023
mothers_nativity,Mother's Nativity,2016,"Yuma County, AZ (04027)",Born outside the U.S. (includes possessions),984
mothers_nativity,Mother's Nativity,2016,"Unidentified Counties, AZ (04999)",Born in the U.S. (50 US States),2847
mothers_nativity,Mother's Nativity,2016,"Unidentified Counties, AZ (04999)",Born outside the U.S. (includes possessions),339
mothers_nativity,Mother's Nativity,2016,"Benton County, AR (05007)",Born in the U.S. (50 US States),2823
mothers_nativity,Mother's Nativity,2016,"Benton County, AR (05007)",Born outside the U.S. (includes possessions),797
mothers_nativity,Mother's Nativity,2016,"Faulkner County, AR (05045)",Born in the U.S. (50 US States),1438
mothers_nativity,Mother's Nativity,2016,"Faulkner County, AR (05045)",Born outside the U.S. (includes possessions),94
mothers_nativity,Mother's Nativity,2016,"Pulaski County, AR (05119)",Born in the U.S. (50 US States),4590
mothers_nativity,Mother's Nativity,2016,"Pulaski County, AR (05119)",Born outside the U.S. (includes possessions),719
mothers_nativity,Mother's Nativity,2016,"Pulaski County, AR (05119)",Unknown or Not Stated,39
mothers_nativity,Mother's Nativity,2016,"Saline County, AR (05125)",Born in the U.S. (50 US States),1198
mothers_nativity,Mother's Nativity,2016,"Saline County, AR (05125)",Born outside the U.S. (includes possessions),127
mothers_nativity,Mother's Nativity,2016,"Sebastian County, AR (05131)",Born in the U.S. (50 US States),1454
mothers_nativity,Mother's Nativity,2016,"Sebastian County, AR (05131)",Born outside the U.S. (includes possessions),267
mothers_nativity,Mother's Nativity,2016,"Washington County, AR (05143)",Born in the U.S. (50 US States),2267
mothers_nativity,Mother's Nativity,2016,"Washington County, AR (05143)",Born outside the U.S. (includes possessions),990
mothers_nativity,Mother's Nativity,2016,"Washington County, AR (05143)",Unknown or Not Stated,23
mothers_nativity,Mother's Nativity,2016,"Unidentified Counties, AR (05999)",Born in the U.S. (50 US States),20078
mothers_nativity,Mother's Nativity,2016,"Unidentified Counties, AR (05999)",Born outside the U.S. (includes possessions),1315
mothers_nativity,Mother's Nativity,2016,"Unidentified Counties, AR (05999)",Unknown or Not Stated,50
mothers_nativity,Mother's Nativity,2016,"Alameda County, CA (06001)",Born in the U.S. (50 US States),9771
mothers_nativity,Mother's Nativity,2016,"Alameda County, CA (06001)",Born outside the U.S. (includes possessions),9787
mothers_nativity,Mother's Nativity,2016,"Alameda County, CA (06001)",Unknown or Not Stated,15
mothers_nativity,Mother's Nativity,2016,"Butte County, CA (06007)",Born in the U.S. (50 US States),2176
mothers_nativity,Mother's Nativity,2016,"Butte County, CA (06007)",Born outside the U.S. (includes possessions),312
mothers_nativity,Mother's Nativity,2016,"Contra Costa County, CA (06013)",Born in the U.S. (50 US States),7815
mothers_nativity,Mother's Nativity,2016,"Contra Costa County, CA (06013)",Born outside the U.S. (includes possessions),4515
mothers_nativity,Mother's Nativity,2016,"Contra Costa County, CA (06013)",Unknown or Not Stated,10
mothers_nativity,Mother's Nativity,2016,"El Dorado County, CA (06017)",Born in the U.S. (50 US States),1385
mothers_nativity,Mother's Nativity,2016,"El Dorado County, CA (06017)",Born outside the U.S. (includes possessions),216
mothers_nativity,Mother's Nativity,2016,"Fresno County, CA (06019)",Born in the U.S. (50 US States),10651
mothers_nativity,Mother's Nativity,2016,"Fresno County, CA (06019)",Born outside the U.S. (includes possessions),4468
mothers_nativity,Mother's Nativity,2016,"Fresno County, CA (06019)",Unknown or Not Stated,10
mothers_nativity,Mother's Nativity,2016,"Humboldt County, CA (06023)",Born in the U.S. (50 US States),1300
mothers_nativity,Mother's Nativity,2016,"Humboldt County, CA (06023)",Born outside the U.S. (includes possessions),179
mothers_nativity,Mother's Nativity,2016,"Imperial County, CA (06025)",Born in the U.S. (50 US States),1701
mothers_nativity,Mother's Nativity,2016,"Imperial County, CA (06025)",Born outside the U.S. (includes possessions),1234
mothers_nativity,Mother's Nativity,2016,"Kern County, CA (06029)",Born in the U.S. (50 US States),9915
mothers_nativity,Mother's Nativity,2016,"Kern County, CA (06029)",Born outside the U.S. (includes possessions),3793
mothers_nativity,Mother's Nativity,2016,"Kern County, CA (06029)",Unknown or Not Stated,20
mothers_nativity,Mother's Nativity,2016,"Kings County, CA (06031)",Born in the U.S. (50 US States),1683
mothers_nativity,Mother's Nativity,2016,"Kings County, CA (06031)",Born outside the U.S. (includes possessions),564
mothers_nativity,Mother's Nativity,2016,"Los Angeles County, CA (06037)",Born in the U.S. (50 US States),70445
mothers_nativity,Mother's Nativity,2016,"Los Angeles County, CA (06037)",Born outside the U.S. (includes possessions),52543
mothers_nativity,Mother's Nativity,2016,"Los Angeles County, CA (06037)",Unknown or Not Stated,104
mothers_nativity,Mother's Nativity,2016,"Madera County, CA (06039)",Born in the U.S. (50 US States),1498
mothers_nativity,Mother's Nativity,2016,"Madera County, CA (06039)",Born outside the U.S. (includes possessions),856
mothers_nativity,Mother's Nativity,2016,"Marin County, CA (06041)",Born in the U.S. (50 US States),1366
mothers_nativity,Mother's Nativity,2016,"Marin County, CA (06041)",Born outside the U.S. (includes possessions),886
mothers_nativity,Mother's Nativity,2016,"Merced County, CA (06047)",Born in the U.S. (50 US States),2746
mothers_nativity,Mother's Nativity,2016,"Merced County, CA (06047)",Born outside the U.S. (includes possessions),1371
mothers_nativity,Mother's Nativity,2016,"Monterey County, CA (06053)",Born in the U.S. (50 US States),3153
mothers_nativity,Mother's Nativity,2016,"Monterey County, CA (06053)",Born outside the U.S. (includes possessions),3065
mothers_nativity,Mother's Nativity,2016,"Napa County, CA (06055)",Born in the U.S. (50 US States),901
mothers_nativity,Mother's Nativity,2016,"Napa County, CA (06055)",Born outside the U.S. (includes possessions),504
mothers_nativity,Mother's Nativity,2016,"Orange County, CA (06059)",Born in the U.S. (50 US States),20574
mothers_nativity,Mother's Nativity,2016,"Orange County, CA (06059)",Born outside the U.S. (includes possessions),17516
mothers_nativity,Mother's Nativity,2016,"Orange County, CA (06059)",Unknown or Not Stated,16
mothers_nativity,Mother's Nativity,2016,"Placer County, CA (06061)",Born in the U.S. (50 US States),3006
mothers_nativity,Mother's Nativity,2016,"Placer County, CA (06061)",Born outside the U.S. (includes possessions),725
mothers_nativity,Mother's Nativity,2016,"Riverside County, CA (06065)",Born in the U.S. (50 US States),21967
mothers_nativity,Mother's Nativity,2016,"Riverside County, CA (06065)",Born outside the U.S. (includes possessions),8660
mothers_nativity,Mother's Nativity,2016,"Riverside County, CA (06065)",Unknown or Not Stated,34
mothers_nativity,Mother's Nativity,2016,"Sacramento County, CA (06067)",Born in the U.S. (50 US States),13401
mothers_nativity,Mother's Nativity,2016,"Sacramento County, CA (06067)",Born outside the U.S. (includes possessions),6166
mothers_nativity,Mother's Nativity,2016,"Sacramento County, CA (06067)",Unknown or Not Stated,21
mothers_nativity,Mother's Nativity,2016,"San Bernardino County, CA (06071)",Born in the U.S. (50 US States),22662
mothers_nativity,Mother's Nativity,2016,"San Bernardino County, CA (06071)",Born outside the U.S. (includes possessions),8332
mothers_nativity,Mother's Nativity,2016,"San Bernardino County, CA (06071)",Unknown or Not Stated,38
mothers_nativity,Mother's Nativity,2016,"San Diego County, CA (06073)",Born in the U.S. (50 US States),28441
mothers_nativity,Mother's Nativity,2016,"San Diego County, CA (06073)",Born outside the U.S. (includes possessions),14253
mothers_nativity,Mother's Nativity,2016,"San Diego County, CA (06073)",Unknown or Not Stated,26
mothers_nativity,Mother's Nativity,2016,"San Francisco County, CA (06075)",Born in the U.S. (50 US States),4923
mothers_nativity,Mother's Nativity,2016,"San Francisco County, CA (06075)",Born outside the U.S. (includes possessions),4126
mothers_nativity,Mother's Nativity,2016,"San Francisco County, CA (06075)",Unknown or Not Stated,13
mothers_nativity,Mother's Nativity,2016,"San Joaquin County, CA (06077)",Born in the U.S. (50 US States),6907
mothers_nativity,Mother's Nativity,2016,"San Joaquin County, CA (06077)",Born outside the U.S. (includes possessions),3356
mothers_nativity,Mother's Nativity,2016,"San Luis Obispo County, CA (06079)",Born in the U.S. (50 US States),2055
mothers_nativity,Mother's Nativity,2016,"San Luis Obispo County, CA (06079)",Born outside the U.S. (includes possessions),523
mothers_nativity,Mother's Nativity,2016,"San Mateo County, CA (06081)",Born in the U.S. (50 US States),4485
mothers_nativity,Mother's Nativity,2016,"San Mateo County, CA (06081)",Born outside the U.S. (includes possessions),4466
mothers_nativity,Mother's Nativity,2016,"Santa Barbara County, CA (06083)",Born in the U.S. (50 US States),3123
mothers_nativity,Mother's Nativity,2016,"Santa Barbara County, CA (06083)",Born outside the U.S. (includes possessions),2376
