variable_label,variable_name,year,geo,category,births
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Baldwin County, AL (01003)",White (only),1895
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Baldwin County, AL (01003)",Black (only),253
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Baldwin County, AL (01003)",Asian (only),26
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Baldwin County, AL (01003)",Black and White,24
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Baldwin County, AL (01003)",AIAN and White,19
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Baldwin County, AL (01003)",Asian and White,14
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Calhoun County, AL (01015)",White (only),973
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Calhoun County, AL (01015)",Black (only),338
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Calhoun County, AL (01015)",Asian (only),14
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Calhoun County, AL (01015)",Black and White,19
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Etowah County, AL (01055)",White (only),901
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Etowah County, AL (01055)",Black (only),249
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Etowah County, AL (01055)",Asian (only),15
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Etowah County, AL (01055)",NHOPI (Native Hawaiian or Other Pacific Islander) (only),42
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Houston County, AL (01069)",White (only),834
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Houston County, AL (01069)",Black (only),460
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Houston County, AL (01069)",Asian (only),21
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Jefferson County, AL (01073)",White (only),4509
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Jefferson County, AL (01073)",Black (only),3862
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Jefferson County, AL (01073)",Asian (only),174
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Jefferson County, AL (01073)",Black and White,40
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Jefferson County, AL (01073)",AIAN and White,17
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Jefferson County, AL (01073)",Asian and White,28
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Lee County, AL (01081)",White (only),1260
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Lee County, AL (01081)",Black (only),500
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Lee County, AL (01081)",Asian (only),103
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Lee County, AL (01081)",Black and White,11
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Madison County, AL (01089)",White (only),2740
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Madison County, AL (01089)",Black (only),1270
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Madison County, AL (01089)",Asian (only),118
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Madison County, AL (01089)",Black and White,45
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Madison County, AL (01089)",AIAN and White,11
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Madison County, AL (01089)",Asian and White,16
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Mobile County, AL (01097)",White (only),2947
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Mobile County, AL (01097)",Black (only),2290
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Mobile County, AL (01097)",AIAN (American Indian or Alaskan Native) (only),31
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Mobile County, AL (01097)",Asian (only),141
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Mobile County, AL (01097)",Black and White,34
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Mobile County, AL (01097)",AIAN and White,18
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Mobile County, AL (01097)",Asian and White,19
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Montgomery County, AL (01101)",White (only),1005
mothers_race_31cat,Mother's Single/Multi Race 31,2016,"Montgomery County, AL (01101)",Black (only),1967
