variable_label,variable_name,year,geo,category,births
paternity_ack,Paternity Acknowledgment,2016,"Baldwin County, AL (01003)",Yes,622
paternity_ack,Paternity Acknowledgment,2016,"Baldwin County, AL (01003)",No,307
paternity_ack,Paternity Acknowledgment,2016,"Baldwin County, AL (01003)",Not Applicable,1317
paternity_ack,Paternity Acknowledgment,2016,"Calhoun County, AL (01015)",Yes,383
paternity_ack,Paternity Acknowledgment,2016,"Calhoun County, AL (01015)",No,235
paternity_ack,Paternity Acknowledgment,2016,"Calhoun County, AL (01015)",Not Applicable,739
paternity_ack,Paternity Acknowledgment,2016,"Etowah County, AL (01055)",Yes,313
paternity_ack,Paternity Acknowledgment,2016,"Etowah County, AL (01055)",No,178
paternity_ack,Paternity Acknowledgment,2016,"Etowah County, AL (01055)",Not Applicable,723
paternity_ack,Paternity Acknowledgment,2016,"Houston County, AL (01069)",Yes,364
paternity_ack,Paternity Acknowledgment,2016,"Houston County, AL (01069)",No,236
paternity_ack,Paternity Acknowledgment,2016,"Houston County, AL (01069)",Not Applicable,733
paternity_ack,Paternity Acknowledgment,2016,"Jefferson County, AL (01073)",Yes,2472
paternity_ack,Paternity Acknowledgment,2016,"Jefferson County, AL (01073)",No,1660
paternity_ack,Paternity Acknowledgment,2016,"Jefferson County, AL (01073)",Not Applicable,4521
paternity_ack,Paternity Acknowledgment,2016,"Lee County, AL (01081)",Yes,404
paternity_ack,Paternity Acknowledgment,2016,"Lee County, AL (01081)",No,238
paternity_ack,Paternity Acknowledgment,2016,"Lee County, AL (01081)",Not Applicable,1254
paternity_ack,Paternity Acknowledgment,2016,"Madison County, AL (01089)",Yes,1102
paternity_ack,Paternity Acknowledgment,2016,"Madison County, AL (01089)",No,483
paternity_ack,Paternity Acknowledgment,2016,"Madison County, AL (01089)",Not Applicable,2640
paternity_ack,Paternity Acknowledgment,2016,"Mobile County, AL (01097)",Yes,1803
paternity_ack,Paternity Acknowledgment,2016,"Mobile County, AL (01097)",No,1145
paternity_ack,Paternity Acknowledgment,2016,"Mobile County, AL (01097)",Not Applicable,2555
paternity_ack,Paternity Acknowledgment,2016,"Montgomery County, AL (01101)",Yes,1061
paternity_ack,Paternity Acknowledgment,2016,"Montgomery County, AL (01101)",No,775
paternity_ack,Paternity Acknowledgment,2016,"Montgomery County, AL (01101)",Not Applicable,1302
paternity_ack,Paternity Acknowledgment,2016,"Morgan County, AL (01103)",Yes,439
paternity_ack,Paternity Acknowledgment,2016,"Morgan County, AL (01103)",No,204
paternity_ack,Paternity Acknowledgment,2016,"Morgan County, AL (01103)",Not Applicable,827
paternity_ack,Paternity Acknowledgment,2016,"Shelby County, AL (01117)",Yes,300
paternity_ack,Paternity Acknowledgment,2016,"Shelby County, AL (01117)",No,157
paternity_ack,Paternity Acknowledgment,2016,"Shelby County, AL (01117)",Not Applicable,1930
paternity_ack,Paternity Acknowledgment,2016,"Tuscaloosa County, AL (01125)",Yes,731
paternity_ack,Paternity Acknowledgment,2016,"Tuscaloosa County, AL (01125)",No,497
paternity_ack,Paternity Acknowledgment,2016,"Tuscaloosa County, AL (01125)",Not Applicable,1362
paternity_ack,Paternity Acknowledgment,2016,"Unidentified Counties, AL (01999)",Yes,6463
paternity_ack,Paternity Acknowledgment,2016,"Unidentified Counties, AL (01999)",No,3859
paternity_ack,Paternity Acknowledgment,2016,"Unidentified Counties, AL (01999)",Not Applicable,12798
paternity_ack,Paternity Acknowledgment,2016,"Anchorage Borough, AK (02020)",Yes,1099
paternity_ack,Paternity Acknowledgment,2016,"Anchorage Borough, AK (02020)",No,309
paternity_ack,Paternity Acknowledgment,2016,"Anchorage Borough, AK (02020)",Unknown or Not Stated,96
paternity_ack,Paternity Acknowledgment,2016,"Anchorage Borough, AK (02020)",Not Applicable,3014
paternity_ack,Paternity Acknowledgment,2016,"Unidentified Counties, AK (02999)",Yes,1644
paternity_ack,Paternity Acknowledgment,2016,"Unidentified Counties, AK (02999)",No,733
paternity_ack,Paternity Acknowledgment,2016,"Unidentified Counties, AK (02999)",Unknown or Not Stated,171
paternity_ack,Paternity Acknowledgment,2016,"Unidentified Counties, AK (02999)",Not Applicable,4143
paternity_ack,Paternity Acknowledgment,2016,"Cochise County, AZ (04003)",Yes,425
paternity_ack,Paternity Acknowledgment,2016,"Cochise County, AZ (04003)",No,205
paternity_ack,Paternity Acknowledgment,2016,"Cochise County, AZ (04003)",Not Applicable,899
paternity_ack,Paternity Acknowledgment,2016,"Coconino County, AZ (04005)",Yes,598
paternity_ack,Paternity Acknowledgment,2016,"Coconino County, AZ (04005)",No,165
paternity_ack,Paternity Acknowledgment,2016,"Coconino County, AZ (04005)",Not Applicable,848
paternity_ack,Paternity Acknowledgment,2016,"Maricopa County, AZ (04013)",Yes,17624
paternity_ack,Paternity Acknowledgment,2016,"Maricopa County, AZ (04013)",No,5756
paternity_ack,Paternity Acknowledgment,2016,"Maricopa County, AZ (04013)",Unknown or Not Stated,44
paternity_ack,Paternity Acknowledgment,2016,"Maricopa County, AZ (04013)",Not Applicable,30702
paternity_ack,Paternity Acknowledgment,2016,"Mohave County, AZ (04015)",Yes,757
paternity_ack,Paternity Acknowledgment,2016,"Mohave County, AZ (04015)",No,212
paternity_ack,Paternity Acknowledgment,2016,"Mohave County, AZ (04015)",Unknown or Not Stated,15
paternity_ack,Paternity Acknowledgment,2016,"Mohave County, AZ (04015)",Not Applicable,818
paternity_ack,Paternity Acknowledgment,2016,"Navajo County, AZ (04017)",Yes,673
paternity_ack,Paternity Acknowledgment,2016,"Navajo County, AZ (04017)",No,202
paternity_ack,Paternity Acknowledgment,2016,"Navajo County, AZ (04017)",Not Applicable,621
paternity_ack,Paternity Acknowledgment,2016,"Pima County, AZ (04019)",Yes,3889
paternity_ack,Paternity Acknowledgment,2016,"Pima County, AZ (04019)",No,1412
paternity_ack,Paternity Acknowledgment,2016,"Pima County, AZ (04019)",Not Applicable,6114
paternity_ack,Paternity Acknowledgment,2016,"Pinal County, AZ (04021)",Yes,1559
paternity_ack,Paternity Acknowledgment,2016,"Pinal County, AZ (04021)",No,434
paternity_ack,Paternity Acknowledgment,2016,"Pinal County, AZ (04021)",Not Applicable,2473
paternity_ack,Paternity Acknowledgment,2016,"Yavapai County, AZ (04025)",Yes,652
paternity_ack,Paternity Acknowledgment,2016,"Yavapai County, AZ (04025)",No,139
paternity_ack,Paternity Acknowledgment,2016,"Yavapai County, AZ (04025)",Unknown or Not Stated,37
paternity_ack,Paternity Acknowledgment,2016,"Yavapai County, AZ (04025)",Not Applicable,1040
paternity_ack,Paternity Acknowledgment,2016,"Yuma County, AZ (04027)",Yes,983
paternity_ack,Paternity Acknowledgment,2016,"Yuma County, AZ (04027)",No,366
paternity_ack,Paternity Acknowledgment,2016,"Yuma County, AZ (04027)",Unknown or Not Stated,10
paternity_ack,Paternity Acknowledgment,2016,"Yuma County, AZ (04027)",Not Applicable,1648
paternity_ack,Paternity Acknowledgment,2016,"Unidentified Counties, AZ (04999)",Yes,1375
paternity_ack,Paternity Acknowledgment,2016,"Unidentified Counties, AZ (04999)",No,487
paternity_ack,Paternity Acknowledgment,2016,"Unidentified Counties, AZ (04999)",Unknown or Not Stated,22
paternity_ack,Paternity Acknowledgment,2016,"Unidentified Counties, AZ (04999)",Not Applicable,1304
paternity_ack,Paternity Acknowledgment,2016,"Benton County, AR (05007)",Yes,697
paternity_ack,Paternity Acknowledgment,2016,"Benton County, AR (05007)",No,325
paternity_ack,Paternity Acknowledgment,2016,"Benton County, AR (05007)",Not Applicable,2600
paternity_ack,Paternity Acknowledgment,2016,"Faulkner County, AR (05045)",Yes,340
paternity_ack,Paternity Acknowledgment,2016,"Faulkner County, AR (05045)",No,209
paternity_ack,Paternity Acknowledgment,2016,"Faulkner County, AR (05045)",Not Applicable,985
paternity_ack,Paternity Acknowledgment,2016,"Pulaski County, AR (05119)",Yes,1360
paternity_ack,Paternity Acknowledgment,2016,"Pulaski County, AR (05119)",No,1367
paternity_ack,Paternity Acknowledgment,2016,"Pulaski County, AR (05119)",Not Applicable,2620
paternity_ack,Paternity Acknowledgment,2016,"Saline County, AR (05125)",Yes,299
paternity_ack,Paternity Acknowledgment,2016,"Saline County, AR (05125)",No,144
paternity_ack,Paternity Acknowledgment,2016,"Saline County, AR (05125)",Not Applicable,883
paternity_ack,Paternity Acknowledgment,2016,"Sebastian County, AR (05131)",Yes,489
paternity_ack,Paternity Acknowledgment,2016,"Sebastian County, AR (05131)",No,276
paternity_ack,Paternity Acknowledgment,2016,"Sebastian County, AR (05131)",Not Applicable,956
paternity_ack,Paternity Acknowledgment,2016,"Washington County, AR (05143)",Yes,676
paternity_ack,Paternity Acknowledgment,2016,"Washington County, AR (05143)",No,644
paternity_ack,Paternity Acknowledgment,2016,"Washington County, AR (05143)",Not Applicable,1960
paternity_ack,Paternity Acknowledgment,2016,"Unidentified Counties, AR (05999)",Yes,5473
paternity_ack,Paternity Acknowledgment,2016,"Unidentified Counties, AR (05999)",No,4735
paternity_ack,Paternity Acknowledgment,2016,"Unidentified Counties, AR (05999)",Not Applicable,11234
paternity_ack,Paternity Acknowledgment,2016,"Alameda County, CA (06001)",Yes,4213
paternity_ack,Paternity Acknowledgment,2016,"Alameda County, CA (06001)",No,995
paternity_ack,Paternity Acknowledgment,2016,"Alameda County, CA (06001)",Not Applicable,14364
paternity_ack,Paternity Acknowledgment,2016,"Butte County, CA (06007)",Yes,921
paternity_ack,Paternity Acknowledgment,2016,"Butte County, CA (06007)",No,186
paternity_ack,Paternity Acknowledgment,2016,"Butte County, CA (06007)",Not Applicable,1383
paternity_ack,Paternity Acknowledgment,2016,"Contra Costa County, CA (06013)",Yes,3207
paternity_ack,Paternity Acknowledgment,2016,"Contra Costa County, CA (06013)",No,650
paternity_ack,Paternity Acknowledgment,2016,"Contra Costa County, CA (06013)",Not Applicable,8483
paternity_ack,Paternity Acknowledgment,2016,"El Dorado County, CA (06017)",Yes,421
paternity_ack,Paternity Acknowledgment,2016,"El Dorado County, CA (06017)",No,100
paternity_ack,Paternity Acknowledgment,2016,"El Dorado County, CA (06017)",Not Applicable,1079
paternity_ack,Paternity Acknowledgment,2016,"Fresno County, CA (06019)",Yes,6209
paternity_ack,Paternity Acknowledgment,2016,"Fresno County, CA (06019)",No,1575
paternity_ack,Paternity Acknowledgment,2016,"Fresno County, CA (06019)",Not Applicable,7345
paternity_ack,Paternity Acknowledgment,2016,"Humboldt County, CA (06023)",Yes,616
paternity_ack,Paternity Acknowledgment,2016,"Humboldt County, CA (06023)",No,122
paternity_ack,Paternity Acknowledgment,2016,"Humboldt County, CA (06023)",Not Applicable,744
paternity_ack,Paternity Acknowledgment,2016,"Imperial County, CA (06025)",Yes,922
paternity_ack,Paternity Acknowledgment,2016,"Imperial County, CA (06025)",No,510
paternity_ack,Paternity Acknowledgment,2016,"Imperial County, CA (06025)",Not Applicable,1507
paternity_ack,Paternity Acknowledgment,2016,"Kern County, CA (06029)",Yes,5950
paternity_ack,Paternity Acknowledgment,2016,"Kern County, CA (06029)",No,1375
paternity_ack,Paternity Acknowledgment,2016,"Kern County, CA (06029)",Not Applicable,6403
paternity_ack,Paternity Acknowledgment,2016,"Kings County, CA (06031)",Yes,842
paternity_ack,Paternity Acknowledgment,2016,"Kings County, CA (06031)",No,199
paternity_ack,Paternity Acknowledgment,2016,"Kings County, CA (06031)",Not Applicable,1207
paternity_ack,Paternity Acknowledgment,2016,"Los Angeles County, CA (06037)",Yes,42022
paternity_ack,Paternity Acknowledgment,2016,"Los Angeles County, CA (06037)",No,10374
