variable_label,variable_name,year,geo,category,births
payment_5cat,Source of Payment for Delivery,2016,"Baldwin County, AL (01003)",Medicaid,1024
payment_5cat,Source of Payment for Delivery,2016,"Baldwin County, AL (01003)",Private Insurance,1105
payment_5cat,Source of Payment for Delivery,2016,"Baldwin County, AL (01003)",Self Pay,61
payment_5cat,Source of Payment for Delivery,2016,"Baldwin County, AL (01003)",Other,56
payment_5cat,Source of Payment for Delivery,2016,"Calhoun County, AL (01015)",Medicaid,792
payment_5cat,Source of Payment for Delivery,2016,"Calhoun County, AL (01015)",Private Insurance,519
payment_5cat,Source of Payment for Delivery,2016,"Calhoun County, AL (01015)",Self Pay,24
payment_5cat,Source of Payment for Delivery,2016,"Calhoun County, AL (01015)",Other,22
payment_5cat,Source of Payment for Delivery,2016,"Etowah County, AL (01055)",Medicaid,712
payment_5cat,Source of Payment for Delivery,2016,"Etowah County, AL (01055)",Private Insurance,445
payment_5cat,Source of Payment for Delivery,2016,"Etowah County, AL (01055)",Self Pay,41
payment_5cat,Source of Payment for Delivery,2016,"Etowah County, AL (01055)",Other,16
payment_5cat,Source of Payment for Delivery,2016,"Houston County, AL (01069)",Medicaid,801
payment_5cat,Source of Payment for Delivery,2016,"Houston County, AL (01069)",Private Insurance,486
payment_5cat,Source of Payment for Delivery,2016,"Houston County, AL (01069)",Other,40
payment_5cat,Source of Payment for Delivery,2016,"Jefferson County, AL (01073)",Medicaid,3776
payment_5cat,Source of Payment for Delivery,2016,"Jefferson County, AL (01073)",Private Insurance,4548
payment_5cat,Source of Payment for Delivery,2016,"Jefferson County, AL (01073)",Self Pay,245
payment_5cat,Source of Payment for Delivery,2016,"Jefferson County, AL (01073)",Other,82
payment_5cat,Source of Payment for Delivery,2016,"Lee County, AL (01081)",Medicaid,694
payment_5cat,Source of Payment for Delivery,2016,"Lee County, AL (01081)",Private Insurance,958
payment_5cat,Source of Payment for Delivery,2016,"Lee County, AL (01081)",Self Pay,13
payment_5cat,Source of Payment for Delivery,2016,"Lee County, AL (01081)",Other,232
payment_5cat,Source of Payment for Delivery,2016,"Madison County, AL (01089)",Medicaid,1727
payment_5cat,Source of Payment for Delivery,2016,"Madison County, AL (01089)",Private Insurance,2292
payment_5cat,Source of Payment for Delivery,2016,"Madison County, AL (01089)",Self Pay,65
payment_5cat,Source of Payment for Delivery,2016,"Madison County, AL (01089)",Other,141
payment_5cat,Source of Payment for Delivery,2016,"Mobile County, AL (01097)",Medicaid,3083
payment_5cat,Source of Payment for Delivery,2016,"Mobile County, AL (01097)",Private Insurance,2123
payment_5cat,Source of Payment for Delivery,2016,"Mobile County, AL (01097)",Self Pay,160
payment_5cat,Source of Payment for Delivery,2016,"Mobile County, AL (01097)",Other,137
payment_5cat,Source of Payment for Delivery,2016,"Montgomery County, AL (01101)",Medicaid,1956
payment_5cat,Source of Payment for Delivery,2016,"Montgomery County, AL (01101)",Private Insurance,966
payment_5cat,Source of Payment for Delivery,2016,"Montgomery County, AL (01101)",Self Pay,47
payment_5cat,Source of Payment for Delivery,2016,"Montgomery County, AL (01101)",Other,169
payment_5cat,Source of Payment for Delivery,2016,"Morgan County, AL (01103)",Medicaid,872
payment_5cat,Source of Payment for Delivery,2016,"Morgan County, AL (01103)",Private Insurance,532
payment_5cat,Source of Payment for Delivery,2016,"Morgan County, AL (01103)",Self Pay,30
payment_5cat,Source of Payment for Delivery,2016,"Morgan County, AL (01103)",Other,33
payment_5cat,Source of Payment for Delivery,2016,"Shelby County, AL (01117)",Medicaid,613
payment_5cat,Source of Payment for Delivery,2016,"Shelby County, AL (01117)",Private Insurance,1663
payment_5cat,Source of Payment for Delivery,2016,"Shelby County, AL (01117)",Self Pay,66
