variable_label,variable_name,year,geo,category,births
perineal_laceration,Perineal Laceration,2016,"Baldwin County, AL (01003)",Yes,30
perineal_laceration,Perineal Laceration,2016,"Baldwin County, AL (01003)",No,2216
perineal_laceration,Perineal Laceration,2016,"Calhoun County, AL (01015)",Yes,12
perineal_laceration,Perineal Laceration,2016,"Calhoun County, AL (01015)",No,1345
perineal_laceration,Perineal Laceration,2016,"Etowah County, AL (01055)",No,1210
perineal_laceration,Perineal Laceration,2016,"Houston County, AL (01069)",No,1329
perineal_laceration,Perineal Laceration,2016,"Jefferson County, AL (01073)",Yes,39
perineal_laceration,Perineal Laceration,2016,"Jefferson County, AL (01073)",No,8616
perineal_laceration,Perineal Laceration,2016,"Lee County, AL (01081)",Yes,17
perineal_laceration,Perineal Laceration,2016,"Lee County, AL (01081)",No,1881
perineal_laceration,Perineal Laceration,2016,"Madison County, AL (01089)",Yes,58
perineal_laceration,Perineal Laceration,2016,"Madison County, AL (01089)",No,4169
perineal_laceration,Perineal Laceration,2016,"Mobile County, AL (01097)",Yes,61
perineal_laceration,Perineal Laceration,2016,"Mobile County, AL (01097)",No,5443
perineal_laceration,Perineal Laceration,2016,"Montgomery County, AL (01101)",Yes,16
perineal_laceration,Perineal Laceration,2016,"Montgomery County, AL (01101)",No,3122
perineal_laceration,Perineal Laceration,2016,"Morgan County, AL (01103)",Yes,16
perineal_laceration,Perineal Laceration,2016,"Morgan County, AL (01103)",No,1454
perineal_laceration,Perineal Laceration,2016,"Shelby County, AL (01117)",Yes,13
perineal_laceration,Perineal Laceration,2016,"Shelby County, AL (01117)",No,2374
perineal_laceration,Perineal Laceration,2016,"Tuscaloosa County, AL (01125)",Yes,33
perineal_laceration,Perineal Laceration,2016,"Tuscaloosa County, AL (01125)",No,2558
perineal_laceration,Perineal Laceration,2016,"Unidentified Counties, AL (01999)",Yes,150
perineal_laceration,Perineal Laceration,2016,"Unidentified Counties, AL (01999)",No,22977
perineal_laceration,Perineal Laceration,2016,"Anchorage Borough, AK (02020)",Yes,59
perineal_laceration,Perineal Laceration,2016,"Anchorage Borough, AK (02020)",No,4445
perineal_laceration,Perineal Laceration,2016,"Anchorage Borough, AK (02020)",Unknown or Not Stated,14
perineal_laceration,Perineal Laceration,2016,"Unidentified Counties, AK (02999)",Yes,96
perineal_laceration,Perineal Laceration,2016,"Unidentified Counties, AK (02999)",No,6559
perineal_laceration,Perineal Laceration,2016,"Unidentified Counties, AK (02999)",Unknown or Not Stated,36
perineal_laceration,Perineal Laceration,2016,"Cochise County, AZ (04003)",No,1522
perineal_laceration,Perineal Laceration,2016,"Coconino County, AZ (04005)",Yes,10
perineal_laceration,Perineal Laceration,2016,"Coconino County, AZ (04005)",No,1602
perineal_laceration,Perineal Laceration,2016,"Maricopa County, AZ (04013)",Yes,188
perineal_laceration,Perineal Laceration,2016,"Maricopa County, AZ (04013)",No,53938
perineal_laceration,Perineal Laceration,2016,"Mohave County, AZ (04015)",No,1798
perineal_laceration,Perineal Laceration,2016,"Navajo County, AZ (04017)",No,1489
perineal_laceration,Perineal Laceration,2016,"Pima County, AZ (04019)",Yes,129
perineal_laceration,Perineal Laceration,2016,"Pima County, AZ (04019)",No,11292
perineal_laceration,Perineal Laceration,2016,"Pinal County, AZ (04021)",Yes,14
perineal_laceration,Perineal Laceration,2016,"Pinal County, AZ (04021)",No,4456
perineal_laceration,Perineal Laceration,2016,"Yavapai County, AZ (04025)",No,1861
perineal_laceration,Perineal Laceration,2016,"Yuma County, AZ (04027)",No,2998
perineal_laceration,Perineal Laceration,2016,"Unidentified Counties, AZ (04999)",Yes,13
perineal_laceration,Perineal Laceration,2016,"Unidentified Counties, AZ (04999)",No,3175
perineal_laceration,Perineal Laceration,2016,"Benton County, AR (05007)",Yes,40
perineal_laceration,Perineal Laceration,2016,"Benton County, AR (05007)",No,3582
perineal_laceration,Perineal Laceration,2016,"Faulkner County, AR (05045)",Yes,25
perineal_laceration,Perineal Laceration,2016,"Faulkner County, AR (05045)",No,1509
perineal_laceration,Perineal Laceration,2016,"Pulaski County, AR (05119)",Yes,13
perineal_laceration,Perineal Laceration,2016,"Pulaski County, AR (05119)",No,5335
perineal_laceration,Perineal Laceration,2016,"Saline County, AR (05125)",No,1322
perineal_laceration,Perineal Laceration,2016,"Sebastian County, AR (05131)",Yes,28
perineal_laceration,Perineal Laceration,2016,"Sebastian County, AR (05131)",No,1693
perineal_laceration,Perineal Laceration,2016,"Washington County, AR (05143)",Yes,27
perineal_laceration,Perineal Laceration,2016,"Washington County, AR (05143)",No,3253
perineal_laceration,Perineal Laceration,2016,"Unidentified Counties, AR (05999)",Yes,121
perineal_laceration,Perineal Laceration,2016,"Unidentified Counties, AR (05999)",No,21319
perineal_laceration,Perineal Laceration,2016,"Alameda County, CA (06001)",Yes,218
perineal_laceration,Perineal Laceration,2016,"Alameda County, CA (06001)",No,19352
perineal_laceration,Perineal Laceration,2016,"Butte County, CA (06007)",Yes,15
perineal_laceration,Perineal Laceration,2016,"Butte County, CA (06007)",No,2475
perineal_laceration,Perineal Laceration,2016,"Contra Costa County, CA (06013)",Yes,201
perineal_laceration,Perineal Laceration,2016,"Contra Costa County, CA (06013)",No,12136
perineal_laceration,Perineal Laceration,2016,"El Dorado County, CA (06017)",No,1595
perineal_laceration,Perineal Laceration,2016,"Fresno County, CA (06019)",Yes,14
perineal_laceration,Perineal Laceration,2016,"Fresno County, CA (06019)",No,15113
perineal_laceration,Perineal Laceration,2016,"Humboldt County, CA (06023)",Yes,12
perineal_laceration,Perineal Laceration,2016,"Humboldt County, CA (06023)",No,1470
perineal_laceration,Perineal Laceration,2016,"Imperial County, CA (06025)",No,2937
perineal_laceration,Perineal Laceration,2016,"Kern County, CA (06029)",Yes,57
perineal_laceration,Perineal Laceration,2016,"Kern County, CA (06029)",No,13669
perineal_laceration,Perineal Laceration,2016,"Kings County, CA (06031)",No,2245
perineal_laceration,Perineal Laceration,2016,"Los Angeles County, CA (06037)",Yes,792
perineal_laceration,Perineal Laceration,2016,"Los Angeles County, CA (06037)",No,122289
perineal_laceration,Perineal Laceration,2016,"Los Angeles County, CA (06037)",Unknown or Not Stated,11
perineal_laceration,Perineal Laceration,2016,"Madera County, CA (06039)",Yes,79
perineal_laceration,Perineal Laceration,2016,"Madera County, CA (06039)",No,2275
perineal_laceration,Perineal Laceration,2016,"Marin County, CA (06041)",Yes,15
perineal_laceration,Perineal Laceration,2016,"Marin County, CA (06041)",No,2236
perineal_laceration,Perineal Laceration,2016,"Merced County, CA (06047)",Yes,15
perineal_laceration,Perineal Laceration,2016,"Merced County, CA (06047)",No,4102
perineal_laceration,Perineal Laceration,2016,"Monterey County, CA (06053)",Yes,53
perineal_laceration,Perineal Laceration,2016,"Monterey County, CA (06053)",No,6166
perineal_laceration,Perineal Laceration,2016,"Napa County, CA (06055)",Yes,18
perineal_laceration,Perineal Laceration,2016,"Napa County, CA (06055)",No,1386
perineal_laceration,Perineal Laceration,2016,"Orange County, CA (06059)",Yes,208
perineal_laceration,Perineal Laceration,2016,"Orange County, CA (06059)",No,37896
perineal_laceration,Perineal Laceration,2016,"Placer County, CA (06061)",Yes,41
perineal_laceration,Perineal Laceration,2016,"Placer County, CA (06061)",No,3691
perineal_laceration,Perineal Laceration,2016,"Riverside County, CA (06065)",Yes,149
perineal_laceration,Perineal Laceration,2016,"Riverside County, CA (06065)",No,30507
perineal_laceration,Perineal Laceration,2016,"Sacramento County, CA (06067)",Yes,117
