variable_label,variable_name,year,geo,category,births
plurality,Plurality,2016,"Baldwin County, AL (01003)",Single,2170
plurality,Plurality,2016,"Baldwin County, AL (01003)",Twin,77
plurality,Plurality,2016,"Calhoun County, AL (01015)",Single,1289
plurality,Plurality,2016,"Calhoun County, AL (01015)",Twin,68
plurality,Plurality,2016,"Etowah County, AL (01055)",Single,1184
plurality,Plurality,2016,"Etowah County, AL (01055)",Twin,30
plurality,Plurality,2016,"Houston County, AL (01069)",Single,1276
plurality,Plurality,2016,"Houston County, AL (01069)",Twin,54
plurality,Plurality,2016,"Jefferson County, AL (01073)",Single,8287
plurality,Plurality,2016,"Jefferson County, AL (01073)",Twin,349
plurality,Plurality,2016,"Jefferson County, AL (01073)",Triplet or higher,19
plurality,Plurality,2016,"Lee County, AL (01081)",Single,1821
plurality,Plurality,2016,"Lee County, AL (01081)",Twin,77
plurality,Plurality,2016,"Madison County, AL (01089)",Single,4046
plurality,Plurality,2016,"Madison County, AL (01089)",Twin,176
plurality,Plurality,2016,"Mobile County, AL (01097)",Single,5276
plurality,Plurality,2016,"Mobile County, AL (01097)",Twin,215
plurality,Plurality,2016,"Mobile County, AL (01097)",Triplet or higher,13
plurality,Plurality,2016,"Montgomery County, AL (01101)",Single,3005
plurality,Plurality,2016,"Montgomery County, AL (01101)",Twin,131
plurality,Plurality,2016,"Morgan County, AL (01103)",Single,1416
plurality,Plurality,2016,"Morgan County, AL (01103)",Twin,54
plurality,Plurality,2016,"Shelby County, AL (01117)",Single,2289
plurality,Plurality,2016,"Shelby County, AL (01117)",Twin,95
plurality,Plurality,2016,"Tuscaloosa County, AL (01125)",Single,2495
plurality,Plurality,2016,"Tuscaloosa County, AL (01125)",Twin,87
plurality,Plurality,2016,"Unidentified Counties, AL (01999)",Single,22324
plurality,Plurality,2016,"Unidentified Counties, AL (01999)",Twin,769
plurality,Plurality,2016,"Unidentified Counties, AL (01999)",Triplet or higher,35
plurality,Plurality,2016,"Anchorage Borough, AK (02020)",Single,4350
plurality,Plurality,2016,"Anchorage Borough, AK (02020)",Twin,165
plurality,Plurality,2016,"Unidentified Counties, AK (02999)",Single,6482
plurality,Plurality,2016,"Unidentified Counties, AK (02999)",Twin,209
plurality,Plurality,2016,"Cochise County, AZ (04003)",Single,1488
plurality,Plurality,2016,"Cochise County, AZ (04003)",Twin,41
plurality,Plurality,2016,"Coconino County, AZ (04005)",Single,1553
plurality,Plurality,2016,"Coconino County, AZ (04005)",Twin,56
plurality,Plurality,2016,"Maricopa County, AZ (04013)",Single,52335
plurality,Plurality,2016,"Maricopa County, AZ (04013)",Twin,1745
plurality,Plurality,2016,"Maricopa County, AZ (04013)",Triplet or higher,46
plurality,Plurality,2016,"Mohave County, AZ (04015)",Single,1754
plurality,Plurality,2016,"Mohave County, AZ (04015)",Twin,48
plurality,Plurality,2016,"Navajo County, AZ (04017)",Single,1455
plurality,Plurality,2016,"Navajo County, AZ (04017)",Twin,42
plurality,Plurality,2016,"Pima County, AZ (04019)",Single,11118
