variable_label,variable_name,year,geo,category,births
prenatal_care_month,Month Prenatal Care Began,2019,"Baldwin County, AL (01003)",No prenatal care,15
prenatal_care_month,Month Prenatal Care Began,2019,"Baldwin County, AL (01003)",1st month,72
prenatal_care_month,Month Prenatal Care Began,2019,"Baldwin County, AL (01003)",2nd month,810
prenatal_care_month,Month Prenatal Care Began,2019,"Baldwin County, AL (01003)",3rd month,907
prenatal_care_month,Month Prenatal Care Began,2019,"Baldwin County, AL (01003)",4th month,208
prenatal_care_month,Month Prenatal Care Began,2019,"Baldwin County, AL (01003)",5th month,126
prenatal_care_month,Month Prenatal Care Began,2019,"Baldwin County, AL (01003)",6th month,63
prenatal_care_month,Month Prenatal Care Began,2019,"Baldwin County, AL (01003)",7th month,58
prenatal_care_month,Month Prenatal Care Began,2019,"Baldwin County, AL (01003)",8th month,44
prenatal_care_month,Month Prenatal Care Began,2019,"Baldwin County, AL (01003)",9th month,20
prenatal_care_month,Month Prenatal Care Began,2019,"Calhoun County, AL (01015)",No prenatal care,20
prenatal_care_month,Month Prenatal Care Began,2019,"Calhoun County, AL (01015)",1st month,30
prenatal_care_month,Month Prenatal Care Began,2019,"Calhoun County, AL (01015)",2nd month,617
prenatal_care_month,Month Prenatal Care Began,2019,"Calhoun County, AL (01015)",3rd month,390
prenatal_care_month,Month Prenatal Care Began,2019,"Calhoun County, AL (01015)",4th month,147
prenatal_care_month,Month Prenatal Care Began,2019,"Calhoun County, AL (01015)",5th month,71
prenatal_care_month,Month Prenatal Care Began,2019,"Calhoun County, AL (01015)",6th month,45
prenatal_care_month,Month Prenatal Care Began,2019,"Calhoun County, AL (01015)",7th month,29
prenatal_care_month,Month Prenatal Care Began,2019,"Calhoun County, AL (01015)",8th month,25
prenatal_care_month,Month Prenatal Care Began,2019,"Etowah County, AL (01055)",No prenatal care,41
prenatal_care_month,Month Prenatal Care Began,2019,"Etowah County, AL (01055)",1st month,19
prenatal_care_month,Month Prenatal Care Began,2019,"Etowah County, AL (01055)",2nd month,376
prenatal_care_month,Month Prenatal Care Began,2019,"Etowah County, AL (01055)",3rd month,419
prenatal_care_month,Month Prenatal Care Began,2019,"Etowah County, AL (01055)",4th month,180
prenatal_care_month,Month Prenatal Care Began,2019,"Etowah County, AL (01055)",5th month,88
prenatal_care_month,Month Prenatal Care Began,2019,"Etowah County, AL (01055)",6th month,50
prenatal_care_month,Month Prenatal Care Began,2019,"Etowah County, AL (01055)",7th month,33
prenatal_care_month,Month Prenatal Care Began,2019,"Etowah County, AL (01055)",8th month,23
prenatal_care_month,Month Prenatal Care Began,2019,"Houston County, AL (01069)",No prenatal care,17
prenatal_care_month,Month Prenatal Care Began,2019,"Houston County, AL (01069)",1st month,40
prenatal_care_month,Month Prenatal Care Began,2019,"Houston County, AL (01069)",2nd month,639
prenatal_care_month,Month Prenatal Care Began,2019,"Houston County, AL (01069)",3rd month,349
prenatal_care_month,Month Prenatal Care Began,2019,"Houston County, AL (01069)",4th month,114
prenatal_care_month,Month Prenatal Care Began,2019,"Houston County, AL (01069)",5th month,60
prenatal_care_month,Month Prenatal Care Began,2019,"Houston County, AL (01069)",6th month,48
prenatal_care_month,Month Prenatal Care Began,2019,"Houston County, AL (01069)",7th month,32
prenatal_care_month,Month Prenatal Care Began,2019,"Houston County, AL (01069)",8th month,23
prenatal_care_month,Month Prenatal Care Began,2019,"Houston County, AL (01069)",9th month,10
prenatal_care_month,Month Prenatal Care Began,2019,"Jefferson County, AL (01073)",No prenatal care,142
prenatal_care_month,Month Prenatal Care Began,2019,"Jefferson County, AL (01073)",1st month,160
prenatal_care_month,Month Prenatal Care Began,2019,"Jefferson County, AL (01073)",2nd month,2687
prenatal_care_month,Month Prenatal Care Began,2019,"Jefferson County, AL (01073)",3rd month,3008
prenatal_care_month,Month Prenatal Care Began,2019,"Jefferson County, AL (01073)",4th month,1102
prenatal_care_month,Month Prenatal Care Began,2019,"Jefferson County, AL (01073)",5th month,549
prenatal_care_month,Month Prenatal Care Began,2019,"Jefferson County, AL (01073)",6th month,314
prenatal_care_month,Month Prenatal Care Began,2019,"Jefferson County, AL (01073)",7th month,271
prenatal_care_month,Month Prenatal Care Began,2019,"Jefferson County, AL (01073)",8th month,160
prenatal_care_month,Month Prenatal Care Began,2019,"Jefferson County, AL (01073)",9th month,49
prenatal_care_month,Month Prenatal Care Began,2019,"Jefferson County, AL (01073)",Unknown or Not Stated,39
prenatal_care_month,Month Prenatal Care Began,2019,"Lee County, AL (01081)",No prenatal care,16
prenatal_care_month,Month Prenatal Care Began,2019,"Lee County, AL (01081)",1st month,156
prenatal_care_month,Month Prenatal Care Began,2019,"Lee County, AL (01081)",2nd month,973
prenatal_care_month,Month Prenatal Care Began,2019,"Lee County, AL (01081)",3rd month,360
prenatal_care_month,Month Prenatal Care Began,2019,"Lee County, AL (01081)",4th month,125
prenatal_care_month,Month Prenatal Care Began,2019,"Lee County, AL (01081)",5th month,80
prenatal_care_month,Month Prenatal Care Began,2019,"Lee County, AL (01081)",6th month,53
prenatal_care_month,Month Prenatal Care Began,2019,"Lee County, AL (01081)",7th month,43
prenatal_care_month,Month Prenatal Care Began,2019,"Lee County, AL (01081)",8th month,20
prenatal_care_month,Month Prenatal Care Began,2019,"Lee County, AL (01081)",Unknown or Not Stated,44
prenatal_care_month,Month Prenatal Care Began,2019,"Madison County, AL (01089)",No prenatal care,103
prenatal_care_month,Month Prenatal Care Began,2019,"Madison County, AL (01089)",1st month,31
prenatal_care_month,Month Prenatal Care Began,2019,"Madison County, AL (01089)",2nd month,1382
prenatal_care_month,Month Prenatal Care Began,2019,"Madison County, AL (01089)",3rd month,1534
prenatal_care_month,Month Prenatal Care Began,2019,"Madison County, AL (01089)",4th month,500
prenatal_care_month,Month Prenatal Care Began,2019,"Madison County, AL (01089)",5th month,274
prenatal_care_month,Month Prenatal Care Began,2019,"Madison County, AL (01089)",6th month,166
prenatal_care_month,Month Prenatal Care Began,2019,"Madison County, AL (01089)",7th month,105
prenatal_care_month,Month Prenatal Care Began,2019,"Madison County, AL (01089)",8th month,73
prenatal_care_month,Month Prenatal Care Began,2019,"Madison County, AL (01089)",9th month,19
prenatal_care_month,Month Prenatal Care Began,2019,"Madison County, AL (01089)",Unknown or Not Stated,72
prenatal_care_month,Month Prenatal Care Began,2019,"Mobile County, AL (01097)",No prenatal care,64
prenatal_care_month,Month Prenatal Care Began,2019,"Mobile County, AL (01097)",1st month,436
prenatal_care_month,Month Prenatal Care Began,2019,"Mobile County, AL (01097)",2nd month,2455
prenatal_care_month,Month Prenatal Care Began,2019,"Mobile County, AL (01097)",3rd month,1339
prenatal_care_month,Month Prenatal Care Began,2019,"Mobile County, AL (01097)",4th month,494
prenatal_care_month,Month Prenatal Care Began,2019,"Mobile County, AL (01097)",5th month,266
prenatal_care_month,Month Prenatal Care Began,2019,"Mobile County, AL (01097)",6th month,137
prenatal_care_month,Month Prenatal Care Began,2019,"Mobile County, AL (01097)",7th month,100
prenatal_care_month,Month Prenatal Care Began,2019,"Mobile County, AL (01097)",8th month,59
prenatal_care_month,Month Prenatal Care Began,2019,"Mobile County, AL (01097)",9th month,13
prenatal_care_month,Month Prenatal Care Began,2019,"Montgomery County, AL (01101)",No prenatal care,121
prenatal_care_month,Month Prenatal Care Began,2019,"Montgomery County, AL (01101)",1st month,57
prenatal_care_month,Month Prenatal Care Began,2019,"Montgomery County, AL (01101)",2nd month,1052
prenatal_care_month,Month Prenatal Care Began,2019,"Montgomery County, AL (01101)",3rd month,920
prenatal_care_month,Month Prenatal Care Began,2019,"Montgomery County, AL (01101)",4th month,407
prenatal_care_month,Month Prenatal Care Began,2019,"Montgomery County, AL (01101)",5th month,261
prenatal_care_month,Month Prenatal Care Began,2019,"Montgomery County, AL (01101)",6th month,136
prenatal_care_month,Month Prenatal Care Began,2019,"Montgomery County, AL (01101)",7th month,130
prenatal_care_month,Month Prenatal Care Began,2019,"Montgomery County, AL (01101)",8th month,67
prenatal_care_month,Month Prenatal Care Began,2019,"Montgomery County, AL (01101)",9th month,15
prenatal_care_month,Month Prenatal Care Began,2019,"Morgan County, AL (01103)",No prenatal care,94
prenatal_care_month,Month Prenatal Care Began,2019,"Morgan County, AL (01103)",1st month,21
prenatal_care_month,Month Prenatal Care Began,2019,"Morgan County, AL (01103)",2nd month,453
prenatal_care_month,Month Prenatal Care Began,2019,"Morgan County, AL (01103)",3rd month,379
prenatal_care_month,Month Prenatal Care Began,2019,"Morgan County, AL (01103)",4th month,186
prenatal_care_month,Month Prenatal Care Began,2019,"Morgan County, AL (01103)",5th month,110
prenatal_care_month,Month Prenatal Care Began,2019,"Morgan County, AL (01103)",6th month,76
prenatal_care_month,Month Prenatal Care Began,2019,"Morgan County, AL (01103)",7th month,39
prenatal_care_month,Month Prenatal Care Began,2019,"Morgan County, AL (01103)",8th month,45
prenatal_care_month,Month Prenatal Care Began,2019,"Morgan County, AL (01103)",9th month,14
prenatal_care_month,Month Prenatal Care Began,2019,"Morgan County, AL (01103)",Unknown or Not Stated,17
prenatal_care_month,Month Prenatal Care Began,2019,"Shelby County, AL (01117)",No prenatal care,14
prenatal_care_month,Month Prenatal Care Began,2019,"Shelby County, AL (01117)",1st month,33
prenatal_care_month,Month Prenatal Care Began,2019,"Shelby County, AL (01117)",2nd month,816
prenatal_care_month,Month Prenatal Care Began,2019,"Shelby County, AL (01117)",3rd month,852
prenatal_care_month,Month Prenatal Care Began,2019,"Shelby County, AL (01117)",4th month,245
prenatal_care_month,Month Prenatal Care Began,2019,"Shelby County, AL (01117)",5th month,106
prenatal_care_month,Month Prenatal Care Began,2019,"Shelby County, AL (01117)",6th month,54
prenatal_care_month,Month Prenatal Care Began,2019,"Shelby County, AL (01117)",7th month,47
prenatal_care_month,Month Prenatal Care Began,2019,"Shelby County, AL (01117)",8th month,29
prenatal_care_month,Month Prenatal Care Began,2019,"Tuscaloosa County, AL (01125)",No prenatal care,176
