variable_label,variable_name,year,geo,category,births
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),0 prenatal visits,1218
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),1 prenatal visits,250
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),2 prenatal visits,402
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),3 prenatal visits,650
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),4 prenatal visits,894
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),5 prenatal visits,1614
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),6 prenatal visits,1949
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),7 prenatal visits,2357
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),8 prenatal visits,3641
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),9 prenatal visits,4824
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),10 prenatal visits,9056
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),11 prenatal visits,6889
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),12 prenatal visits,8984
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),13 prenatal visits,6123
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),14 prenatal visits,3966
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),15 prenatal visits,2669
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),16 prenatal visits,1282
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),17 prenatal visits,691
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),18 prenatal visits,434
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),19 prenatal visits,243
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),20 prenatal visits,283
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),21 prenatal visits,82
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),22 prenatal visits,75
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),23 prenatal visits,56
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),24 prenatal visits,43
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),25 prenatal visits,61
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),26 prenatal visits,19
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),27 prenatal visits,10
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),28 prenatal visits,12
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),30 prenatal visits,25
prenatal_visits_count,Number of Prenatal Visits,2016,Alabama (01),Unknown or Not Stated,300
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),0 prenatal visits,93
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),1 prenatal visits,46
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),2 prenatal visits,109
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),3 prenatal visits,173
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),4 prenatal visits,251
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),5 prenatal visits,356
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),6 prenatal visits,499
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),7 prenatal visits,550
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),8 prenatal visits,832
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),9 prenatal visits,863
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),10 prenatal visits,1389
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),11 prenatal visits,1090
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),12 prenatal visits,1337
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),13 prenatal visits,910
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),14 prenatal visits,715
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),15 prenatal visits,536
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),16 prenatal visits,334
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),17 prenatal visits,196
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),18 prenatal visits,162
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),19 prenatal visits,95
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),20 prenatal visits,95
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),21 prenatal visits,53
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),22 prenatal visits,43
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),23 prenatal visits,37
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),24 prenatal visits,33
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),25 prenatal visits,11
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),26 prenatal visits,16
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),27 prenatal visits,14
prenatal_visits_count,Number of Prenatal Visits,2016,Alaska (02),Unknown or Not Stated,323
prenatal_visits_count,Number of Prenatal Visits,2016,Arizona (04),0 prenatal visits,2041
prenatal_visits_count,Number of Prenatal Visits,2016,Arizona (04),1 prenatal visits,526
prenatal_visits_count,Number of Prenatal Visits,2016,Arizona (04),2 prenatal visits,869
prenatal_visits_count,Number of Prenatal Visits,2016,Arizona (04),3 prenatal visits,1068
prenatal_visits_count,Number of Prenatal Visits,2016,Arizona (04),4 prenatal visits,1474
prenatal_visits_count,Number of Prenatal Visits,2016,Arizona (04),5 prenatal visits,2111
prenatal_visits_count,Number of Prenatal Visits,2016,Arizona (04),6 prenatal visits,2767
prenatal_visits_count,Number of Prenatal Visits,2016,Arizona (04),7 prenatal visits,2990
prenatal_visits_count,Number of Prenatal Visits,2016,Arizona (04),8 prenatal visits,5198
prenatal_visits_count,Number of Prenatal Visits,2016,Arizona (04),9 prenatal visits,6185
prenatal_visits_count,Number of Prenatal Visits,2016,Arizona (04),10 prenatal visits,12038
