variable_label,variable_name,year,geo,category,births
prepreg_bmi,Mother's Pre-pregnancy BMI,2016,"Baldwin County, AL (01003)",Underweight &lt;18.5,108
prepreg_bmi,Mother's Pre-pregnancy BMI,2016,"Baldwin County, AL (01003)",Normal 18.5-24.9,993
prepreg_bmi,Mother's Pre-pregnancy BMI,2016,"Baldwin County, AL (01003)",Overweight 25.0-29.9,542
prepreg_bmi,Mother's Pre-pregnancy BMI,2016,"Baldwin County, AL (01003)",Obesity I 30.0-34.9,294
prepreg_bmi,Mother's Pre-pregnancy BMI,2016,"Baldwin County, AL (01003)",Obesity II 35.0-39.9,169
prepreg_bmi,Mother's Pre-pregnancy BMI,2016,"Baldwin County, AL (01003)",Extreme Obesity III &gt; 39.9,117
prepreg_bmi,Mother's Pre-pregnancy BMI,2016,"Baldwin County, AL (01003)",Unknown or Not Stated,24
prepreg_bmi,Mother's Pre-pregnancy BMI,2016,"Calhoun County, AL (01015)",Underweight &lt;18.5,42
prepreg_bmi,Mother's Pre-pregnancy BMI,2016,"Calhoun County, AL (01015)",Normal 18.5-24.9,470
prepreg_bmi,Mother's Pre-pregnancy BMI,2016,"Calhoun County, AL (01015)",Overweight 25.0-29.9,356
prepreg_bmi,Mother's Pre-pregnancy BMI,2016,"Calhoun County, AL (01015)",Obesity I 30.0-34.9,250
prepreg_bmi,Mother's Pre-pregnancy BMI,2016,"Calhoun County, AL (01015)",Obesity II 35.0-39.9,124
prepreg_bmi,Mother's Pre-pregnancy BMI,2016,"Calhoun County, AL (01015)",Extreme Obesity III &gt; 39.9,106
prepreg_bmi,Mother's Pre-pregnancy BMI,2016,"Etowah County, AL (01055)",Underweight &lt;18.5,41
prepreg_bmi,Mother's Pre-pregnancy BMI,2016,"Etowah County, AL (01055)",Normal 18.5-24.9,439
prepreg_bmi,Mother's Pre-pregnancy BMI,2016,"Etowah County, AL (01055)",Overweight 25.0-29.9,307
prepreg_bmi,Mother's Pre-pregnancy BMI,2016,"Etowah County, AL (01055)",Obesity I 30.0-34.9,217
prepreg_bmi,Mother's Pre-pregnancy BMI,2016,"Etowah County, AL (01055)",Obesity II 35.0-39.9,117
