variable_label,variable_name,year,geo,category,births
prev_cesarean,Previous Cesarean Delivery,2016,"Baldwin County, AL (01003)",Yes,300
prev_cesarean,Previous Cesarean Delivery,2016,"Baldwin County, AL (01003)",No,1946
prev_cesarean,Previous Cesarean Delivery,2016,"Calhoun County, AL (01015)",Yes,178
prev_cesarean,Previous Cesarean Delivery,2016,"Calhoun County, AL (01015)",No,1179
prev_cesarean,Previous Cesarean Delivery,2016,"Etowah County, AL (01055)",Yes,170
prev_cesarean,Previous Cesarean Delivery,2016,"Etowah County, AL (01055)",No,1044
prev_cesarean,Previous Cesarean Delivery,2016,"Houston County, AL (01069)",Yes,223
prev_cesarean,Previous Cesarean Delivery,2016,"Houston County, AL (01069)",No,1110
prev_cesarean,Previous Cesarean Delivery,2016,"Jefferson County, AL (01073)",Yes,977
prev_cesarean,Previous Cesarean Delivery,2016,"Jefferson County, AL (01073)",No,7678
prev_cesarean,Previous Cesarean Delivery,2016,"Lee County, AL (01081)",Yes,291
prev_cesarean,Previous Cesarean Delivery,2016,"Lee County, AL (01081)",No,1607
prev_cesarean,Previous Cesarean Delivery,2016,"Madison County, AL (01089)",Yes,686
prev_cesarean,Previous Cesarean Delivery,2016,"Madison County, AL (01089)",No,3542
prev_cesarean,Previous Cesarean Delivery,2016,"Mobile County, AL (01097)",Yes,791
prev_cesarean,Previous Cesarean Delivery,2016,"Mobile County, AL (01097)",No,4713
prev_cesarean,Previous Cesarean Delivery,2016,"Montgomery County, AL (01101)",Yes,485
prev_cesarean,Previous Cesarean Delivery,2016,"Montgomery County, AL (01101)",No,2654
prev_cesarean,Previous Cesarean Delivery,2016,"Morgan County, AL (01103)",Yes,243
prev_cesarean,Previous Cesarean Delivery,2016,"Morgan County, AL (01103)",No,1227
prev_cesarean,Previous Cesarean Delivery,2016,"Shelby County, AL (01117)",Yes,305
prev_cesarean,Previous Cesarean Delivery,2016,"Shelby County, AL (01117)",No,2082
prev_cesarean,Previous Cesarean Delivery,2016,"Tuscaloosa County, AL (01125)",Yes,296
prev_cesarean,Previous Cesarean Delivery,2016,"Tuscaloosa County, AL (01125)",No,2295
prev_cesarean,Previous Cesarean Delivery,2016,"Unidentified Counties, AL (01999)",Yes,3404
prev_cesarean,Previous Cesarean Delivery,2016,"Unidentified Counties, AL (01999)",No,19722
prev_cesarean,Previous Cesarean Delivery,2016,"Anchorage Borough, AK (02020)",Yes,612
prev_cesarean,Previous Cesarean Delivery,2016,"Anchorage Borough, AK (02020)",No,3898
prev_cesarean,Previous Cesarean Delivery,2016,"Unidentified Counties, AK (02999)",Yes,718
prev_cesarean,Previous Cesarean Delivery,2016,"Unidentified Counties, AK (02999)",No,5906
prev_cesarean,Previous Cesarean Delivery,2016,"Unidentified Counties, AK (02999)",Unknown or Not Stated,67
prev_cesarean,Previous Cesarean Delivery,2016,"Cochise County, AZ (04003)",Yes,232
prev_cesarean,Previous Cesarean Delivery,2016,"Cochise County, AZ (04003)",No,1297
prev_cesarean,Previous Cesarean Delivery,2016,"Coconino County, AZ (04005)",Yes,143
prev_cesarean,Previous Cesarean Delivery,2016,"Coconino County, AZ (04005)",No,1469
prev_cesarean,Previous Cesarean Delivery,2016,"Maricopa County, AZ (04013)",Yes,7618
prev_cesarean,Previous Cesarean Delivery,2016,"Maricopa County, AZ (04013)",No,46508
prev_cesarean,Previous Cesarean Delivery,2016,"Mohave County, AZ (04015)",Yes,255
prev_cesarean,Previous Cesarean Delivery,2016,"Mohave County, AZ (04015)",No,1547
prev_cesarean,Previous Cesarean Delivery,2016,"Navajo County, AZ (04017)",Yes,207
prev_cesarean,Previous Cesarean Delivery,2016,"Navajo County, AZ (04017)",No,1290
prev_cesarean,Previous Cesarean Delivery,2016,"Pima County, AZ (04019)",Yes,1594
prev_cesarean,Previous Cesarean Delivery,2016,"Pima County, AZ (04019)",No,9827
prev_cesarean,Previous Cesarean Delivery,2016,"Pinal County, AZ (04021)",Yes,679
prev_cesarean,Previous Cesarean Delivery,2016,"Pinal County, AZ (04021)",No,3791
prev_cesarean,Previous Cesarean Delivery,2016,"Yavapai County, AZ (04025)",Yes,285
prev_cesarean,Previous Cesarean Delivery,2016,"Yavapai County, AZ (04025)",No,1583
prev_cesarean,Previous Cesarean Delivery,2016,"Yuma County, AZ (04027)",Yes,553
prev_cesarean,Previous Cesarean Delivery,2016,"Yuma County, AZ (04027)",No,2454
prev_cesarean,Previous Cesarean Delivery,2016,"Unidentified Counties, AZ (04999)",Yes,430
prev_cesarean,Previous Cesarean Delivery,2016,"Unidentified Counties, AZ (04999)",No,2758
