variable_label,variable_name,year,category,births
risk_factors_checked,Risk Factors Checked,2016,0 cigarettes daily,3690817
risk_factors_checked,Risk Factors Checked,2016,1 cigarettes daily,8938
risk_factors_checked,Risk Factors Checked,2016,2 cigarettes daily,13521
risk_factors_checked,Risk Factors Checked,2016,3 cigarettes daily,16504
risk_factors_checked,Risk Factors Checked,2016,4 cigarettes daily,11968
risk_factors_checked,Risk Factors Checked,2016,5 cigarettes daily,38966
risk_factors_checked,Risk Factors Checked,2016,6 cigarettes daily,9379
risk_factors_checked,Risk Factors Checked,2016,7 cigarettes daily,6155
risk_factors_checked,Risk Factors Checked,2016,8 cigarettes daily,5404
risk_factors_checked,Risk Factors Checked,2016,9 cigarettes daily,866
risk_factors_checked,Risk Factors Checked,2016,10 cigarettes daily,79031
risk_factors_checked,Risk Factors Checked,2016,11 cigarettes daily,274
risk_factors_checked,Risk Factors Checked,2016,12 cigarettes daily,1593
risk_factors_checked,Risk Factors Checked,2016,13 cigarettes daily,225
risk_factors_checked,Risk Factors Checked,2016,14 cigarettes daily,139
risk_factors_checked,Risk Factors Checked,2016,15 cigarettes daily,5864
risk_factors_checked,Risk Factors Checked,2016,16 cigarettes daily,78
risk_factors_checked,Risk Factors Checked,2016,17 cigarettes daily,59
risk_factors_checked,Risk Factors Checked,2016,18 cigarettes daily,102
risk_factors_checked,Risk Factors Checked,2016,19 cigarettes daily,28
risk_factors_checked,Risk Factors Checked,2016,20 cigarettes daily,32346
risk_factors_checked,Risk Factors Checked,2016,21 cigarettes daily,30
risk_factors_checked,Risk Factors Checked,2016,22 cigarettes daily,18
risk_factors_checked,Risk Factors Checked,2016,24 cigarettes daily,52
risk_factors_checked,Risk Factors Checked,2016,25 cigarettes daily,182
risk_factors_checked,Risk Factors Checked,2016,26 cigarettes daily,14
risk_factors_checked,Risk Factors Checked,2016,28 cigarettes daily,12
risk_factors_checked,Risk Factors Checked,2016,30 cigarettes daily,1166
risk_factors_checked,Risk Factors Checked,2016,35 cigarettes daily,24
risk_factors_checked,Risk Factors Checked,2016,40 cigarettes daily,1344
risk_factors_checked,Risk Factors Checked,2016,45 cigarettes daily,19
risk_factors_checked,Risk Factors Checked,2016,50 cigarettes daily,42
risk_factors_checked,Risk Factors Checked,2016,60 cigarettes daily,280
risk_factors_checked,Risk Factors Checked,2016,80 cigarettes daily,97
risk_factors_checked,Risk Factors Checked,2016,88 cigarettes daily,14
risk_factors_checked,Risk Factors Checked,2016,90 cigarettes daily,16
risk_factors_checked,Risk Factors Checked,2016,98 or more,367
risk_factors_checked,Risk Factors Checked,2016,Unknown or Not Stated,19877
risk_factors_checked,Risk Factors Checked,2017,0 cigarettes daily,3615158
risk_factors_checked,Risk Factors Checked,2017,1 cigarettes daily,8165
risk_factors_checked,Risk Factors Checked,2017,2 cigarettes daily,12698
risk_factors_checked,Risk Factors Checked,2017,3 cigarettes daily,15460
risk_factors_checked,Risk Factors Checked,2017,4 cigarettes daily,11201
risk_factors_checked,Risk Factors Checked,2017,5 cigarettes daily,37236
risk_factors_checked,Risk Factors Checked,2017,6 cigarettes daily,8642
risk_factors_checked,Risk Factors Checked,2017,7 cigarettes daily,5758
risk_factors_checked,Risk Factors Checked,2017,8 cigarettes daily,4873
risk_factors_checked,Risk Factors Checked,2017,9 cigarettes daily,760
risk_factors_checked,Risk Factors Checked,2017,10 cigarettes daily,73746
risk_factors_checked,Risk Factors Checked,2017,11 cigarettes daily,256
risk_factors_checked,Risk Factors Checked,2017,12 cigarettes daily,1425
risk_factors_checked,Risk Factors Checked,2017,13 cigarettes daily,173
risk_factors_checked,Risk Factors Checked,2017,14 cigarettes daily,148
risk_factors_checked,Risk Factors Checked,2017,15 cigarettes daily,5440
risk_factors_checked,Risk Factors Checked,2017,16 cigarettes daily,80
risk_factors_checked,Risk Factors Checked,2017,17 cigarettes daily,57
risk_factors_checked,Risk Factors Checked,2017,18 cigarettes daily,122
risk_factors_checked,Risk Factors Checked,2017,19 cigarettes daily,22
risk_factors_checked,Risk Factors Checked,2017,20 cigarettes daily,31206
risk_factors_checked,Risk Factors Checked,2017,21 cigarettes daily,43
risk_factors_checked,Risk Factors Checked,2017,22 cigarettes daily,20
risk_factors_checked,Risk Factors Checked,2017,23 cigarettes daily,11
risk_factors_checked,Risk Factors Checked,2017,24 cigarettes daily,35
risk_factors_checked,Risk Factors Checked,2017,25 cigarettes daily,168
risk_factors_checked,Risk Factors Checked,2017,30 cigarettes daily,1013
risk_factors_checked,Risk Factors Checked,2017,35 cigarettes daily,31
risk_factors_checked,Risk Factors Checked,2017,36 cigarettes daily,10
risk_factors_checked,Risk Factors Checked,2017,40 cigarettes daily,1383
risk_factors_checked,Risk Factors Checked,2017,45 cigarettes daily,30
risk_factors_checked,Risk Factors Checked,2017,50 cigarettes daily,42
risk_factors_checked,Risk Factors Checked,2017,60 cigarettes daily,327
risk_factors_checked,Risk Factors Checked,2017,80 cigarettes daily,123
risk_factors_checked,Risk Factors Checked,2017,90 cigarettes daily,19
risk_factors_checked,Risk Factors Checked,2017,98 or more,359
risk_factors_checked,Risk Factors Checked,2017,Unknown or Not Stated,19179
risk_factors_checked,Risk Factors Checked,2018,0 cigarettes daily,3569104
risk_factors_checked,Risk Factors Checked,2018,1 cigarettes daily,7913
risk_factors_checked,Risk Factors Checked,2018,2 cigarettes daily,11714
risk_factors_checked,Risk Factors Checked,2018,3 cigarettes daily,14152
risk_factors_checked,Risk Factors Checked,2018,4 cigarettes daily,10117
risk_factors_checked,Risk Factors Checked,2018,5 cigarettes daily,34256
risk_factors_checked,Risk Factors Checked,2018,6 cigarettes daily,7663
risk_factors_checked,Risk Factors Checked,2018,7 cigarettes daily,5115
risk_factors_checked,Risk Factors Checked,2018,8 cigarettes daily,4460
risk_factors_checked,Risk Factors Checked,2018,9 cigarettes daily,758
risk_factors_checked,Risk Factors Checked,2018,10 cigarettes daily,68380
risk_factors_checked,Risk Factors Checked,2018,11 cigarettes daily,265
risk_factors_checked,Risk Factors Checked,2018,12 cigarettes daily,1373
risk_factors_checked,Risk Factors Checked,2018,13 cigarettes daily,167
risk_factors_checked,Risk Factors Checked,2018,14 cigarettes daily,138
risk_factors_checked,Risk Factors Checked,2018,15 cigarettes daily,5000
risk_factors_checked,Risk Factors Checked,2018,16 cigarettes daily,73
risk_factors_checked,Risk Factors Checked,2018,17 cigarettes daily,47
risk_factors_checked,Risk Factors Checked,2018,18 cigarettes daily,96
