variable_label,variable_name,year,geo,category,births
ruptured_uterus,Ruptured Uterus,2016,"Baldwin County, AL (01003)",No,2245
ruptured_uterus,Ruptured Uterus,2016,"Calhoun County, AL (01015)",No,1355
ruptured_uterus,Ruptured Uterus,2016,"Etowah County, AL (01055)",No,1213
ruptured_uterus,Ruptured Uterus,2016,"Houston County, AL (01069)",No,1332
ruptured_uterus,Ruptured Uterus,2016,"Jefferson County, AL (01073)",No,8655
ruptured_uterus,Ruptured Uterus,2016,"Lee County, AL (01081)",No,1895
ruptured_uterus,Ruptured Uterus,2016,"Madison County, AL (01089)",No,4226
ruptured_uterus,Ruptured Uterus,2016,"Mobile County, AL (01097)",No,5504
ruptured_uterus,Ruptured Uterus,2016,"Montgomery County, AL (01101)",No,3133
ruptured_uterus,Ruptured Uterus,2016,"Morgan County, AL (01103)",No,1470
ruptured_uterus,Ruptured Uterus,2016,"Shelby County, AL (01117)",No,2386
ruptured_uterus,Ruptured Uterus,2016,"Tuscaloosa County, AL (01125)",No,2590
ruptured_uterus,Ruptured Uterus,2016,"Unidentified Counties, AL (01999)",No,23119
ruptured_uterus,Ruptured Uterus,2016,"Anchorage Borough, AK (02020)",No,4502
ruptured_uterus,Ruptured Uterus,2016,"Anchorage Borough, AK (02020)",Unknown or Not Stated,14
ruptured_uterus,Ruptured Uterus,2016,"Unidentified Counties, AK (02999)",No,6651
ruptured_uterus,Ruptured Uterus,2016,"Unidentified Counties, AK (02999)",Unknown or Not Stated,36
ruptured_uterus,Ruptured Uterus,2016,"Cochise County, AZ (04003)",No,1529
ruptured_uterus,Ruptured Uterus,2016,"Coconino County, AZ (04005)",No,1610
ruptured_uterus,Ruptured Uterus,2016,"Maricopa County, AZ (04013)",Yes,18
ruptured_uterus,Ruptured Uterus,2016,"Maricopa County, AZ (04013)",No,54108
ruptured_uterus,Ruptured Uterus,2016,"Mohave County, AZ (04015)",No,1802
ruptured_uterus,Ruptured Uterus,2016,"Navajo County, AZ (04017)",No,1497
ruptured_uterus,Ruptured Uterus,2016,"Pima County, AZ (04019)",No,11416
ruptured_uterus,Ruptured Uterus,2016,"Pinal County, AZ (04021)",No,4467
ruptured_uterus,Ruptured Uterus,2016,"Yavapai County, AZ (04025)",No,1866
ruptured_uterus,Ruptured Uterus,2016,"Yuma County, AZ (04027)",No,3006
ruptured_uterus,Ruptured Uterus,2016,"Unidentified Counties, AZ (04999)",No,3186
ruptured_uterus,Ruptured Uterus,2016,"Benton County, AR (05007)",No,3620
