variable_label,variable_name,year,geo,category,births
steroids_fetal_lung,Steroids,2016,"Baldwin County, AL (01003)",Yes,53
steroids_fetal_lung,Steroids,2016,"Baldwin County, AL (01003)",No,2193
steroids_fetal_lung,Steroids,2016,"Calhoun County, AL (01015)",No,1353
steroids_fetal_lung,Steroids,2016,"Etowah County, AL (01055)",No,1210
steroids_fetal_lung,Steroids,2016,"Houston County, AL (01069)",Yes,26
steroids_fetal_lung,Steroids,2016,"Houston County, AL (01069)",No,1307
steroids_fetal_lung,Steroids,2016,"Jefferson County, AL (01073)",Yes,34
steroids_fetal_lung,Steroids,2016,"Jefferson County, AL (01073)",No,8621
steroids_fetal_lung,Steroids,2016,"Lee County, AL (01081)",Yes,10
steroids_fetal_lung,Steroids,2016,"Lee County, AL (01081)",No,1888
steroids_fetal_lung,Steroids,2016,"Madison County, AL (01089)",Yes,19
steroids_fetal_lung,Steroids,2016,"Madison County, AL (01089)",No,4209
steroids_fetal_lung,Steroids,2016,"Mobile County, AL (01097)",Yes,180
steroids_fetal_lung,Steroids,2016,"Mobile County, AL (01097)",No,5324
steroids_fetal_lung,Steroids,2016,"Montgomery County, AL (01101)",Yes,27
steroids_fetal_lung,Steroids,2016,"Montgomery County, AL (01101)",No,3112
steroids_fetal_lung,Steroids,2016,"Morgan County, AL (01103)",Yes,11
steroids_fetal_lung,Steroids,2016,"Morgan County, AL (01103)",No,1459
steroids_fetal_lung,Steroids,2016,"Shelby County, AL (01117)",No,2378
steroids_fetal_lung,Steroids,2016,"Tuscaloosa County, AL (01125)",Yes,141
steroids_fetal_lung,Steroids,2016,"Tuscaloosa County, AL (01125)",No,2450
steroids_fetal_lung,Steroids,2016,"Unidentified Counties, AL (01999)",Yes,264
steroids_fetal_lung,Steroids,2016,"Unidentified Counties, AL (01999)",No,22863
steroids_fetal_lung,Steroids,2016,"Anchorage Borough, AK (02020)",Yes,150
steroids_fetal_lung,Steroids,2016,"Anchorage Borough, AK (02020)",No,4364
steroids_fetal_lung,Steroids,2016,"Unidentified Counties, AK (02999)",Yes,172
steroids_fetal_lung,Steroids,2016,"Unidentified Counties, AK (02999)",No,6482
steroids_fetal_lung,Steroids,2016,"Unidentified Counties, AK (02999)",Unknown or Not Stated,37
steroids_fetal_lung,Steroids,2016,"Cochise County, AZ (04003)",Yes,40
steroids_fetal_lung,Steroids,2016,"Cochise County, AZ (04003)",No,1489
steroids_fetal_lung,Steroids,2016,"Coconino County, AZ (04005)",Yes,40
steroids_fetal_lung,Steroids,2016,"Coconino County, AZ (04005)",No,1572
steroids_fetal_lung,Steroids,2016,"Maricopa County, AZ (04013)",Yes,1365
steroids_fetal_lung,Steroids,2016,"Maricopa County, AZ (04013)",No,52761
steroids_fetal_lung,Steroids,2016,"Mohave County, AZ (04015)",Yes,22
steroids_fetal_lung,Steroids,2016,"Mohave County, AZ (04015)",No,1780
steroids_fetal_lung,Steroids,2016,"Navajo County, AZ (04017)",Yes,34
steroids_fetal_lung,Steroids,2016,"Navajo County, AZ (04017)",No,1463
steroids_fetal_lung,Steroids,2016,"Pima County, AZ (04019)",Yes,391
steroids_fetal_lung,Steroids,2016,"Pima County, AZ (04019)",No,11030
steroids_fetal_lung,Steroids,2016,"Pinal County, AZ (04021)",Yes,108
steroids_fetal_lung,Steroids,2016,"Pinal County, AZ (04021)",No,4362
steroids_fetal_lung,Steroids,2016,"Yavapai County, AZ (04025)",Yes,39
steroids_fetal_lung,Steroids,2016,"Yavapai County, AZ (04025)",No,1829
steroids_fetal_lung,Steroids,2016,"Yuma County, AZ (04027)",Yes,116
steroids_fetal_lung,Steroids,2016,"Yuma County, AZ (04027)",No,2891
steroids_fetal_lung,Steroids,2016,"Unidentified Counties, AZ (04999)",Yes,74
steroids_fetal_lung,Steroids,2016,"Unidentified Counties, AZ (04999)",No,3114
steroids_fetal_lung,Steroids,2016,"Benton County, AR (05007)",Yes,98
steroids_fetal_lung,Steroids,2016,"Benton County, AR (05007)",No,3524
steroids_fetal_lung,Steroids,2016,"Faulkner County, AR (05045)",No,1526
steroids_fetal_lung,Steroids,2016,"Pulaski County, AR (05119)",Yes,39
steroids_fetal_lung,Steroids,2016,"Pulaski County, AR (05119)",No,5309
steroids_fetal_lung,Steroids,2016,"Saline County, AR (05125)",No,1326
steroids_fetal_lung,Steroids,2016,"Sebastian County, AR (05131)",Yes,13
steroids_fetal_lung,Steroids,2016,"Sebastian County, AR (05131)",No,1708
steroids_fetal_lung,Steroids,2016,"Washington County, AR (05143)",Yes,63
steroids_fetal_lung,Steroids,2016,"Washington County, AR (05143)",No,3217
steroids_fetal_lung,Steroids,2016,"Unidentified Counties, AR (05999)",Yes,298
steroids_fetal_lung,Steroids,2016,"Unidentified Counties, AR (05999)",No,21143
steroids_fetal_lung,Steroids,2016,"Alameda County, CA (06001)",Yes,163
steroids_fetal_lung,Steroids,2016,"Alameda County, CA (06001)",No,19407
steroids_fetal_lung,Steroids,2016,"Butte County, CA (06007)",Yes,12
steroids_fetal_lung,Steroids,2016,"Butte County, CA (06007)",No,2478
steroids_fetal_lung,Steroids,2016,"Contra Costa County, CA (06013)",Yes,225
steroids_fetal_lung,Steroids,2016,"Contra Costa County, CA (06013)",No,12112
steroids_fetal_lung,Steroids,2016,"El Dorado County, CA (06017)",Yes,31
steroids_fetal_lung,Steroids,2016,"El Dorado County, CA (06017)",No,1570
steroids_fetal_lung,Steroids,2016,"Fresno County, CA (06019)",Yes,77
steroids_fetal_lung,Steroids,2016,"Fresno County, CA (06019)",No,15050
steroids_fetal_lung,Steroids,2016,"Humboldt County, CA (06023)",Yes,32
steroids_fetal_lung,Steroids,2016,"Humboldt County, CA (06023)",No,1450
steroids_fetal_lung,Steroids,2016,"Imperial County, CA (06025)",Yes,15
steroids_fetal_lung,Steroids,2016,"Imperial County, CA (06025)",No,2923
steroids_fetal_lung,Steroids,2016,"Kern County, CA (06029)",Yes,129
steroids_fetal_lung,Steroids,2016,"Kern County, CA (06029)",No,13597
steroids_fetal_lung,Steroids,2016,"Kings County, CA (06031)",Yes,12
steroids_fetal_lung,Steroids,2016,"Kings County, CA (06031)",No,2236
steroids_fetal_lung,Steroids,2016,"Los Angeles County, CA (06037)",Yes,1432
steroids_fetal_lung,Steroids,2016,"Los Angeles County, CA (06037)",No,121649
steroids_fetal_lung,Steroids,2016,"Los Angeles County, CA (06037)",Unknown or Not Stated,11
steroids_fetal_lung,Steroids,2016,"Madera County, CA (06039)",Yes,15
steroids_fetal_lung,Steroids,2016,"Madera County, CA (06039)",No,2339
steroids_fetal_lung,Steroids,2016,"Marin County, CA (06041)",Yes,59
steroids_fetal_lung,Steroids,2016,"Marin County, CA (06041)",No,2192
steroids_fetal_lung,Steroids,2016,"Merced County, CA (06047)",Yes,47
steroids_fetal_lung,Steroids,2016,"Merced County, CA (06047)",No,4070
steroids_fetal_lung,Steroids,2016,"Monterey County, CA (06053)",Yes,80
steroids_fetal_lung,Steroids,2016,"Monterey County, CA (06053)",No,6139
steroids_fetal_lung,Steroids,2016,"Napa County, CA (06055)",Yes,11
steroids_fetal_lung,Steroids,2016,"Napa County, CA (06055)",No,1393
steroids_fetal_lung,Steroids,2016,"Orange County, CA (06059)",Yes,589
steroids_fetal_lung,Steroids,2016,"Orange County, CA (06059)",No,37515
steroids_fetal_lung,Steroids,2016,"Placer County, CA (06061)",Yes,90
steroids_fetal_lung,Steroids,2016,"Placer County, CA (06061)",No,3642
steroids_fetal_lung,Steroids,2016,"Riverside County, CA (06065)",Yes,423
steroids_fetal_lung,Steroids,2016,"Riverside County, CA (06065)",No,30233
steroids_fetal_lung,Steroids,2016,"Sacramento County, CA (06067)",Yes,361
steroids_fetal_lung,Steroids,2016,"Sacramento County, CA (06067)",No,19225
steroids_fetal_lung,Steroids,2016,"San Bernardino County, CA (06071)",Yes,284
steroids_fetal_lung,Steroids,2016,"San Bernardino County, CA (06071)",No,30744
steroids_fetal_lung,Steroids,2016,"San Diego County, CA (06073)",Yes,1009
steroids_fetal_lung,Steroids,2016,"San Diego County, CA (06073)",No,41709
steroids_fetal_lung,Steroids,2016,"San Francisco County, CA (06075)",Yes,261
steroids_fetal_lung,Steroids,2016,"San Francisco County, CA (06075)",No,8801
steroids_fetal_lung,Steroids,2016,"San Joaquin County, CA (06077)",Yes,58
steroids_fetal_lung,Steroids,2016,"San Joaquin County, CA (06077)",No,10209
steroids_fetal_lung,Steroids,2016,"San Luis Obispo County, CA (06079)",Yes,51
steroids_fetal_lung,Steroids,2016,"San Luis Obispo County, CA (06079)",No,2530
steroids_fetal_lung,Steroids,2016,"San Mateo County, CA (06081)",Yes,149
steroids_fetal_lung,Steroids,2016,"San Mateo County, CA (06081)",No,8810
steroids_fetal_lung,Steroids,2016,"Santa Barbara County, CA (06083)",Yes,26
steroids_fetal_lung,Steroids,2016,"Santa Barbara County, CA (06083)",No,5474
steroids_fetal_lung,Steroids,2016,"Santa Clara County, CA (06085)",Yes,298
steroids_fetal_lung,Steroids,2016,"Santa Clara County, CA (06085)",No,22740
steroids_fetal_lung,Steroids,2016,"Santa Cruz County, CA (06087)",Yes,29
steroids_fetal_lung,Steroids,2016,"Santa Cruz County, CA (06087)",No,2770
steroids_fetal_lung,Steroids,2016,"Shasta County, CA (06089)",No,2041
steroids_fetal_lung,Steroids,2016,"Solano County, CA (06095)",Yes,49
steroids_fetal_lung,Steroids,2016,"Solano County, CA (06095)",No,5210
steroids_fetal_lung,Steroids,2016,"Sonoma County, CA (06097)",Yes,39
steroids_fetal_lung,Steroids,2016,"Sonoma County, CA (06097)",No,4923
steroids_fetal_lung,Steroids,2016,"Stanislaus County, CA (06099)",Yes,67
steroids_fetal_lung,Steroids,2016,"Stanislaus County, CA (06099)",No,7795
steroids_fetal_lung,Steroids,2016,"Tulare County, CA (06107)",Yes,16
steroids_fetal_lung,Steroids,2016,"Tulare County, CA (06107)",No,7130
steroids_fetal_lung,Steroids,2016,"Ventura County, CA (06111)",Yes,368
steroids_fetal_lung,Steroids,2016,"Ventura County, CA (06111)",No,9223
steroids_fetal_lung,Steroids,2016,"Yolo County, CA (06113)",Yes,41
steroids_fetal_lung,Steroids,2016,"Yolo County, CA (06113)",No,2382
steroids_fetal_lung,Steroids,2016,"Unidentified Counties, CA (06999)",Yes,147
steroids_fetal_lung,Steroids,2016,"Unidentified Counties, CA (06999)",No,10362
steroids_fetal_lung,Steroids,2016,"Adams County, CO (08001)",Yes,164
steroids_fetal_lung,Steroids,2016,"Adams County, CO (08001)",No,6507
steroids_fetal_lung,Steroids,2016,"Arapahoe County, CO (08005)",Yes,214
steroids_fetal_lung,Steroids,2016,"Arapahoe County, CO (08005)",No,7696
steroids_fetal_lung,Steroids,2016,"Boulder County, CO (08013)",Yes,49
