variable_label,variable_name,year,geo,category,births
syphilis,Syphilis,2016,Alabama (01),Yes,41
syphilis,Syphilis,2016,Alabama (01),No,59092
syphilis,Syphilis,2016,Alabama (01),Unknown or Not Stated,18
syphilis,Syphilis,2016,Alaska (02),No,11108
syphilis,Syphilis,2016,Alaska (02),Unknown or Not Stated,98
syphilis,Syphilis,2016,Arizona (04),Yes,68
syphilis,Syphilis,2016,Arizona (04),No,84451
syphilis,Syphilis,2016,Arkansas (05),Yes,44
syphilis,Syphilis,2016,Arkansas (05),No,38228
syphilis,Syphilis,2016,California (06),Yes,258
syphilis,Syphilis,2016,California (06),No,488528
syphilis,Syphilis,2016,California (06),Unknown or Not Stated,41
syphilis,Syphilis,2016,Colorado (08),No,66594
syphilis,Syphilis,2016,Colorado (08),Unknown or Not Stated,10
syphilis,Syphilis,2016,Connecticut (09),Yes,17
syphilis,Syphilis,2016,Connecticut (09),No,35384
syphilis,Syphilis,2016,Connecticut (09),Unknown or Not Stated,614
syphilis,Syphilis,2016,Delaware (10),No,10989
syphilis,Syphilis,2016,District of Columbia (11),No,9833
syphilis,Syphilis,2016,District of Columbia (11),Unknown or Not Stated,16
syphilis,Syphilis,2016,Florida (12),Yes,238
syphilis,Syphilis,2016,Florida (12),No,222302
syphilis,Syphilis,2016,Florida (12),Unknown or Not Stated,2482
syphilis,Syphilis,2016,Georgia (13),Yes,107
syphilis,Syphilis,2016,Georgia (13),No,129404
syphilis,Syphilis,2016,Georgia (13),Unknown or Not Stated,531
syphilis,Syphilis,2016,Hawaii (15),Yes,14
syphilis,Syphilis,2016,Hawaii (15),No,18045
syphilis,Syphilis,2016,Idaho (16),Yes,11
syphilis,Syphilis,2016,Idaho (16),No,22399
syphilis,Syphilis,2016,Idaho (16),Unknown or Not Stated,72
syphilis,Syphilis,2016,Illinois (17),Yes,160
syphilis,Syphilis,2016,Illinois (17),No,153962
syphilis,Syphilis,2016,Illinois (17),Unknown or Not Stated,323
syphilis,Syphilis,2016,Indiana (18),Yes,54
syphilis,Syphilis,2016,Indiana (18),No,83028
syphilis,Syphilis,2016,Iowa (19),Yes,32
syphilis,Syphilis,2016,Iowa (19),No,39370
syphilis,Syphilis,2016,Kansas (20),Yes,22
syphilis,Syphilis,2016,Kansas (20),No,38031
syphilis,Syphilis,2016,Kentucky (21),Yes,47
syphilis,Syphilis,2016,Kentucky (21),No,54882
syphilis,Syphilis,2016,Kentucky (21),Unknown or Not Stated,520
syphilis,Syphilis,2016,Louisiana (22),Yes,272
syphilis,Syphilis,2016,Louisiana (22),No,62906
syphilis,Syphilis,2016,Maine (23),No,12618
syphilis,Syphilis,2016,Maine (23),Unknown or Not Stated,81
syphilis,Syphilis,2016,Maryland (24),Yes,91
syphilis,Syphilis,2016,Maryland (24),No,72952
syphilis,Syphilis,2016,Maryland (24),Unknown or Not Stated,93
syphilis,Syphilis,2016,Massachusetts (25),Yes,65
syphilis,Syphilis,2016,Massachusetts (25),No,71146
syphilis,Syphilis,2016,Massachusetts (25),Unknown or Not Stated,106
syphilis,Syphilis,2016,Michigan (26),Yes,55
syphilis,Syphilis,2016,Michigan (26),No,112235
syphilis,Syphilis,2016,Michigan (26),Unknown or Not Stated,1025
syphilis,Syphilis,2016,Minnesota (27),Yes,50
syphilis,Syphilis,2016,Minnesota (27),No,69509
syphilis,Syphilis,2016,Minnesota (27),Unknown or Not Stated,190
syphilis,Syphilis,2016,Mississippi (28),Yes,41
syphilis,Syphilis,2016,Mississippi (28),No,37869
syphilis,Syphilis,2016,Mississippi (28),Unknown or Not Stated,18
syphilis,Syphilis,2016,Missouri (29),Yes,48
syphilis,Syphilis,2016,Missouri (29),No,74655
syphilis,Syphilis,2016,Montana (30),No,12251
syphilis,Syphilis,2016,Montana (30),Unknown or Not Stated,27
syphilis,Syphilis,2016,Nebraska (31),Yes,17
syphilis,Syphilis,2016,Nebraska (31),No,26507
syphilis,Syphilis,2016,Nebraska (31),Unknown or Not Stated,65
syphilis,Syphilis,2016,Nevada (32),Yes,37
syphilis,Syphilis,2016,Nevada (32),No,36220
syphilis,Syphilis,2016,New Hampshire (33),No,12153
syphilis,Syphilis,2016,New Hampshire (33),Unknown or Not Stated,112
syphilis,Syphilis,2016,New Jersey (34),Yes,122
syphilis,Syphilis,2016,New Jersey (34),No,102520
syphilis,Syphilis,2016,New Mexico (35),Yes,25
syphilis,Syphilis,2016,New Mexico (35),No,24475
syphilis,Syphilis,2016,New Mexico (35),Unknown or Not Stated,192
syphilis,Syphilis,2016,New York (36),Yes,195
syphilis,Syphilis,2016,New York (36),No,233054
syphilis,Syphilis,2016,New York (36),Unknown or Not Stated,1034
syphilis,Syphilis,2016,North Carolina (37),Yes,97
syphilis,Syphilis,2016,North Carolina (37),No,120343
syphilis,Syphilis,2016,North Carolina (37),Unknown or Not Stated,339
syphilis,Syphilis,2016,North Dakota (38),No,11378
syphilis,Syphilis,2016,Ohio (39),Yes,184
syphilis,Syphilis,2016,Ohio (39),No,137847
syphilis,Syphilis,2016,Ohio (39),Unknown or Not Stated,54
syphilis,Syphilis,2016,Oklahoma (40),Yes,131
syphilis,Syphilis,2016,Oklahoma (40),No,52460
syphilis,Syphilis,2016,Oregon (41),Yes,41
syphilis,Syphilis,2016,Oregon (41),No,45489
syphilis,Syphilis,2016,Pennsylvania (42),Yes,84
syphilis,Syphilis,2016,Pennsylvania (42),No,139279
syphilis,Syphilis,2016,Pennsylvania (42),Unknown or Not Stated,46
syphilis,Syphilis,2016,Rhode Island (44),No,10794
syphilis,Syphilis,2016,South Carolina (45),Yes,59
syphilis,Syphilis,2016,South Carolina (45),No,57266
syphilis,Syphilis,2016,South Carolina (45),Unknown or Not Stated,17
syphilis,Syphilis,2016,South Dakota (46),No,12267
syphilis,Syphilis,2016,Tennessee (47),Yes,70
syphilis,Syphilis,2016,Tennessee (47),No,80724
syphilis,Syphilis,2016,Tennessee (47),Unknown or Not Stated,13
syphilis,Syphilis,2016,Texas (48),Yes,445
syphilis,Syphilis,2016,Texas (48),No,397596
syphilis,Syphilis,2016,Utah (49),Yes,12
syphilis,Syphilis,2016,Utah (49),No,50451
syphilis,Syphilis,2016,Vermont (50),No,5756
syphilis,Syphilis,2016,Virginia (51),Yes,46
syphilis,Syphilis,2016,Virginia (51),No,102405
syphilis,Syphilis,2016,Washington (53),Yes,43
syphilis,Syphilis,2016,Washington (53),No,89984
syphilis,Syphilis,2016,Washington (53),Unknown or Not Stated,478
syphilis,Syphilis,2016,West Virginia (54),No,18796
syphilis,Syphilis,2016,West Virginia (54),Unknown or Not Stated,275
syphilis,Syphilis,2016,Wisconsin (55),Yes,28
syphilis,Syphilis,2016,Wisconsin (55),No,65903
syphilis,Syphilis,2016,Wisconsin (55),Unknown or Not Stated,684
syphilis,Syphilis,2016,Wyoming (56),No,7382
syphilis,Syphilis,2017,Alabama (01),Yes,70
syphilis,Syphilis,2017,Alabama (01),No,58856
syphilis,Syphilis,2017,Alabama (01),Unknown or Not Stated,15
syphilis,Syphilis,2017,Alaska (02),No,10325
syphilis,Syphilis,2017,Alaska (02),Unknown or Not Stated,119
syphilis,Syphilis,2017,Arizona (04),Yes,104
syphilis,Syphilis,2017,Arizona (04),No,81762
syphilis,Syphilis,2017,Arkansas (05),Yes,43
syphilis,Syphilis,2017,Arkansas (05),No,37473
syphilis,Syphilis,2017,California (06),Yes,404
syphilis,Syphilis,2017,California (06),No,471221
syphilis,Syphilis,2017,California (06),Unknown or Not Stated,33
syphilis,Syphilis,2017,Colorado (08),Yes,29
syphilis,Syphilis,2017,Colorado (08),No,64342
syphilis,Syphilis,2017,Colorado (08),Unknown or Not Stated,11
syphilis,Syphilis,2017,Connecticut (09),Yes,23
syphilis,Syphilis,2017,Connecticut (09),No,34951
syphilis,Syphilis,2017,Connecticut (09),Unknown or Not Stated,247
syphilis,Syphilis,2017,Delaware (10),No,10851
syphilis,Syphilis,2017,District of Columbia (11),No,9550
syphilis,Syphilis,2017,Florida (12),Yes,290
syphilis,Syphilis,2017,Florida (12),No,220925
syphilis,Syphilis,2017,Florida (12),Unknown or Not Stated,2415
syphilis,Syphilis,2017,Georgia (13),Yes,117
syphilis,Syphilis,2017,Georgia (13),No,128590
syphilis,Syphilis,2017,Georgia (13),Unknown or Not Stated,536
syphilis,Syphilis,2017,Hawaii (15),No,17512
syphilis,Syphilis,2017,Idaho (16),Yes,10
syphilis,Syphilis,2017,Idaho (16),No,22121
syphilis,Syphilis,2017,Idaho (16),Unknown or Not Stated,50
syphilis,Syphilis,2017,Illinois (17),Yes,166
syphilis,Syphilis,2017,Illinois (17),No,148741
syphilis,Syphilis,2017,Illinois (17),Unknown or Not Stated,483
syphilis,Syphilis,2017,Indiana (18),Yes,76
syphilis,Syphilis,2017,Indiana (18),No,82090
syphilis,Syphilis,2017,Iowa (19),Yes,19
syphilis,Syphilis,2017,Iowa (19),No,38405
syphilis,Syphilis,2017,Kansas (20),Yes,20
syphilis,Syphilis,2017,Kansas (20),No,36498
syphilis,Syphilis,2017,Kentucky (21),Yes,50
syphilis,Syphilis,2017,Kentucky (21),No,54472
syphilis,Syphilis,2017,Kentucky (21),Unknown or Not Stated,230
syphilis,Syphilis,2017,Louisiana (22),Yes,250
syphilis,Syphilis,2017,Louisiana (22),No,60768
syphilis,Syphilis,2017,Maine (23),No,12243
syphilis,Syphilis,2017,Maine (23),Unknown or Not Stated,51
syphilis,Syphilis,2017,Maryland (24),Yes,64
syphilis,Syphilis,2017,Maryland (24),No,71535
syphilis,Syphilis,2017,Maryland (24),Unknown or Not Stated,42
syphilis,Syphilis,2017,Massachusetts (25),Yes,63
syphilis,Syphilis,2017,Massachusetts (25),No,70563
syphilis,Syphilis,2017,Massachusetts (25),Unknown or Not Stated,76
syphilis,Syphilis,2017,Michigan (26),Yes,62
syphilis,Syphilis,2017,Michigan (26),No,109913
syphilis,Syphilis,2017,Michigan (26),Unknown or Not Stated,1451
syphilis,Syphilis,2017,Minnesota (27),Yes,69
syphilis,Syphilis,2017,Minnesota (27),No,68291
syphilis,Syphilis,2017,Minnesota (27),Unknown or Not Stated,235
syphilis,Syphilis,2017,Mississippi (28),Yes,48
syphilis,Syphilis,2017,Mississippi (28),No,37297
syphilis,Syphilis,2017,Mississippi (28),Unknown or Not Stated,12
syphilis,Syphilis,2017,Missouri (29),Yes,68
syphilis,Syphilis,2017,Missouri (29),No,72965
syphilis,Syphilis,2017,Montana (30),No,11778
syphilis,Syphilis,2017,Montana (30),Unknown or Not Stated,19
syphilis,Syphilis,2017,Nebraska (31),Yes,29
syphilis,Syphilis,2017,Nebraska (31),No,25758
syphilis,Syphilis,2017,Nebraska (31),Unknown or Not Stated,34
syphilis,Syphilis,2017,Nevada (32),Yes,47
syphilis,Syphilis,2017,Nevada (32),No,35707
syphilis,Syphilis,2017,New Hampshire (33),No,12086
syphilis,Syphilis,2017,New Hampshire (33),Unknown or Not Stated,25
syphilis,Syphilis,2017,New Jersey (34),Yes,109
syphilis,Syphilis,2017,New Jersey (34),No,101138
syphilis,Syphilis,2017,New Mexico (35),Yes,25
syphilis,Syphilis,2017,New Mexico (35),No,23528
syphilis,Syphilis,2017,New Mexico (35),Unknown or Not Stated,214
syphilis,Syphilis,2017,New York (36),Yes,188
syphilis,Syphilis,2017,New York (36),No,228420
syphilis,Syphilis,2017,New York (36),Unknown or Not Stated,1129
syphilis,Syphilis,2017,North Carolina (37),Yes,90
syphilis,Syphilis,2017,North Carolina (37),No,119590
syphilis,Syphilis,2017,North Carolina (37),Unknown or Not Stated,445
syphilis,Syphilis,2017,North Dakota (38),Yes,10
syphilis,Syphilis,2017,North Dakota (38),No,10724
syphilis,Syphilis,2017,Ohio (39),Yes,211
syphilis,Syphilis,2017,Ohio (39),No,136578
syphilis,Syphilis,2017,Ohio (39),Unknown or Not Stated,43
syphilis,Syphilis,2017,Oklahoma (40),Yes,56
syphilis,Syphilis,2017,Oklahoma (40),No,50156
syphilis,Syphilis,2017,Oregon (41),Yes,36
syphilis,Syphilis,2017,Oregon (41),No,43594
syphilis,Syphilis,2017,Pennsylvania (42),Yes,88
syphilis,Syphilis,2017,Pennsylvania (42),No,137605
syphilis,Syphilis,2017,Pennsylvania (42),Unknown or Not Stated,52
syphilis,Syphilis,2017,Rhode Island (44),No,10635
syphilis,Syphilis,2017,South Carolina (45),Yes,63
syphilis,Syphilis,2017,South Carolina (45),No,56952
syphilis,Syphilis,2017,South Carolina (45),Unknown or Not Stated,14
syphilis,Syphilis,2017,South Dakota (46),Yes,15
syphilis,Syphilis,2017,South Dakota (46),No,12110
syphilis,Syphilis,2017,Tennessee (47),Yes,88
syphilis,Syphilis,2017,Tennessee (47),No,80855
syphilis,Syphilis,2017,Tennessee (47),Unknown or Not Stated,73
syphilis,Syphilis,2017,Texas (48),Yes,547
syphilis,Syphilis,2017,Texas (48),No,381499
syphilis,Syphilis,2017,Utah (49),Yes,12
syphilis,Syphilis,2017,Utah (49),No,48573
syphilis,Syphilis,2017,Vermont (50),No,5654
syphilis,Syphilis,2017,Virginia (51),Yes,67
syphilis,Syphilis,2017,Virginia (51),No,100315
syphilis,Syphilis,2017,Washington (53),Yes,66
syphilis,Syphilis,2017,Washington (53),No,87073
syphilis,Syphilis,2017,Washington (53),Unknown or Not Stated,423
syphilis,Syphilis,2017,West Virginia (54),Yes,21
syphilis,Syphilis,2017,West Virginia (54),No,18369
syphilis,Syphilis,2017,West Virginia (54),Unknown or Not Stated,285
syphilis,Syphilis,2017,Wisconsin (55),Yes,48
syphilis,Syphilis,2017,Wisconsin (55),No,63774
syphilis,Syphilis,2017,Wisconsin (55),Unknown or Not Stated,1153
syphilis,Syphilis,2017,Wyoming (56),No,6898
syphilis,Syphilis,2018,Alabama (01),Yes,63
syphilis,Syphilis,2018,Alabama (01),No,57686
syphilis,Syphilis,2018,Alabama (01),Unknown or Not Stated,12
syphilis,Syphilis,2018,Alaska (02),No,9950
syphilis,Syphilis,2018,Alaska (02),Unknown or Not Stated,131
syphilis,Syphilis,2018,Arizona (04),Yes,150
syphilis,Syphilis,2018,Arizona (04),No,80570
syphilis,Syphilis,2018,Arkansas (05),Yes,87
syphilis,Syphilis,2018,Arkansas (05),No,36928
syphilis,Syphilis,2018,California (06),Yes,548
syphilis,Syphilis,2018,California (06),No,454317
syphilis,Syphilis,2018,California (06),Unknown or Not Stated,55
syphilis,Syphilis,2018,Colorado (08),Yes,29
syphilis,Syphilis,2018,Colorado (08),No,62849
syphilis,Syphilis,2018,Connecticut (09),Yes,18
syphilis,Syphilis,2018,Connecticut (09),No,34619
