variable_label,variable_name,year,geo,category,births
tobacco_use,Tobacco Use,2016,"Baldwin County, AL (01003)",Yes,244
tobacco_use,Tobacco Use,2016,"Baldwin County, AL (01003)",No,1985
tobacco_use,Tobacco Use,2016,"Baldwin County, AL (01003)",Unknown or Not Stated,18
tobacco_use,Tobacco Use,2016,"Calhoun County, AL (01015)",Yes,172
tobacco_use,Tobacco Use,2016,"Calhoun County, AL (01015)",No,1182
tobacco_use,Tobacco Use,2016,"Etowah County, AL (01055)",Yes,171
tobacco_use,Tobacco Use,2016,"Etowah County, AL (01055)",No,1043
tobacco_use,Tobacco Use,2016,"Houston County, AL (01069)",Yes,128
tobacco_use,Tobacco Use,2016,"Houston County, AL (01069)",No,1204
tobacco_use,Tobacco Use,2016,"Jefferson County, AL (01073)",Yes,488
tobacco_use,Tobacco Use,2016,"Jefferson County, AL (01073)",No,8148
tobacco_use,Tobacco Use,2016,"Jefferson County, AL (01073)",Unknown or Not Stated,19
tobacco_use,Tobacco Use,2016,"Lee County, AL (01081)",Yes,137
tobacco_use,Tobacco Use,2016,"Lee County, AL (01081)",No,1760
tobacco_use,Tobacco Use,2016,"Madison County, AL (01089)",Yes,389
tobacco_use,Tobacco Use,2016,"Madison County, AL (01089)",No,3835
tobacco_use,Tobacco Use,2016,"Mobile County, AL (01097)",Yes,327
tobacco_use,Tobacco Use,2016,"Mobile County, AL (01097)",No,5174
tobacco_use,Tobacco Use,2016,"Montgomery County, AL (01101)",Yes,171
tobacco_use,Tobacco Use,2016,"Montgomery County, AL (01101)",No,2965
tobacco_use,Tobacco Use,2016,"Morgan County, AL (01103)",Yes,214
tobacco_use,Tobacco Use,2016,"Morgan County, AL (01103)",No,1254
tobacco_use,Tobacco Use,2016,"Shelby County, AL (01117)",Yes,106
tobacco_use,Tobacco Use,2016,"Shelby County, AL (01117)",No,2279
tobacco_use,Tobacco Use,2016,"Tuscaloosa County, AL (01125)",Yes,192
tobacco_use,Tobacco Use,2016,"Tuscaloosa County, AL (01125)",No,2385
tobacco_use,Tobacco Use,2016,"Tuscaloosa County, AL (01125)",Unknown or Not Stated,14
tobacco_use,Tobacco Use,2016,"Unidentified Counties, AL (01999)",Yes,3233
tobacco_use,Tobacco Use,2016,"Unidentified Counties, AL (01999)",No,19795
tobacco_use,Tobacco Use,2016,"Unidentified Counties, AL (01999)",Unknown or Not Stated,100
tobacco_use,Tobacco Use,2016,"Anchorage Borough, AK (02020)",Yes,368
tobacco_use,Tobacco Use,2016,"Anchorage Borough, AK (02020)",No,4093
tobacco_use,Tobacco Use,2016,"Anchorage Borough, AK (02020)",Unknown or Not Stated,57
tobacco_use,Tobacco Use,2016,"Unidentified Counties, AK (02999)",Yes,894
tobacco_use,Tobacco Use,2016,"Unidentified Counties, AK (02999)",No,5572
