variable_label,variable_name,year,geo,category,births
urbanization_2013,2013 Urbanization,2016,"Baldwin County, AL (01003)",Small Metro,2247
urbanization_2013,2013 Urbanization,2016,"Calhoun County, AL (01015)",Small Metro,1357
urbanization_2013,2013 Urbanization,2016,"Etowah County, AL (01055)",Small Metro,1214
urbanization_2013,2013 Urbanization,2016,"Houston County, AL (01069)",Small Metro,1333
urbanization_2013,2013 Urbanization,2016,"Jefferson County, AL (01073)",Large Central Metro,8655
urbanization_2013,2013 Urbanization,2016,"Lee County, AL (01081)",Small Metro,1898
urbanization_2013,2013 Urbanization,2016,"Madison County, AL (01089)",Medium Metro,4228
urbanization_2013,2013 Urbanization,2016,"Mobile County, AL (01097)",Medium Metro,5504
urbanization_2013,2013 Urbanization,2016,"Montgomery County, AL (01101)",Medium Metro,3139
urbanization_2013,2013 Urbanization,2016,"Morgan County, AL (01103)",Small Metro,1470
urbanization_2013,2013 Urbanization,2016,"Shelby County, AL (01117)",Large Fringe Metro,2387
urbanization_2013,2013 Urbanization,2016,"Tuscaloosa County, AL (01125)",Small Metro,2591
urbanization_2013,2013 Urbanization,2016,"Unidentified Counties, AL (01999)",Large Fringe Metro,3359
urbanization_2013,2013 Urbanization,2016,"Unidentified Counties, AL (01999)",Medium Metro,3534
urbanization_2013,2013 Urbanization,2016,"Unidentified Counties, AL (01999)",Small Metro,2786
urbanization_2013,2013 Urbanization,2016,"Unidentified Counties, AL (01999)",Micropolitan (Nonmetro),6501
urbanization_2013,2013 Urbanization,2016,"Unidentified Counties, AL (01999)",NonCore (Nonmetro),6948
urbanization_2013,2013 Urbanization,2016,"Anchorage Borough, AK (02020)",Medium Metro,4518
urbanization_2013,2013 Urbanization,2016,"Unidentified Counties, AK (02999)",Medium Metro,1505
urbanization_2013,2013 Urbanization,2016,"Unidentified Counties, AK (02999)",Small Metro,1677
urbanization_2013,2013 Urbanization,2016,"Unidentified Counties, AK (02999)",Micropolitan (Nonmetro),516
urbanization_2013,2013 Urbanization,2016,"Unidentified Counties, AK (02999)",NonCore (Nonmetro),2993
urbanization_2013,2013 Urbanization,2016,"Cochise County, AZ (04003)",Small Metro,1529
urbanization_2013,2013 Urbanization,2016,"Coconino County, AZ (04005)",Small Metro,1612
urbanization_2013,2013 Urbanization,2016,"Maricopa County, AZ (04013)",Large Central Metro,54126
urbanization_2013,2013 Urbanization,2016,"Mohave County, AZ (04015)",Small Metro,1802
urbanization_2013,2013 Urbanization,2016,"Navajo County, AZ (04017)",Micropolitan (Nonmetro),1497
urbanization_2013,2013 Urbanization,2016,"Pima County, AZ (04019)",Medium Metro,11421
urbanization_2013,2013 Urbanization,2016,"Pinal County, AZ (04021)",Large Fringe Metro,4470
urbanization_2013,2013 Urbanization,2016,"Yavapai County, AZ (04025)",Small Metro,1868
urbanization_2013,2013 Urbanization,2016,"Yuma County, AZ (04027)",Small Metro,3007
urbanization_2013,2013 Urbanization,2016,"Unidentified Counties, AZ (04999)",Micropolitan (Nonmetro),1794
urbanization_2013,2013 Urbanization,2016,"Unidentified Counties, AZ (04999)",NonCore (Nonmetro),1394
urbanization_2013,2013 Urbanization,2016,"Benton County, AR (05007)",Medium Metro,3622
urbanization_2013,2013 Urbanization,2016,"Faulkner County, AR (05045)",Medium Metro,1534
urbanization_2013,2013 Urbanization,2016,"Pulaski County, AR (05119)",Medium Metro,5348
urbanization_2013,2013 Urbanization,2016,"Saline County, AR (05125)",Medium Metro,1326
urbanization_2013,2013 Urbanization,2016,"Sebastian County, AR (05131)",Medium Metro,1721
urbanization_2013,2013 Urbanization,2016,"Washington County, AR (05143)",Medium Metro,3280
urbanization_2013,2013 Urbanization,2016,"Unidentified Counties, AR (05999)",Large Fringe Metro,757
urbanization_2013,2013 Urbanization,2016,"Unidentified Counties, AR (05999)",Medium Metro,2212
urbanization_2013,2013 Urbanization,2016,"Unidentified Counties, AR (05999)",Small Metro,4768
urbanization_2013,2013 Urbanization,2016,"Unidentified Counties, AR (05999)",Micropolitan (Nonmetro),6969
urbanization_2013,2013 Urbanization,2016,"Unidentified Counties, AR (05999)",NonCore (Nonmetro),6737
urbanization_2013,2013 Urbanization,2016,"Alameda County, CA (06001)",Large Central Metro,19573
urbanization_2013,2013 Urbanization,2016,"Butte County, CA (06007)",Small Metro,2490
urbanization_2013,2013 Urbanization,2016,"Contra Costa County, CA (06013)",Large Fringe Metro,12340
urbanization_2013,2013 Urbanization,2016,"El Dorado County, CA (06017)",Large Fringe Metro,1601
urbanization_2013,2013 Urbanization,2016,"Fresno County, CA (06019)",Medium Metro,15129
urbanization_2013,2013 Urbanization,2016,"Humboldt County, CA (06023)",Micropolitan (Nonmetro),1482
urbanization_2013,2013 Urbanization,2016,"Imperial County, CA (06025)",Small Metro,2939
urbanization_2013,2013 Urbanization,2016,"Kern County, CA (06029)",Medium Metro,13728
urbanization_2013,2013 Urbanization,2016,"Kings County, CA (06031)",Small Metro,2248
urbanization_2013,2013 Urbanization,2016,"Los Angeles County, CA (06037)",Large Central Metro,123092
urbanization_2013,2013 Urbanization,2016,"Madera County, CA (06039)",Small Metro,2355
urbanization_2013,2013 Urbanization,2016,"Marin County, CA (06041)",Large Fringe Metro,2252
urbanization_2013,2013 Urbanization,2016,"Merced County, CA (06047)",Medium Metro,4117
urbanization_2013,2013 Urbanization,2016,"Monterey County, CA (06053)",Medium Metro,6219
urbanization_2013,2013 Urbanization,2016,"Napa County, CA (06055)",Small Metro,1406
urbanization_2013,2013 Urbanization,2016,"Orange County, CA (06059)",Large Central Metro,38106
urbanization_2013,2013 Urbanization,2016,"Placer County, CA (06061)",Large Fringe Metro,3732
urbanization_2013,2013 Urbanization,2016,"Riverside County, CA (06065)",Large Central Metro,30661
urbanization_2013,2013 Urbanization,2016,"Sacramento County, CA (06067)",Large Central Metro,19588
urbanization_2013,2013 Urbanization,2016,"San Bernardino County, CA (06071)",Large Fringe Metro,31032
urbanization_2013,2013 Urbanization,2016,"San Diego County, CA (06073)",Large Central Metro,42720
urbanization_2013,2013 Urbanization,2016,"San Francisco County, CA (06075)",Large Central Metro,9062
urbanization_2013,2013 Urbanization,2016,"San Joaquin County, CA (06077)",Medium Metro,10268
urbanization_2013,2013 Urbanization,2016,"San Luis Obispo County, CA (06079)",Medium Metro,2581
urbanization_2013,2013 Urbanization,2016,"San Mateo County, CA (06081)",Large Fringe Metro,8960
urbanization_2013,2013 Urbanization,2016,"Santa Barbara County, CA (06083)",Medium Metro,5501
urbanization_2013,2013 Urbanization,2016,"Santa Clara County, CA (06085)",Large Central Metro,23042
urbanization_2013,2013 Urbanization,2016,"Santa Cruz County, CA (06087)",Medium Metro,2799
urbanization_2013,2013 Urbanization,2016,"Shasta County, CA (06089)",Small Metro,2048
urbanization_2013,2013 Urbanization,2016,"Solano County, CA (06095)",Medium Metro,5259
urbanization_2013,2013 Urbanization,2016,"Sonoma County, CA (06097)",Medium Metro,4962
urbanization_2013,2013 Urbanization,2016,"Stanislaus County, CA (06099)",Medium Metro,7862
urbanization_2013,2013 Urbanization,2016,"Tulare County, CA (06107)",Medium Metro,7146
urbanization_2013,2013 Urbanization,2016,"Ventura County, CA (06111)",Medium Metro,9592
urbanization_2013,2013 Urbanization,2016,"Yolo County, CA (06113)",Large Fringe Metro,2423
urbanization_2013,2013 Urbanization,2016,"Unidentified Counties, CA (06999)",Large Fringe Metro,777
urbanization_2013,2013 Urbanization,2016,"Unidentified Counties, CA (06999)",Small Metro,2608
urbanization_2013,2013 Urbanization,2016,"Unidentified Counties, CA (06999)",Micropolitan (Nonmetro),4412
urbanization_2013,2013 Urbanization,2016,"Unidentified Counties, CA (06999)",NonCore (Nonmetro),2715
urbanization_2013,2013 Urbanization,2016,"Adams County, CO (08001)",Large Fringe Metro,6672
urbanization_2013,2013 Urbanization,2016,"Arapahoe County, CO (08005)",Large Fringe Metro,7910
urbanization_2013,2013 Urbanization,2016,"Boulder County, CO (08013)",Medium Metro,2729
urbanization_2013,2013 Urbanization,2016,"Denver County, CO (08031)",Large Central Metro,10006
urbanization_2013,2013 Urbanization,2016,"Douglas County, CO (08035)",Large Fringe Metro,3488
urbanization_2013,2013 Urbanization,2016,"El Paso County, CO (08041)",Medium Metro,9490
urbanization_2013,2013 Urbanization,2016,"Jefferson County, CO (08059)",Large Fringe Metro,6104
urbanization_2013,2013 Urbanization,2016,"Larimer County, CO (08069)",Medium Metro,3375
urbanization_2013,2013 Urbanization,2016,"Mesa County, CO (08077)",Small Metro,1770
urbanization_2013,2013 Urbanization,2016,"Pueblo County, CO (08101)",Small Metro,1883
urbanization_2013,2013 Urbanization,2016,"Weld County, CO (08123)",Medium Metro,4306
urbanization_2013,2013 Urbanization,2016,"Unidentified Counties, CO (08999)",Large Fringe Metro,1163
urbanization_2013,2013 Urbanization,2016,"Unidentified Counties, CO (08999)",Medium Metro,189
urbanization_2013,2013 Urbanization,2016,"Unidentified Counties, CO (08999)",Micropolitan (Nonmetro),4391
urbanization_2013,2013 Urbanization,2016,"Unidentified Counties, CO (08999)",NonCore (Nonmetro),3137
urbanization_2013,2013 Urbanization,2016,"Fairfield County, CT (09001)",Medium Metro,10064
urbanization_2013,2013 Urbanization,2016,"Hartford County, CT (09003)",Large Central Metro,9442
urbanization_2013,2013 Urbanization,2016,"Litchfield County, CT (09005)",Micropolitan (Nonmetro),1422
urbanization_2013,2013 Urbanization,2016,"Middlesex County, CT (09007)",Large Fringe Metro,1277
urbanization_2013,2013 Urbanization,2016,"New Haven County, CT (09009)",Medium Metro,8886
urbanization_2013,2013 Urbanization,2016,"New London County, CT (09011)",Medium Metro,2647
urbanization_2013,2013 Urbanization,2016,"Tolland County, CT (09013)",Large Fringe Metro,1175
urbanization_2013,2013 Urbanization,2016,"Windham County, CT (09015)",Medium Metro,1102
urbanization_2013,2013 Urbanization,2016,"Kent County, DE (10001)",Small Metro,2190
urbanization_2013,2013 Urbanization,2016,"New Castle County, DE (10003)",Large Fringe Metro,6501
urbanization_2013,2013 Urbanization,2016,"Sussex County, DE (10005)",Medium Metro,2301
urbanization_2013,2013 Urbanization,2016,"District of Columbia, DC (11001)",Large Central Metro,9858
urbanization_2013,2013 Urbanization,2016,"Alachua County, FL (12001)",Medium Metro,2862
urbanization_2013,2013 Urbanization,2016,"Bay County, FL (12005)",Small Metro,2343
urbanization_2013,2013 Urbanization,2016,"Brevard County, FL (12009)",Medium Metro,5273
urbanization_2013,2013 Urbanization,2016,"Broward County, FL (12011)",Large Fringe Metro,22563
urbanization_2013,2013 Urbanization,2016,"Charlotte County, FL (12015)",Small Metro,1037
urbanization_2013,2013 Urbanization,2016,"Citrus County, FL (12017)",Small Metro,1064
urbanization_2013,2013 Urbanization,2016,"Clay County, FL (12019)",Large Fringe Metro,2209
urbanization_2013,2013 Urbanization,2016,"Collier County, FL (12021)",Medium Metro,3322
urbanization_2013,2013 Urbanization,2016,"Duval County, FL (12031)",Large Central Metro,13292
urbanization_2013,2013 Urbanization,2016,"Escambia County, FL (12033)",Medium Metro,3967
urbanization_2013,2013 Urbanization,2016,"Hernando County, FL (12053)",Large Fringe Metro,1585
urbanization_2013,2013 Urbanization,2016,"Hillsborough County, FL (12057)",Large Central Metro,17325
urbanization_2013,2013 Urbanization,2016,"Indian River County, FL (12061)",Small Metro,1245
urbanization_2013,2013 Urbanization,2016,"Lake County, FL (12069)",Large Fringe Metro,3269
urbanization_2013,2013 Urbanization,2016,"Lee County, FL (12071)",Medium Metro,6750
urbanization_2013,2013 Urbanization,2016,"Leon County, FL (12073)",Medium Metro,2989
urbanization_2013,2013 Urbanization,2016,"Manatee County, FL (12081)",Medium Metro,3445
urbanization_2013,2013 Urbanization,2016,"Marion County, FL (12083)",Medium Metro,3472
urbanization_2013,2013 Urbanization,2016,"Martin County, FL (12085)",Medium Metro,1273
urbanization_2013,2013 Urbanization,2016,"Miami-Dade County, FL (12086)",Large Central Metro,32697
urbanization_2013,2013 Urbanization,2016,"Okaloosa County, FL (12091)",Small Metro,2784
urbanization_2013,2013 Urbanization,2016,"Orange County, FL (12095)",Large Central Metro,16653
urbanization_2013,2013 Urbanization,2016,"Osceola County, FL (12097)",Large Fringe Metro,4328
urbanization_2013,2013 Urbanization,2016,"Palm Beach County, FL (12099)",Large Fringe Metro,14965
urbanization_2013,2013 Urbanization,2016,"Pasco County, FL (12101)",Large Fringe Metro,5108
urbanization_2013,2013 Urbanization,2016,"Pinellas County, FL (12103)",Large Central Metro,8480
urbanization_2013,2013 Urbanization,2016,"Polk County, FL (12105)",Medium Metro,7804
urbanization_2013,2013 Urbanization,2016,"St. Johns County, FL (12109)",Large Fringe Metro,2120
urbanization_2013,2013 Urbanization,2016,"St. Lucie County, FL (12111)",Medium Metro,2999
urbanization_2013,2013 Urbanization,2016,"Santa Rosa County, FL (12113)",Medium Metro,1906
