variable_label,variable_name,year,geo,category,births
weight_gain_recode,Mother's Weight Gain Recode,2016,"Baldwin County, AL (01003)",Less than 11 pounds,171
weight_gain_recode,Mother's Weight Gain Recode,2016,"Baldwin County, AL (01003)",11 to 20 pounds,328
weight_gain_recode,Mother's Weight Gain Recode,2016,"Baldwin County, AL (01003)",21 to 30 pounds,602
weight_gain_recode,Mother's Weight Gain Recode,2016,"Baldwin County, AL (01003)",31 to 40 pounds,500
weight_gain_recode,Mother's Weight Gain Recode,2016,"Baldwin County, AL (01003)",41 to 98 pounds,611
weight_gain_recode,Mother's Weight Gain Recode,2016,"Baldwin County, AL (01003)",Unknown or Not Stated,35
weight_gain_recode,Mother's Weight Gain Recode,2016,"Calhoun County, AL (01015)",Less than 11 pounds,119
weight_gain_recode,Mother's Weight Gain Recode,2016,"Calhoun County, AL (01015)",11 to 20 pounds,207
weight_gain_recode,Mother's Weight Gain Recode,2016,"Calhoun County, AL (01015)",21 to 30 pounds,391
weight_gain_recode,Mother's Weight Gain Recode,2016,"Calhoun County, AL (01015)",31 to 40 pounds,353
weight_gain_recode,Mother's Weight Gain Recode,2016,"Calhoun County, AL (01015)",41 to 98 pounds,277
weight_gain_recode,Mother's Weight Gain Recode,2016,"Calhoun County, AL (01015)",Unknown or Not Stated,10
weight_gain_recode,Mother's Weight Gain Recode,2016,"Etowah County, AL (01055)",Less than 11 pounds,183
weight_gain_recode,Mother's Weight Gain Recode,2016,"Etowah County, AL (01055)",11 to 20 pounds,261
weight_gain_recode,Mother's Weight Gain Recode,2016,"Etowah County, AL (01055)",21 to 30 pounds,351
weight_gain_recode,Mother's Weight Gain Recode,2016,"Etowah County, AL (01055)",31 to 40 pounds,224
weight_gain_recode,Mother's Weight Gain Recode,2016,"Etowah County, AL (01055)",41 to 98 pounds,169
weight_gain_recode,Mother's Weight Gain Recode,2016,"Etowah County, AL (01055)",Unknown or Not Stated,26
weight_gain_recode,Mother's Weight Gain Recode,2016,"Houston County, AL (01069)",Less than 11 pounds,172
weight_gain_recode,Mother's Weight Gain Recode,2016,"Houston County, AL (01069)",11 to 20 pounds,302
weight_gain_recode,Mother's Weight Gain Recode,2016,"Houston County, AL (01069)",21 to 30 pounds,369
weight_gain_recode,Mother's Weight Gain Recode,2016,"Houston County, AL (01069)",31 to 40 pounds,275
weight_gain_recode,Mother's Weight Gain Recode,2016,"Houston County, AL (01069)",41 to 98 pounds,195
weight_gain_recode,Mother's Weight Gain Recode,2016,"Houston County, AL (01069)",Unknown or Not Stated,20
weight_gain_recode,Mother's Weight Gain Recode,2016,"Jefferson County, AL (01073)",Less than 11 pounds,721
weight_gain_recode,Mother's Weight Gain Recode,2016,"Jefferson County, AL (01073)",11 to 20 pounds,1354
weight_gain_recode,Mother's Weight Gain Recode,2016,"Jefferson County, AL (01073)",21 to 30 pounds,2225
weight_gain_recode,Mother's Weight Gain Recode,2016,"Jefferson County, AL (01073)",31 to 40 pounds,2057
weight_gain_recode,Mother's Weight Gain Recode,2016,"Jefferson County, AL (01073)",41 to 98 pounds,1839
weight_gain_recode,Mother's Weight Gain Recode,2016,"Jefferson County, AL (01073)",Unknown or Not Stated,459
weight_gain_recode,Mother's Weight Gain Recode,2016,"Lee County, AL (01081)",Less than 11 pounds,175
weight_gain_recode,Mother's Weight Gain Recode,2016,"Lee County, AL (01081)",11 to 20 pounds,248
weight_gain_recode,Mother's Weight Gain Recode,2016,"Lee County, AL (01081)",21 to 30 pounds,468
weight_gain_recode,Mother's Weight Gain Recode,2016,"Lee County, AL (01081)",31 to 40 pounds,502
weight_gain_recode,Mother's Weight Gain Recode,2016,"Lee County, AL (01081)",41 to 98 pounds,470
weight_gain_recode,Mother's Weight Gain Recode,2016,"Lee County, AL (01081)",Unknown or Not Stated,35
weight_gain_recode,Mother's Weight Gain Recode,2016,"Madison County, AL (01089)",Less than 11 pounds,362
weight_gain_recode,Mother's Weight Gain Recode,2016,"Madison County, AL (01089)",11 to 20 pounds,704
weight_gain_recode,Mother's Weight Gain Recode,2016,"Madison County, AL (01089)",21 to 30 pounds,1114
weight_gain_recode,Mother's Weight Gain Recode,2016,"Madison County, AL (01089)",31 to 40 pounds,1002
weight_gain_recode,Mother's Weight Gain Recode,2016,"Madison County, AL (01089)",41 to 98 pounds,1013
weight_gain_recode,Mother's Weight Gain Recode,2016,"Madison County, AL (01089)",Unknown or Not Stated,33
weight_gain_recode,Mother's Weight Gain Recode,2016,"Mobile County, AL (01097)",Less than 11 pounds,535
weight_gain_recode,Mother's Weight Gain Recode,2016,"Mobile County, AL (01097)",11 to 20 pounds,1006
